time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0165,-1.1844140060682e-220,-3.9480466868941e-221,3.053912900524e-135,1.5202545072709e-131,1.7320689065956,0,2.1991795521371e-129,5.2903432138467e-109,2.48425001757e-131,-5.9761083214776e-111,-1.7394722654803e-131,1.7394722655099e-131,1.2553416049961e-110,1.2553416049961e-110,-4.2107702514786e-121,-4.2107702514344e-121,1.7394722654804e-131,-1.7394722655099e-131,4.2107702514787e-121,4.2107702514344e-121,1.2553416049961e-110,1.2553416049961e-110,4.1844720166536e-111,2.2302611210505e-116,5.2903432138467e-115,-1.6804755261784e-19,0,329.01469625632,100000000,-8.8315980393982e-41,-5.1157422396013e-05,8.2496596964308e-05,3.4015087631751,8.785351186797e-08,8.8892796817014,7.7686930245734
0.1165,-1.0229304380205e-110,-3.4097681267351e-111,1.7011388984986e-79,9.6621953731126e-76,1.7321784986413,0,1.7349043267841e-74,4.3880594787826e-54,2.4603156644174e-76,-6.2226069582836e-56,-1.7227134275386e-76,1.7227134275477e-76,1.307121120646e-55,1.307121120646e-55,-4.5226456110486e-66,-4.5226456110338e-66,1.7227134275386e-76,-1.7227134275477e-76,4.5226456110487e-66,4.5226456110338e-66,1.307121120646e-55,1.307121120646e-55,4.3596733265257e-56,1.3075154041507e-60,4.3880594787826e-60,8.7606367627641e-20,0,329.01469625632,100000000,-1.3028187407737e-39,-0.00036162481599497,0.00058233041096556,24.018169422971,1.8583890535633e-06,62.830283876511,54.91309925688
0.2165,-7.0244409349062e-82,-2.3414803116354e-82,7.5815130910542e-65,1.1197134335481e-61,1.7322879150556,0,4.1603795504389e-60,1.1061862880567e-39,6.3778860230066e-62,-1.6950490449895e-41,-4.4657968284929e-62,4.465796828475e-62,3.5606208492521e-41,3.5606208492521e-41,-1.270320467554e-51,-1.2703204675571e-51,4.4657968284929e-62,-4.465796828475e-62,1.270320467554e-51,1.2703204675571e-51,3.5606208492521e-41,3.5606208492521e-41,1.1950591041286e-41,6.1319019735356e-46,1.1061862880567e-45,1.8197000403862e-19,0,329.01469625632,100000000,-8.5399623714062e-39,-0.00067282807304469,0.0010819145159336,44.637369661893,3.4644901251741e-06,116.88577109172,102.16312603873
0.3165,-1.2460890400408e-64,-4.1536301334693e-65,4.1838401039469e-56,8.6575743980759e-53,1.7323971550681,0,1.5703961107893e-51,4.3892673028561e-31,2.7142978443695e-53,-7.5780212850762e-33,-1.9005517911751e-53,1.9005517911729e-53,1.5918395201294e-32,1.5918395201294e-32,-5.8545819411036e-43,-5.8545819411077e-43,1.9005517911751e-53,-1.9005517911729e-53,5.8545819411036e-43,5.8545819411077e-43,1.5918395201294e-32,1.5918395201294e-32,5.3900864148038e-33,3.5607018515994e-37,4.3892673028561e-37,-3.062778246335e-20,0,329.01469625632,100000000,-3.5123213710582e-38,-0.00098476984320825,0.0015812491612456,65.259167082258,5.0806938472646e-06,171.05599287619,149.51902476594
0.4165,-2.8715309803541e-52,-9.5717699345137e-53,7.4769199256765e-50,1.5091042805551e-46,1.7325062175337,0,2.1324951385588e-45,6.2653817714246e-25,4.1718865492079e-47,-1.2233894791885e-26,-2.9211556388744e-47,2.9211556388754e-47,2.5698525356718e-26,2.5698525356718e-26,-9.7421977777747e-37,-9.7421977777726e-37,2.9211556388744e-47,-2.9211556388753e-47,9.7421977777747e-37,9.7421977777726e-37,2.5698525356718e-26,2.5698525356718e-26,8.7728158311202e-27,6.6956606131517e-31,6.2653817714246e-31,2.4341632509374e-18,0,329.01469625632,100000000,-7.8503029272584e-38,-0.0012974534352707,0.0020803345959046,85.883619449757,6.7071128191674e-06,225.34120200501,196.98104803276
0.5165,-1.2778377688707e-42,-4.259459229569e-43,5.5532405507246e-45,8.5054543193505e-42,1.7326151012999,0,1.2771107507152e-40,3.9441543404705e-20,2.8079293820917e-42,-8.6480978251818e-22,-1.9661126090815e-42,1.9661126090829e-42,1.8166198502477e-21,1.8166198502477e-21,-7.0978182291185e-32,-7.0978182291154e-32,1.9661126090816e-42,-1.9661126090829e-42,7.0978182291185e-32,7.0978182291154e-32,1.8166198502477e-21,1.8166198502477e-21,6.2441317715962e-22,5.2325853836226e-26,3.9441543404705e-26,3.5112892836133e-19,0,329.01469625632,100000000,-1.0763867668723e-37,-0.0016108821818177,0.0025791710685416,106.51078480228,8.3438564744762e-06,279.74165259366,244.54944958547
0.6165,-1.0569000677986e-34,-3.5230002259956e-35,5.4377742889462e-41,2.0020186561143e-36,1.7327238052059,0,1.0476402240639e-36,3.4008897026923e-16,2.5646276658433e-38,-8.2954538776262e-18,-1.7957527078763e-38,1.7957527078761e-38,1.7425434454535e-17,1.7425434454533e-17,-7.0165456022933e-28,-7.0165456022927e-28,1.7957527078758e-38,-1.7957527078765e-38,7.0165456022933e-28,7.0165456022927e-28,1.7425434454533e-17,1.7425434454535e-17,6.0235970721003e-18,5.3911215570831e-22,3.4008897026923e-22,-1.9211714110895e-16,0,329.01469625632,100000000,-3.3608384236757e-34,-0.001925059439474,0.0030777588274155,127.1407214528,9.9910478230539e-06,334.25760010994,292.22448433333
0.7165,-5.5036845572018e-28,-1.8345615190672e-28,1.3068847257949e-37,3.8584057217669e-33,1.7328323280834,0,2.1662891136119e-33,7.3916440242315e-13,5.8509929593099e-35,-1.9875188917518e-14,-4.0968662197586e-35,4.0968662197566e-35,4.1749831517696e-14,4.1749831517691e-14,-1.732381338737e-24,-1.7323813387372e-24,4.0968662197583e-35,-4.0968662197569e-35,1.7323813387367e-24,1.7323813387375e-24,4.1749831517695e-14,4.1749831517692e-14,1.4500160243576e-14,1.3632400148303e-18,7.3916440242315e-19,-4.364217221546e-16,0,329.01469625632,100000000,-1.543435648666e-34,-0.0022399885891387,0.0035760981204132,147.77348799223,1.1648757237056e-05,388.88930138587,340.00640835972
0.8165,-3.7567160798198e-22,-1.2522386932728e-22,1.1196269629611e-34,6.2413397740901e-30,1.732940668756,0,1.6284834212482e-30,5.8403842901941e-10,4.8131678342382e-32,-1.716981928127e-11,-3.3701808987373e-32,3.3701808987388e-32,3.6066930742499e-11,3.6066930742507e-11,-1.5421224127019e-21,-1.542122412702e-21,3.3701808987391e-32,-3.370180898737e-32,1.542122412702e-21,1.542122412702e-21,3.6066930742506e-11,3.6066930742499e-11,1.257595976165e-11,1.2287809917164e-15,5.8403842901942e-16,2.4672952053261e-17,0,329.01469625632,100000000,-5.2731065936844e-34,-0.0025556730362271,0.0040741891950535,168.40914329245,1.3317106686983e-05,443.63701463004,387.89547893344
