time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0.0165,-1.4917715399881E-290,-4.9725717999602E-291,6.8821656464655E-171,0,1.7320544275189,0,2.4780074498087E-164,5.9372213370806E-144,2.7992212117212E-166,-6.7068385555996E-146,-1.9600151462155E-166,1.9600151467761E-166,1.4088388335562E-145,1.4088388335562E-145,-4.7139033728759E-156,-4.71390337204E-156,1.9600151462155E-166,-1.9600151467761E-166,4.7139033728759E-156,4.71390337204E-156,1.4088388335562E-145,1.4088388335562E-145,4.6961294451873E-146,5.0052334069057E-152,5.9372213370806E-150,-1.0815133340361E-20,0,329.01469625632,100000000,-4.5047656903337E-42,-1.0230296879015E-05,1.6499863875603E-05,0.68029634769621,7.0843988242227E-10,,1.5535091676386
0.1165,-1.1869942908255E-180,-3.956647636085E-181,3.8300170022358E-115,1.5233467924576E-110,1.7320763626565,0,1.9531292567503E-109,4.7267999294558E-89,2.7697912874394E-111,-6.7031692345255E-91,-1.9394083090275E-111,1.9394083090173E-111,1.4080680557927E-90,1.4080680557927E-90,-4.74068433448E-101,-4.7406843344953E-101,1.9394083090275E-111,-1.9394083090173E-111,4.74068433448E-101,4.7406843344954E-101,1.4080680557927E-90,1.4080680557927E-90,4.6963760194471E-91,2.8141184358828E-96,4.7267999294558E-95,7.0716403295855E-20,0,329.01469625632,100000000,-7.711253490933E-41,-7.2248969130949E-05,0.000116493214388,4.8033622753103,1.4856211759131E-08,,10.971170953436
0.2165,-7.4903824804702E-152,-2.4967941601567E-152,1.7026374621358E-100,6.6653588216603E-95,1.7320982908083,0,4.6721336242242E-95,1.1420727765324E-74,7.1625645086603E-97,-1.7506889459914E-76,-5.0152288315038E-97,5.0152288314873E-97,3.6774980523886E-76,3.6774980523887E-76,-1.2457732690139E-86,-1.2457732690164E-86,5.0152288315038E-97,-5.0152288314873E-97,1.2457732690139E-86,1.2457732690164E-86,3.6774980523887E-76,3.6774980523886E-76,1.2343226254243E-76,1.2638425942704E-81,1.1420727765324E-80,-3.0227366065553E-19,0,329.01469625632,100000000,-3.6530300640159E-38,-0.000134296959687,0.00021647656723,8.9265276798626,2.7579437382773E-08,,20.393048280452
0.3165,-1.2212815270677E-134,-4.070938423559E-135,9.3718872147026E-92,8.0892369309491E-86,1.7321202119799,0,1.7591345425718E-86,4.3432960802001E-66,3.040689121708E-88,-7.5057678281434E-68,-2.1290910165328E-88,2.1290910165404E-88,1.5766619554479E-67,1.5766619554479E-67,-5.3737592786375E-78,-5.3737592786257E-78,2.1290910165329E-88,-2.1290910165404E-88,5.3737592786375E-78,5.3737592786257E-78,1.5766619554479E-67,1.5766619554479E-67,5.3390478519899E-68,7.0279157687033E-73,4.3432960802001E-72,-3.9484206160572E-19,0,329.01469625632,100000000,-1.2164533590737E-35,-0.000196374269211,0.0003164499244,13.049793019457,4.0363741197968E-08,,29.819143147984
0.4165,-2.5868907781352E-122,-8.6229692604447E-123,1.6704774856387E-85,3.3951640442376E-79,1.7321421261624,0,2.3826819156868E-80,5.9419346240364E-60,4.6617974966334E-82,-1.1621147082865E-61,-3.2641913637833E-82,3.2641913637865E-82,2.4411387220776E-61,2.4411387220811E-61,-8.3710128867639E-72,-8.3710128867779E-72,3.2641913637919E-82,-3.2641913637779E-82,8.3710128867693E-72,8.3710128867725E-72,2.4411387220801E-61,2.4411387220786E-61,8.3342612137416E-62,1.2655181237548E-66,5.9419346240364E-66,-1.1242319851201E-17,0,329.01469625632,100000000,-2.0816681711722E-17,-0.000258480923784,0.000416413287897,17.173158751673,5.3137328106263E-08,,39.249457557633
0.5165,-1.0581286171157E-112,-3.5270953903938E-113,1.2374010484306E-80,2.1271820998007E-74,1.7321640333466,0,1.4232307408351E-75,3.5849087316448E-55,3.1296502342118E-77,-7.8787828526971E-57,-2.1913816019563E-77,2.1913816019459E-77,1.6550175096693E-56,1.6550175096675E-56,-5.7099236862128E-67,-5.7099236862193E-67,2.1913816019477E-77,-2.1913816019544E-77,5.7099236862162E-67,5.7099236862158E-67,1.6550175096669E-56,1.65501750967E-56,5.6894100404294E-57,9.4703499561675E-62,3.5849087316448E-61,-9.660013179097E-18,0,329.01469625632,100000000,-2.0816681711722E-17,-0.000320616949524,0.000516366659719,21.296625334582,6.5923205000177E-08,,48.683993512794
0.6165,-8.0442507563091E-105,-2.681416918769E-105,1.20840182275E-76,1.0140285260993E-70,1.7321859335236,0,1.1644159636248E-71,2.9624531564275E-51,2.8510469562544E-73,-7.2482453000014E-53,-1.9963035415097E-73,1.9963035415133E-73,1.5225667606464E-52,1.5225667606481E-52,-5.2849856506762E-63,-5.2849856506795E-63,1.9963035415131E-73,-1.9963035415098E-73,5.2849856506797E-63,5.284985650676E-63,1.5225667606474E-52,1.522566760647E-52,5.2640009823666E-53,9.3431706833569E-58,2.9624531564275E-57,5.7077901190157E-16,0,329.01469625632,100000000,-2.0816681711722E-17,-0.000382782372587,0.000616310041863,25.420193226649,7.8727485797026E-08,,58.122753018618
0.7165,-3.8501742051963E-98,-1.2833914017323E-98,2.896234441926E-73,1.5887402042548E-67,1.7322078266842,0,2.4012758952218E-68,6.1705733871449E-48,6.487262118861E-70,-1.6655344983555E-49,-4.542381988545E-70,4.5423819885422E-70,3.4986225782222E-49,3.4986225782209E-49,-1.2218068601784E-59,-1.2218068601781E-59,4.5423819885427E-70,-4.5423819885445E-70,1.221806860178E-59,1.2218068601785E-59,3.4986225782216E-49,3.4986225782216E-49,1.2153221689452E-49,2.2622653587753E-54,6.1705733871449E-54,-8.3051502590914E-17,0,329.01469625632,100000000,-2.0816681711722E-17,-0.000444977219168,0.000716243436326,29.543862886794,9.1560594421199E-08,,67.565738082125
0.8165,-2.4154352368697E-92,-8.0514507895672E-93,2.474320666996E-70,1.2244354316781E-64,1.7322297128193,0,1.800192723244E-65,4.6724229459236E-45,5.3222727782096E-67,-1.3799140099145E-46,-3.7266562631392E-67,3.7266562631345E-67,2.8986480411293E-46,2.898648041129E-46,-1.0184448698677E-56,-1.0184448698684E-56,3.7266562631374E-67,-3.7266562631363E-67,1.0184448698679E-56,1.0184448698682E-56,2.8986480411287E-46,2.8986480411296E-46,1.0109070456565E-46,1.9525056183624E-51,4.6724229459236E-51,-1.4091725060829E-16,0,329.01469625632,100000000,-2.0816681711722E-17,-0.000507201515495,0.000816166845103,33.667634774322,1.0440068903151E-07,,77.012950712103
