time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0.0165,-1.6866867068946E-294,-5.622289022982E-295,7.3179792513764E-173,0,1.7320544275189,0,2.6349274391222E-166,6.3131962797057E-146,2.9764820842272E-168,-7.1315495606263E-148,-2.0841332378791E-168,2.0841332384752E-168,1.498053647952E-147,1.498053647952E-147,-5.0124116227013E-158,-5.0124116218124E-158,2.0841332378791E-168,-2.0841332384752E-168,5.0124116227013E-158,5.0124116218124E-158,1.498053647952E-147,1.498053647952E-147,4.99351215984E-148,5.3221901508347E-154,6.3131962797058E-152,-2.0869065447594E-20,0,360.31469625632,100000000,-3.4431669925273E-42,-1.0230296879015E-05,1.6499863875603E-05,0.68029634769621,7.0843988242227E-10,,1.5535091676386
0.1165,-1.3420872016092E-184,-4.4736240053638E-185,4.0725530880047E-117,9.6894634714814E-113,1.7320763626565,0,2.0768112990627E-111,5.0261248546591E-91,2.9451885080891E-113,-7.1276478796306E-93,-2.0622214713968E-113,2.0622214713842E-113,1.4972340606521E-92,1.4972340606521E-92,-5.0408884905083E-103,-5.0408884905274E-103,2.0622214713968E-113,-2.0622214713841E-113,5.0408884905083E-103,5.0408884905274E-103,1.4972340606521E-92,1.4972340606521E-92,4.9937743484898E-93,2.9923226761528E-98,5.0261248546591E-97,-5.3650841442719E-20,0,360.31469625632,100000000,-1.0159203490115E-40,-7.2248969130949E-05,0.000116493214388,4.8033622753058,1.4848930292583E-08,,10.971170953438
0.2165,-8.4690773491173E-156,-2.8230257830391E-156,1.8104570945559E-102,7.5452091018358E-99,1.7320982908083,0,4.9679968019033E-97,1.2143946123294E-76,7.6161343905074E-99,-1.8615514418726E-78,-5.3328185363643E-99,5.3328185363735E-99,3.9103758652175E-78,3.9103758652175E-78,-1.324661945511E-88,-1.3246619455096E-88,5.3328185363644E-99,-5.3328185363735E-99,1.324661945511E-88,1.3246619455096E-88,3.9103758652175E-78,3.9103758652175E-78,1.3124861891405E-78,1.3438755120091E-83,1.2143946123294E-82,5.4050529345988E-20,0,360.31469625632,100000000,-5.4325512202038E-40,-0.000134296959687,0.00021647656723,8.9265276798611,2.7578854054203E-08,,20.39304828045
0.3165,-1.3808544149518E-138,-4.6028480498393E-139,9.9653626063603E-94,5.2886691893678E-90,1.7321202119799,0,1.8705318564437E-88,4.6183355981705E-68,3.233240965966E-90,-7.9810710833948E-70,-2.2639158491264E-90,2.2639158491421E-90,1.6765041803893E-69,1.6765041803893E-69,-5.7140529483202E-80,-5.7140529482957E-80,2.2639158491264E-90,-2.2639158491421E-90,5.7140529483203E-80,5.7140529482957E-80,1.6765041803893E-69,1.6765041803893E-69,5.6771434182393E-70,7.4729590099812E-75,4.6183355981705E-74,-2.5131270958093E-19,0,360.31469625632,100000000,-7.0735470406542E-40,-0.000196374269211,0.0003164499244,13.049793019454,4.035889245463E-08,,29.819143147985
0.4165,-2.9248944430535E-126,-9.7496481435117E-127,1.77626058534E-87,6.2461415138377E-84,1.7321421261624,0,2.5335654090652E-82,6.3182080358404E-62,4.957006138282E-84,-1.2357057007601E-63,-3.4708965025766E-84,3.4708965025742E-84,2.5957239967019E-63,2.5957239967019E-63,-8.9011078438173E-74,-8.901107843821E-74,3.4708965025766E-84,-3.4708965025742E-84,8.9011078438172E-74,8.901107843821E-74,2.5957239967019E-63,2.5957239967019E-63,8.8620288685865E-64,1.3456571445039E-68,6.3182080358404E-68,8.7943176192666E-19,0,360.31469625632,100000000,-3.1693886357423E-39,-0.000258480923784,0.000416413287897,17.173158751667,5.312883619231E-08,,39.249457557635
0.5165,-1.1963839132438E-116,-3.98794637748E-117,1.3157595534963E-82,1.8968502934766E-76,1.7321640333466,0,1.5133569237385E-77,3.8119233194738E-57,3.3278355469018E-79,-8.377707309579E-59,-2.3301509900603E-79,2.3301509900742E-79,1.7598216053725E-58,1.7598216053765E-58,-6.0715049897312E-69,-6.0715049897312E-69,2.330150990068E-79,-2.3301509900665E-79,6.0715049897412E-69,6.0715049897212E-69,1.7598216053747E-58,1.7598216053742E-58,6.049692315937E-59,1.007006050749E-63,3.8119233194738E-63,2.8443995870456E-16,0,360.31469625632,100000000,-1.2072555297287E-34,-0.000320616949524,0.000516366659719,21.296625334588,6.5932523514964E-08,,48.683993512791
0.6165,-9.0953141643221E-109,-3.0317713881083E-109,1.2849239498857E-78,1.6085532177212E-72,1.7321859335236,0,1.2381526832572E-73,3.1500507028692E-53,3.0315896975424E-75,-7.7072409237256E-55,-2.1227195982594E-75,2.1227195982627E-75,1.6189834037155E-54,1.6189834037165E-54,-5.6196577243595E-65,-5.6196577243595E-65,2.1227195982593E-75,-2.1227195982628E-75,5.619657724365E-65,5.619657724354E-65,1.6189834037155E-54,1.6189834037165E-54,5.5973442005087E-55,9.9348275986337E-60,3.1500507028692E-59,1.7524107776869E-16,0,360.31469625632,100000000,-4.4436032008677E-34,-0.000382782372588,0.000616310041863,25.420193226649,7.8727485797026E-08,,58.122753018618
0.7165,-4.3532387346598E-102,-1.4510795782205E-102,3.0796386837962E-75,3.0147922214683E-69,1.7322078266842,0,2.5533368536541E-70,6.5613253641208E-50,6.8980684312103E-72,-1.7710045830831E-51,-4.8300286351241E-72,4.830028635118E-72,3.7201730895578E-51,3.7201730895533E-51,-1.2991778622139E-61,-1.2991778622124E-61,4.8300286351145E-72,-4.8300286351276E-72,1.299177862213E-61,1.2991778622133E-61,3.720173089555E-51,3.7201730895561E-51,1.2922825274708E-51,2.4055234655871E-56,6.5613253641208E-56,-5.9522905832817E-16,0,360.31469625632,100000000,-6.3609489684635E-34,-0.000444977219168,0.000716243436325,29.543862886794,9.1558927248983E-08,,67.565738082126
0.8165,-2.7310364866123E-96,-9.1034549553733E-97,2.6310071905347E-72,1.3256846052588E-66,1.7322297128193,0,1.9141900491637E-67,4.9683044449074E-47,5.6593060617673E-69,-1.4672971578985E-48,-3.9626470229856E-69,3.9626470229851E-69,3.0822051243332E-48,3.0822051243319E-48,-1.0829379601175E-58,-1.0829379601169E-58,3.962647022985E-69,-3.9626470229858E-69,1.0829379601169E-58,1.0829379601175E-58,3.082205124333E-48,3.0822051243321E-48,1.0749228026776E-48,2.0761481686669E-53,4.9683044449074E-53,2.4170179442863E-16,0,360.31469625632,100000000,-5.5511151231258E-17,-0.000507201515496,0.000816166845103,33.667634774322,1.0440068903151E-07,,77.012950712103
