time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,-4.2073695031277e-202,-1.4024565010426e-202,4.6774901059591e-126,6.1084295908456e-121,1.7320672604262,0,3.7051858101262e-120,8.9298476463607e-100,5.2183286004418e-122,-1.2576661721012e-101,-3.6538745330784e-122,3.6538745329927e-122,2.6418541734941e-101,2.6418541734941e-101,-8.8717860992074e-112,-8.8717860993365e-112,3.6538745330784e-122,-3.6538745329926e-122,8.8717860992073e-112,8.8717860993365e-112,2.6418541734941e-101,2.6418541734941e-101,8.8063533736975e-102,3.4222862027798e-107,8.9298476463607e-106,2.2812937082653e-20,0,329.01469625632,100000000,-3.9653205430625e-41,-4.6507655308643e-05,7.4997187632053e-05,3.0922778664964,9.5532355502623e-09,8.0810348217729,7.0623297126255
0.175,-1.2858928969054e-161,-4.2863096563513e-162,1.8483567580495e-105,2.5672437723347e-101,1.7320891914721,0,6.2748145928926e-100,1.5274866550593e-79,9.2314285169095e-102,-2.247119389234e-81,-6.463847745772e-102,6.4638477458513e-102,4.7203000831843e-81,4.7203000831843e-81,-1.5949653148609e-91,-1.5949653148488e-91,6.4638477457721e-102,-6.4638477458513e-102,1.5949653148609e-91,1.5949653148488e-91,4.7203000831843e-81,4.7203000831843e-81,1.5791513027855e-81,1.3662134804536e-86,1.5274866550593e-85,4.9503683692764e-19,0,329.01469625632,100000000,-2.8129913812219e-40,-0.00010854348614178,0.00017498468926447,7.2154019322969,2.2296040171506e-08,18.859746140897,16.482457347576
0.275,-5.5230243912933e-141,-1.8410081304311e-141,5.6421483970128e-95,1.8711619240966e-91,1.7321111155416,0,1.2188765183126e-89,2.9969415483258e-69,2.0010129603153e-91,-4.9192337874008e-71,-1.4011095995801e-91,1.4011095995881e-91,1.033334488907e-70,1.033334488907e-70,-3.5130207471678e-81,-3.5130207471553e-81,1.4011095995801e-91,-1.4011095995881e-91,3.5130207471678e-81,3.5130207471553e-81,1.033334488907e-70,1.033334488907e-70,3.4863045326483e-71,4.2131424748273e-76,2.9969415483258e-75,-1.0253210785967e-19,0,329.01469625632,100000000,-7.1796707803903e-40,-0.00017060862512998,0.00027496219439594,11.338625743317,3.504766591151e-08,29.643028688836,25.906801692928
0.375,-5.1300709362275e-127,-1.7100236454092e-127,6.8986004714437e-88,5.6152925757928e-84,1.7321330326257,0,1.0928797087152e-82,2.7141417531772e-62,2.0321994597245e-84,-5.0453304797189e-64,-1.4229463915387e-84,1.4229463915361e-84,1.0598223662351e-63,1.0598223662351e-63,-3.6251096797313e-74,-3.6251096797353e-74,1.4229463915387e-84,-1.4229463915361e-84,3.6251096797313e-74,3.6251096797353e-74,1.0598223662351e-63,1.0598223662351e-63,3.6066158446218e-64,5.2041651125007e-69,2.7141417531772e-68,1.6989348150536e-19,0,329.01469625632,100000000,-1.7748290921856e-39,-0.00023270309833911,0.00037492970502486,15.461949757014,4.7814861670569e-08,40.430884464594,35.335364749527
0.475,-1.938738481136e-116,-6.4624616037868e-117,1.5837876895572e-82,1.0526120394945e-78,1.7321549427153,0,1.9808003803741e-77,4.9686915999749e-57,4.1541612364258e-79,-1.0415400236705e-58,-2.9087443719786e-79,2.9087443719885e-79,2.1878594808652e-58,2.1878594808652e-58,-7.529237312673e-69,-7.5292373126573e-69,2.9087443719787e-79,-2.9087443719884e-79,7.529237312673e-69,7.5292373126573e-69,2.1878594808652e-58,2.1878594808652e-58,7.5008533500855e-59,1.207021553971e-63,4.9686915999749e-63,-1.2868729431283e-19,0,329.01469625632,100000000,-3.9599418739569e-39,-0.00029482693187208,0.00047488722314945,19.585374431262,6.0606262333737e-08,51.223315469253,44.768148519991
0.575,-6.3765383302146e-108,-2.1255127767382e-108,3.2562367014783e-78,3.8974722391894e-74,1.7321768458013,0,3.3641874357584e-73,8.5235840615401e-53,7.8868360457624e-75,-1.9969238337771e-54,-5.5223638793122e-75,5.5223638793195e-75,4.1947391775672e-54,4.1947391775672e-54,-1.4523696735894e-64,-1.4523696735883e-64,5.5223638793123e-75,-5.5223638793194e-75,1.4523696735894e-64,1.4523696735883e-64,4.1947391775672e-54,4.1947391775672e-54,1.4470181666384e-54,2.5070418061837e-59,8.5235840615401e-59,1.5218882900519e-18,0,329.01469625632,100000000,-6.9418438504132e-39,-0.00035698015186883,0.00057483475076754,23.708900224354,7.3409906196938e-08,62.020323706005,54.205155008771
0.675,-8.6171600617711e-101,-2.8723866872576e-101,1.3221557229786e-74,3.6331499940425e-69,1.7321987418748,0,1.1636050232148e-69,2.9777480640645e-49,3.0210094244111e-71,-7.724581922017e-51,-2.115311289302e-71,2.1153112892971e-71,1.6226260546619e-50,1.622626054661e-50,-5.6523536821458e-61,-5.6523536821492e-61,2.1153112893001e-71,-2.115311289299e-71,5.6523536821441e-61,5.6523536821509e-61,1.6226260546613e-50,1.6226260546616e-50,5.6260698817629e-51,1.0283840268035e-55,2.9777480640645e-55,-9.3866004477644e-17,0,329.01469625632,100000000,-3.8750374878635e-36,-0.0004191627845079,0.00067477228987535,27.832527595015,8.6236201364665e-08,72.821911180135,63.646386222093
0.775,-1.172369128616e-94,-3.9078970953861e-95,1.6731762418589e-71,7.7120087226399e-66,1.7322206309266,0,1.2825119208114e-66,3.3150008171051e-46,3.6558935687939e-68,-9.4401633329645e-48,-2.5598572702397e-68,2.5598572702421e-68,1.9830011693793e-47,1.9830011693797e-47,-6.9497789145117e-58,-6.94977891451e-58,2.5598572702408e-68,-2.559857270241e-68,6.9497789145121e-58,6.9497789145095e-58,1.9830011693797e-47,1.9830011693794e-47,6.9049402790183e-48,1.3147435961092e-52,3.3150008171051e-52,4.0112697219055e-17,0,329.01469625632,100000000,-4.060187745812e-34,-0.00048137485600422,0.00077469984246958,31.956257002393,9.9072276188157e-08,83.628079899047,73.091844168023
0.875,-2.8244952455046e-89,-9.4149841516832e-90,8.7953703583961e-69,2.7071447379854e-63,1.7322425129476,0,5.9712074434715e-64,1.5589199697557e-43,1.8546738167213e-65,-4.8363286122747e-45,-1.2986429074913e-65,1.2986429074914e-65,1.015919423783e-44,1.0159194237833e-44,-3.5821446615615e-55,-3.582144661563e-55,1.2986429074908e-65,-1.2986429074919e-65,3.582144661564e-55,3.5821446615605e-55,1.0159194237829e-44,1.0159194237835e-44,3.5502256775739e-45,6.9819980922544e-50,1.5589199697557e-49,-4.1332533529173e-16,0,329.01469625632,100000000,-8.024830764537e-34,-0.00054361639260977,0.0008746174105457,36.08008890606,1.1191519154625e-07,94.438831872248,82.541530856422
0.975,-1.7602359869412e-84,-5.8674532898061e-85,2.328543114294e-66,8.7489197183541e-61,1.7322643879288,0,1.4186994130207e-61,3.7410287756395e-41,4.7694532499852e-63,-1.2559681354838e-42,-3.3395719397481e-63,3.3395719397469e-63,2.6382872769484e-42,2.638287276949e-42,-9.3592408631448e-53,-9.3592408631503e-53,3.3395719397471e-63,-3.3395719397479e-63,9.35924086315e-53,9.3592408631451e-53,2.6382872769481e-42,2.6382872769493e-42,9.2479973263636e-43,1.8673926917791e-47,3.7410287756395e-47,5.8730940756756e-16,0,329.01469625632,100000000,-7.2637852360299e-34,-0.00060588742061395,0.00097452499609936,40.204023766033,1.2478169575629e-07,105.25416911136,91.995448298954
1.075,-3.7048838998678e-80,-1.2349612999555e-80,3.555305859023e-64,1.3696493753277e-58,1.732286255861,0,1.9645986898286e-59,5.2325462380111e-39,7.1070423054393e-61,-1.8899934658246e-40,-4.9763521757825e-61,4.9763521757788e-61,3.9701211945811e-40,3.9701211945785e-40,-1.4169545731018e-50,-1.4169545731009e-50,4.976352175781e-61,-4.9763521757804e-61,1.4169545731005e-50,1.4169545731021e-50,3.9701211945807e-40,3.970121194579e-40,1.3953178835887e-40,2.8804057863936e-45,5.2325462380111e-45,1.4833300300745e-16,0,329.01469625632,100000000,-1.2679996610813e-33,-0.00066818796634586,0.001074422601124,44.328062042741,1.376724928562e-07,116.07409363014,101.45359850912
1.175,-3.2000580152518e-76,-1.0666860050835e-76,3.4561866256405e-62,1.00143867041e-56,1.7323081167351,0,1.7472669933715e-57,4.7004196062354e-37,6.7668649528553e-59,-1.8172722596446e-38,-4.7381599382876e-59,4.7381599382906e-59,3.8173629934689e-38,3.8173629934692e-38,-1.3707183917069e-48,-1.3707183917065e-48,4.7381599382898e-59,-4.7381599382884e-59,1.3707183917067e-48,1.3707183917067e-48,3.8173629934696e-38,3.8173629934686e-38,1.3447034494273e-38,2.8287774689732e-43,4.7004196062354e-43,1.7367080311205e-16,0,329.01469625632,100000000,-1.6265427494244e-33,-0.00073051805617009,0.0011743102276137,48.452204197058,1.5058056820887e-07,126.89860744446,110.91598350225
