time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0165,-1.6866867058322e-294,-5.6222890194406e-295,7.3179792462001e-173,0,1.7320544275189,0,2.6349274372573e-166,6.3131962777175e-146,2.9764820821205e-168,-7.1315495583803e-148,-2.0841332370219e-168,2.0841332370001e-168,1.4980536474802e-147,1.4980536474802e-147,-5.0124116214222e-158,-5.0124116214547e-158,2.0841332370219e-168,-2.0841332370001e-168,5.0124116214222e-158,5.0124116214547e-158,1.4980536474802e-147,1.4980536474802e-147,4.9935121582673e-148,5.3221901491606e-154,6.3131962777175e-152,6.7390336510648e-20,0,360.31469625632,100000000,-2.8448960818952e-41,-1.0230296878904e-05,1.6499863875756e-05,0.68029634769659,7.0858501244776e-10,1.7776071802773,1.5535091676392
0.1165,-1.3420872015947e-184,-4.473624005319e-185,4.0725530879702e-117,1.388434076987e-110,1.7320763626565,0,2.0768112990441e-111,5.0261248546332e-91,2.9451885080687e-113,-7.1276478795959e-93,-2.062221471361e-113,2.0622214713672e-113,1.497234060645e-92,1.4972340606446e-92,-5.0408884905237e-103,-5.0408884905123e-103,2.0622214713584e-113,-2.0622214713699e-113,5.0408884905256e-103,5.0408884905104e-103,1.4972340606442e-92,1.4972340606453e-92,4.9937743484656e-93,2.9923226761373e-98,5.0261248546333e-97,-9.3198883036095e-18,0,360.31469625632,100000000,-2.6853441533542e-35,-7.2248969130916e-05,0.00011649321438793,4.8033622752983,1.4839367991112e-08,12.553645257281,10.971170953437
0.2165,-8.4690773491024e-156,-2.8230257830334e-156,1.8104570945474e-102,1.4481767851229e-95,1.7320982908083,0,4.9679968018804e-97,1.2143946123281e-76,7.6161343904632e-99,-1.8615514418708e-78,-5.3328185363611e-99,5.3328185363484e-99,3.9103758652126e-78,3.910375865215e-78,-1.3246619455088e-88,-1.3246619455121e-88,5.332818536367e-99,-5.3328185363425e-99,1.3246619455092e-88,1.3246619455117e-88,3.9103758652142e-78,3.9103758652133e-78,1.3124861891393e-78,1.3438755120077e-83,1.2143946123281e-82,-1.2888314184002e-16,0,360.31469625632,100000000,-1.9081958235745e-17,-0.00013429695968676,0.00021647656722972,8.9265276798642,2.7583206738565e-08,23.33425339385,20.393048280449
0.3165,-1.3808544149441e-138,-4.6028480498128e-139,9.9653626062373e-94,3.6291759171028e-87,1.7321202119799,0,1.8705318564204e-88,4.6183355981568e-68,3.2332409659294e-90,-7.9810710833725e-70,-2.2639158491208e-90,2.263915849115e-90,1.6765041803852e-69,1.6765041803842e-69,-5.714052948306e-80,-5.7140529483093e-80,2.2639158491194e-90,-2.2639158491164e-90,5.7140529483026e-80,5.7140529483128e-80,1.6765041803848e-69,1.6765041803846e-69,5.6771434182236e-70,7.4729590099596e-75,4.6183355981568e-74,-1.6725152120764e-16,0,360.31469625632,100000000,-2.6888213877641e-17,-0.00019637426921064,0.00031644992439999,13.04979301945,4.0352258999569e-08,34.119433588569,29.819143147987
0.4165,-2.9248944430552e-126,-9.7496481435201e-127,1.7762605853401e-87,4.5022392393051e-81,1.7321421261624,0,2.5335654090655e-82,6.3182080358403e-62,4.9570061382759e-84,-1.2357057007611e-63,-3.4708965025758e-84,3.4708965025748e-84,2.5957239967023e-63,2.595723996706e-63,-8.9011078438208e-74,-8.901107843843e-74,3.4708965025807e-84,-3.47089650257e-84,8.9011078438336e-74,8.9011078438301e-74,2.5957239967037e-63,2.5957239967047e-63,8.8620288685946e-64,1.3456571445038e-68,6.3182080358403e-68,1.936828718134e-16,0,360.31469625632,100000000,-3.4694469519536e-17,-0.0002584809237837,0.00041641328789702,17.173158751668,5.313130615879e-08,44.909187841286,39.249457557634
0.5165,-1.196383913247e-116,-3.9879463774819e-117,1.3157595534952e-82,2.5686338859216e-76,1.7321640333466,0,1.5133569237368e-77,3.8119233194778e-57,3.32783554689e-79,-8.3777073095745e-59,-2.3301509900616e-79,2.3301509900631e-79,1.7598216053735e-58,1.7598216053735e-58,-6.0715049897349e-69,-6.0715049897327e-69,2.3301509900665e-79,-2.3301509900582e-79,6.0715049897273e-69,6.0715049897403e-69,1.7598216053749e-58,1.7598216053721e-58,6.0496923159333e-59,1.00700605075e-63,3.8119233194778e-63,-2.131137506984e-19,0,360.31469625632,100000000,-5.98479599212e-17,-0.00032061694952402,0.00051636665971909,21.296625334583,6.5924503040756e-08,55.703518153991,48.683993512793
0.6165,-9.095314164288e-109,-3.0317713880924e-109,1.284923949872e-78,1.7556361255567e-72,1.7321859335236,0,1.238152683244e-73,3.150050702859e-53,3.0315896975174e-75,-7.7072409237099e-55,-2.1227195982448e-75,2.1227195982495e-75,1.6189834037121e-54,1.6189834037133e-54,-5.6196577243644e-65,-5.6196577243632e-65,2.122719598249e-75,-2.1227195982453e-75,5.6196577243641e-65,5.6196577243636e-65,1.6189834037133e-54,1.6189834037121e-54,5.5973442004977e-55,9.9348275986015e-60,3.150050702859e-59,-3.6114008338341e-16,0,360.31469625632,100000000,-7.5460471204991e-17,-0.00038278237258739,0.00061631004186307,25.42019322665,7.8728340702377e-08,66.502426530703,58.122753018618
0.7165,-4.3532387346492e-102,-1.451079578217e-102,3.0796386837885e-75,3.2391482754483e-69,1.7322078266842,0,2.5533368536477e-70,6.5613253641123e-50,6.8980684311746e-72,-1.7710045830811e-51,-4.830028635105e-72,4.8300286351044e-72,3.7201730895506e-51,3.7201730895521e-51,-1.299177862213e-61,-1.299177862214e-61,4.8300286351069e-72,-4.8300286351026e-72,1.2991778622136e-61,1.2991778622134e-61,3.7201730895511e-51,3.7201730895515e-51,1.2922825274693e-51,2.405523465584e-56,6.5613253641123e-56,-2.3309093626834e-16,0,360.31469625632,100000000,-8.9338259012806e-17,-0.00044497721916799,0.00071624343632569,29.543862886793,9.1558825448791e-08,77.305914977634,67.565738082126
0.8165,-2.7310364866125e-96,-9.1034549553739e-97,2.6310071905397e-72,1.8639917586989e-66,1.7322297128193,0,1.9141900491672e-67,4.9683044449099e-47,5.6593060617605e-69,-1.4672971578978e-48,-3.9626470229839e-69,3.9626470229819e-69,3.082205124331e-48,3.0822051243313e-48,-1.0829379601166e-58,-1.0829379601171e-58,3.9626470229848e-69,-3.962647022981e-69,1.0829379601166e-58,1.0829379601171e-58,3.0822051243313e-48,3.0822051243311e-48,1.0749228026771e-48,2.076148168668e-53,4.9683044449099e-53,-3.1672915753966e-16,0,360.31469625632,100000000,-1.1709383462843e-16,-0.00050720151549538,0.00081616684510287,33.667634774322,1.0440068864345e-07,88.113985503027,77.012950712103
