time,Ep_eff,F_norm,Phi,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0.0165,0,1.7320544275189,0,-4.2039909110598E-168,4.2039909122623E-168,3.0217856544906E-147,3.0217856544907E-147,-1.0110741732506E-157,-1.0110741730713E-157,4.2039909110599E-168,-4.2039909122623E-168,1.0110741732506E-157,1.0110741730713E-157,3.0217856544906E-147,3.0217856544906E-147,1.0072618848302E-147,1.2696662040126E-151,-4.1755653560052E-20,0,355.31469625632,100000000,-3.9751107058526E-42,-1.0230296879015E-05,1.6499863875603E-05,0.68029634769621,7.0843988242227E-10,,1.5535091676386
0.1165,2.8624668985892E-112,1.7320763626565,0,-4.1629664122878E-113,4.162966412266E-113,3.0224372243877E-92,3.0224372243877E-92,-1.0175943205674E-102,-1.0175943205707E-102,4.1629664122878E-113,-4.162966412266E-113,1.0175943205674E-102,1.0175943205707E-102,3.0224372243877E-92,3.0224372243877E-92,1.0080834905677E-92,1.010819334977E-96,-9.7728051417719E-20,0,355.31469625632,100000000,-1.8172414575959E-40,-7.2248969130949E-05,0.000116493214388,4.8033622753103,1.4856211759131E-08,,10.971170953436
0.2165,8.6594961538807E-98,1.7320982908083,0,-1.0768494473216E-98,1.0768494473114E-98,7.8961708450524E-78,7.8961708450525E-78,-2.6748719669116E-88,-2.6748719669274E-88,1.0768494473216E-98,-1.0768494473114E-98,2.6748719669116E-88,2.6748719669274E-88,7.8961708450525E-78,7.8961708450525E-78,2.6502854175264E-78,2.4423061303607E-82,1.6766908698675E-19,0,355.31469625632,100000000,-5.6470414160277E-40,-0.000134296959687,0.00021647656723,8.9265276798626,2.7579437382773E-08,,20.393048280452
0.3165,3.636421717147E-89,1.7321202119799,0,-4.5738248831763E-90,4.5738248832103E-90,3.3870644641967E-69,3.3870644641967E-69,-1.1544172703724E-79,-1.1544172703671E-79,4.5738248831763E-90,-4.5738248832103E-90,1.1544172703724E-79,1.1544172703671E-79,3.3870644641967E-69,3.3870644641967E-69,1.1469600804925E-69,9.2880759095336E-74,-5.933560126001E-19,0,355.31469625632,100000000,-7.8410015172207E-40,-0.000196374269211,0.0003164499244,13.049793019449,4.0351614901008E-08,,29.819143147987
0.4165,3.6910932064667E-83,1.7321421261624,0,-7.0164685739316E-84,7.0164685739183E-84,5.2472843859676E-63,5.2472843859676E-63,-1.7993665365908E-73,-1.7993665365929E-73,7.0164685739316E-84,-7.0164685739183E-84,1.7993665365908E-73,1.7993665365929E-73,5.2472843859676E-63,5.2472843859676E-63,1.7914661452082E-63,1.2706741336104E-67,3.3313693953628E-19,0,355.31469625632,100000000,-2.0497751665534E-39,-0.000258480923783,0.000416413287897,17.173158751667,5.312883619231E-08,,39.249457557635
0.5165,3.0401878910133E-78,1.7321640333466,0,-4.7134082087131E-79,4.713408208711E-79,3.5597401270039E-58,3.5597401270039E-58,-1.228132364189E-68,-1.2281323641894E-68,4.7134082087132E-79,-4.713408208711E-79,1.228132364189E-68,1.2281323641894E-68,3.5597401270039E-58,3.5597401270039E-58,1.2237200235659E-58,7.6662755228913E-63,-4.3111335162964E-19,0,355.31469625632,100000000,-5.5264625840988E-39,-0.000320616949524,0.000516366659719,21.296625334583,6.5925022689612E-08,,48.683993512793
0.6165,7.6597440833568E-75,1.7321859335236,0,-4.2966093835559E-75,4.2966093835661E-75,3.2769791568056E-54,3.2769791568056E-54,-1.1374699601823E-64,-1.1374699601806E-64,4.2966093835559E-75,-4.2966093835661E-75,1.1374699601823E-64,1.1374699601806E-64,3.2769791568056E-54,3.2769791568056E-54,1.1329539050751E-54,6.3351632693822E-59,-8.5480995387999E-20,0,355.31469625632,100000000,-6.2859822694319E-39,-0.000382782372587,0.000616310041863,25.420193226651,7.8729908102795E-08,,58.122753018618
0.7165,3.995894377338E-71,1.7322078266842,0,-9.782942933072E-72,9.782942933075E-72,7.5349482727206E-51,7.5349482727206E-51,-2.6313831035061E-61,-2.6313831035056E-61,9.7829429330719E-72,-9.782942933075E-72,2.6313831035061E-61,2.6313831035056E-61,7.5349482727206E-51,7.5349482727206E-51,2.6174198540769E-51,1.3195682027408E-55,-1.7810807417967E-18,0,355.31469625632,100000000,-1.0122656719963E-38,-0.000444977219168,0.000716243436325,29.543862886794,9.1558931684721E-08,,67.565738082126
0.8165,4.6437440553341E-68,1.7322297128193,0,-8.0314518682081E-69,8.031451868216E-69,6.2469307837826E-48,6.2469307837826E-48,-2.1948586851185E-58,-2.1948586851171E-58,8.0314518682082E-69,-8.0314518682159E-69,2.1948586851185E-58,2.1948586851171E-58,6.2469307837826E-48,6.2469307837826E-48,2.1786180485613E-48,9.991908956201E-53,3.9113822660194E-18,0,355.31469625632,100000000,-2.1727390861801E-38,-0.000507201515495,0.000816166845102,33.667634774322,1.0440068903151E-07,,77.012950712103
0.9165,1.4848529555609E-65,1.7322515919199,0,-3.0167917250135E-66,3.0167917250086E-66,2.3696220456584E-45,2.3696220456584E-45,-8.3763289195177E-56,-8.3763289195262E-56,3.0167917250135E-66,-3.0167917250086E-66,8.3763289195177E-56,8.3763289195262E-56,2.3696220456584E-45,2.3696220456584E-45,8.2918409526767E-46,3.486799875359E-50,-4.4037190914688E-18,0,355.31469625632,100000000,-3.009916612048E-38,-0.000569455287838,0.000916080270189,37.791509348996,1.1726479816164E-07,,86.46439291916
