time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.427,0,-3.4988938060248e-141,5.4883662418728e-65,1.5497515316805e-79,1.7322486480021,44.975529475831,-2.2351206062589e-60,-5.3976053469338e-78,-2.8013383825236e-61,-1.5340917079055e-92,-7.3303321508184e-72,-1.9614975901156e-61,0,0,7.3303321508296e-72,-1.9614975901137e-61,7.3303321508184e-72,1.9614975901156e-61,-7.3303321508296e-72,1.9614975901137e-61,0,0,-2.698802673467e-78,2.1252144209088e-67,1.0295115178937e-84,-8.9528857270252e-18,5.5280951577464e-18,360.31469625632,100000000,-3.7500287201962e-39,-8.4409036333904e-05,0.00042690885704783,37.200534940175,1.9058114376241e-06,97.348057970741,85.083042389109
1.427,0,-1.6192816040802e-78,7.2495576314428e-34,4.0156985335839e-50,1.7327118259782,44.918180474873,-8.7625468562169e-30,5.6562828638111e-47,-1.1168008571269e-30,-2.1211060739292e-47,-2.1167183316797e-41,-7.8198414142312e-31,0,0,2.11671833168e-41,-7.8198414142306e-31,2.1167183316797e-41,7.8198414142312e-31,-2.11671833168e-41,7.8198414142306e-31,0,0,9.4651507600065e-48,2.8071859173526e-36,1.2006560221117e-52,-4.1635608822284e-17,2.0844524244989e-17,360.31469625632,100000000,-6.7853582731464e-38,-0.00028296227459541,0.0014259827853886,124.53245202913,6.3948560071985e-06,327.18719783897,286.03210856475
2.427,0,3.9583584453624e-51,2.9339329662181e-21,4.7684195649072e-37,1.7331747934822,44.860773849569,-2.0681878213453e-17,-1.6745559631042e-31,-2.8563441368901e-18,2.2858381027446e-32,-3.9342745459998e-29,-2.0000126282507e-18,0,0,3.9342745460003e-29,-2.0000126282507e-18,3.9342745459998e-29,2.0000126282507e-18,-3.9342745459997e-29,2.0000126282506e-18,0,0,-1.6122641664654e-32,1.1360824651513e-23,-1.6741228301701e-37,-1.9167507854255e-16,-1.6604510523361e-16,360.31469625632,100000000,-1.0150286567497e-34,-0.00048274575176194,0.0024240595611746,212.16101845177,1.0923706424083e-05,559.64583741226,489.36767549021
3.427,0,-3.429161916005e-35,3.6294928923929e-13,5.733167046599e-16,1.7336375477167,44.803309368064,-1.79728829753e-09,1.5115433224699e-23,-2.7418383237187e-10,-2.2826899879291e-24,-2.7504779699236e-21,-1.9198356392828e-10,0,0,2.7504779699237e-21,-1.9198356392833e-10,2.7504779699244e-21,1.9198356392832e-10,-2.7504779699233e-21,1.9198356392831e-10,0,0,1.6208041340125e-24,1.4054183513746e-15,1.5082342580485e-29,4.6819374089285e-16,-1.3399436033621e-16,360.31469625632,100000000,-4.3792854150498e-34,-0.000683766060502,0.0034211411728911,300.08698833106,1.5492173678165e-05,794.74361207069,695.1096140105
4.427,0,-7.418776118835e-24,3.6056780470198e-07,3.6666552533719e-10,1.7341000858202,44.745786815452,-0.001371037918046,5.126243396783e-18,-0.00023108746070626,-4.4088064904586e-19,-1.6906710865726e-15,-0.00016180747749325,0,0,1.6906710865733e-15,-0.00016180747749324,1.6906710865732e-15,0.00016180747749327,-1.6906710865728e-15,0.00016180747749322,0,0,2.9229695288167e-19,1.3961967268315e-09,5.095292555775e-24,-4.4497444301748e-16,5.3575858296153e-16,360.31469625632,100000000.00002,-6.2450045135165e-16,-0.00088602992868782,0.0044172296030809,388.31113251784,2.0166987989593e-05,1032.500232597,903.27786569357
5.427,0,8.7806542534615e-10,0.013018802520821,1.4093879975452e-05,1.7345606022054,44.688912878988,-40.90968242273,-1.4839960704727e-08,-8.3251873174404,2.1363896369568e-09,-6.7355823795947e-11,-5.829297518844,-1.7736664899226e-312,-4.7757702484238e-312,6.7355824184277e-11,-5.8292974712126,6.7355823778844e-11,5.8292975009052,-6.7355823776494e-11,5.8292974712007,-5.3061980077037e-312,-1.2432391386372e-312,-1.5223572090439e-09,5.0411626070681e-05,-1.4839735870961e-14,5.8625078233315e-13,-6.195113651525e-13,360.31469655258,100000000.62238,-9.2981178312357e-16,-0.0010926778779897,0.0054123268283687,477.28891425167,0.00049105832203646,1271.0756823625,1112.1002234716
6.427,0,1.8313844018144e-07,0.049576926809056,0.00021549812419948,1.7349970621037,44.641396118983,-152.76356559102,-3.9987115951767e-07,-69.523910590484,1.0602106718475e-07,-7.0253609457627e-07,-48.680651915787,1.5450390672155e-306,4.261288827155e-306,7.0253623187396e-07,-48.680649647108,7.0253609253605e-07,48.680651038274,-7.0253608183991e-07,48.680649633789,4.739880547984e-306,1.0664473676295e-306,-7.9953864834392e-08,0.00019197260742404,-4.9873994317826e-13,6.0003263426007e-11,-6.3185155370126e-11,360.31470492581,100000009.51635,-1.2281842210187e-15,-0.0013420498970263,0.0064064348194847,572.59652682871,-0.00093225909064286,1486.7812801765,1298.8693084029
7.427,0,1.1082977005398e-06,0.08860900144407,0.00062379450079064,1.7354070766278,44.604268543107,-270.05462622362,-1.5895281115785e-06,-114.94208625047,3.0862345438513e-07,-0.0029534177869637,-80.482457601067,6.7988995634329e-306,1.9158517921098e-305,0.0029534195554365,-80.482450943959,0.0029534177999358,80.482455063182,-0.0029534175566979,80.482450886654,2.1284994703336e-305,4.6724230523547e-306,-2.3409097985964e-07,0.00034313510986465,-1.8547550662941e-12,3.5189445119646e-10,-3.6891173664753e-10,360.31472285924,100000027.54708,-1.5196177659876e-15,-0.0016384007859125,0.0073995555412867,674.91676986964,-0.001897841821417,1675.7723037717,1460.384569653
8.427,0,2.8802467695691e-06,0.1225190718803,0.0012419101400559,1.7357864802894,44.577994227008,-370.82436825228,-1.2997606529582e-06,-141.25309514279,-1.4149665883423e-08,-4.4393083949027,-98.905413362212,8.6967391114837e-306,2.4922715404593e-305,4.439312370568,-98.905400789261,4.439308553967,98.905408699968,-4.4393076637195,98.905400704483,2.763973095416e-305,5.9797242165981e-306,-4.1429611223146e-09,0.00050686531747176,-1.2997607051321e-12,1.3594735981171e-09,-1.4932451469128e-09,360.3147512185,100000055.57561,-1.8388069029422e-15,-0.0019891058858502,0.0083916909527847,783.50441801395,-0.0086051901413328,1835.0750441058,1594.8707532435
