time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0.0165,-1.6866867068946E-294,-5.622289022982E-295,7.3179792513764E-173,0,1.7320544275189,0,2.6349274391222E-166,6.3131962797057E-146,2.9764820842272E-168,-7.1315495606263E-148,-2.0841332378791E-168,2.0841332384752E-168,1.498053647952E-147,1.498053647952E-147,-5.0124116227012E-158,-5.0124116218124E-158,2.0841332378791E-168,-2.0841332384752E-168,5.0124116227012E-158,5.0124116218124E-158,1.498053647952E-147,1.498053647952E-147,4.99351215984E-148,5.3221901508347E-154,6.3131962797058E-152,-8.7747172747609E-21,0,360.31469625632,100000000,-3.6301015398642E-42,-1.0230296879015E-05,1.6499863875603E-05,0.68029634769621,7.0843988242227E-10,,1.5535091676386
0.1165,-1.3420872015773E-184,-4.4736240052576E-185,4.072553087875E-117,1.2041072907751E-112,1.7320763626565,0,2.0768112989979E-111,5.0261248545986E-91,2.9451885080002E-113,-7.1276478795472E-93,-2.0622214713328E-113,2.062221471322E-113,1.4972340606345E-92,1.4972340606345E-92,-5.0408884905097E-103,-5.0408884905261E-103,2.0622214713328E-113,-2.062221471322E-113,5.0408884905097E-103,5.0408884905261E-103,1.4972340606345E-92,1.4972340606345E-92,4.9937743484315E-93,2.9923226761162E-98,5.0261248545986E-97,-2.424543813436E-20,0,360.31469625632,100000000,-1.04961118531E-40,-7.2248969130949E-05,0.000116493214388,4.8033622753103,1.4856211759131E-08,,10.971170953436
0.2165,-8.4690773491167E-156,-2.8230257830384E-156,1.8104570945504E-102,1.6896480956243E-96,1.7320982908083,0,4.9679968018878E-97,1.2143946123294E-76,7.6161343904707E-99,-1.8615514418722E-78,-5.3328185363783E-99,5.3328185363515E-99,3.9103758652159E-78,3.9103758652173E-78,-1.324661945508E-88,-1.3246619455129E-88,5.332818536382E-99,-5.3328185363478E-99,1.3246619455082E-88,1.3246619455127E-88,3.910375865217E-78,3.9103758652163E-78,1.3124861891402E-78,1.3438755120091E-83,1.2143946123294E-82,1.0547701859743E-16,0,360.31469625632,100000000,-5.6395637065029E-36,-0.000134296959687,0.00021647656723,8.9265276798585,2.7575529214536E-08,,20.39304828045
0.3165,-1.3808544149413E-138,-4.6028480498183E-139,9.9653626062225E-94,3.5168470731679E-87,1.7321202119799,0,1.8705318564178E-88,4.6183355981576E-68,3.2332409659464E-90,-7.9810710833806E-70,-2.2639158491291E-90,2.2639158491202E-90,1.6765041803866E-69,1.6765041803861E-69,-5.7140529483009E-80,-5.714052948312E-80,2.263915849121E-90,-2.2639158491283E-90,5.7140529483108E-80,5.7140529483022E-80,1.6765041803843E-69,1.6765041803884E-69,5.6771434182296E-70,7.4729590099607E-75,4.6183355981576E-74,3.4787847573272E-16,0,360.31469625632,100000000,-2.1102383633192E-34,-0.000196374269211,0.0003164499244,13.049793019451,4.0355252790096E-08,,29.819143147986
0.4165,-2.9248944430648E-126,-9.7496481435433E-127,1.7762605853385E-87,3.2181074244919E-81,1.7321421261624,0,2.5335654090631E-82,6.3182080358436E-62,4.9570061382959E-84,-1.2357057007634E-63,-3.4708965025818E-84,3.4708965025773E-84,2.5957239967114E-63,2.5957239967066E-63,-8.9011078438616E-74,-8.9011078438423E-74,3.4708965025751E-84,-3.470896502584E-84,8.9011078438458E-74,8.9011078438581E-74,2.5957239967095E-63,2.5957239967085E-63,8.8620288686118E-64,1.3456571445046E-68,6.3182080358436E-68,-2.4525213851324E-18,0,360.31469625632,100000000,-6.9388939039072E-18,-0.000258480923784,0.000416413287897,17.173158751668,5.312944285269E-08,,39.249457557635
0.5165,-1.1963839132567E-116,-3.9879463775121E-117,1.3157595535124E-82,2.1216632397042E-76,1.7321640333466,0,1.5133569237567E-77,3.8119233194939E-57,3.3278355469248E-79,-8.3777073096025E-59,-2.3301509900836E-79,2.3301509900854E-79,1.7598216053805E-58,1.7598216053783E-58,-6.0715049897382E-69,-6.0715049897234E-69,2.3301509900864E-79,-2.3301509900826E-79,6.0715049897218E-69,6.0715049897399E-69,1.7598216053813E-58,1.7598216053775E-58,6.0496923159531E-59,1.0070060507543E-63,3.8119233194939E-63,-9.4712266622766E-16,0,360.31469625632,100000000,-6.9388939039072E-18,-0.000320616949524,0.000516366659719,21.296625334584,6.5925628586091E-08,,48.683993512793
0.6165,-9.0953141643283E-109,-3.0317713881067E-109,1.2849239498812E-78,1.7200131491346E-72,1.7321859335236,0,1.2381526832529E-73,3.1500507028681E-53,3.0315896975357E-75,-7.7072409237242E-55,-2.1227195982612E-75,2.1227195982585E-75,1.6189834037156E-54,1.6189834037158E-54,-5.6196577243572E-65,-5.6196577243624E-65,2.1227195982617E-75,-2.122719598258E-75,5.6196577243572E-65,5.6196577243624E-65,1.6189834037158E-54,1.6189834037156E-54,5.5973442005078E-55,9.9348275986302E-60,3.1500507028681E-59,-1.011755812467E-15,0,360.31469625632,100000000,-6.9388939039072E-18,-0.000382782372587,0.000616310041863,25.42019322665,7.8728090486177E-08,,58.122753018618
0.7165,-4.353238734653E-102,-1.4510795782162E-102,3.079638683788E-75,2.341087089089E-69,1.7322078266842,0,2.5533368536472E-70,6.56132536411E-50,6.8980684311647E-72,-1.7710045830807E-51,-4.8300286351009E-72,4.8300286351032E-72,3.7201730895505E-51,3.7201730895505E-51,-1.2991778622137E-61,-1.2991778622133E-61,4.8300286351083E-72,-4.8300286350957E-72,1.2991778622124E-61,1.2991778622145E-61,3.7201730895527E-51,3.7201730895483E-51,1.292282527469E-51,2.4055234655832E-56,6.56132536411E-56,2.2530969213919E-16,0,360.31469625632,100000000,-6.9388939039072E-18,-0.000444977219168,0.000716243436326,29.543862886794,9.1558917490359E-08,,67.565738082126
0.8165,-2.7310364866098E-96,-9.103454955367E-97,2.631007190539E-72,1.4935752596979E-66,1.7322297128193,0,1.9141900491667E-67,4.9683044449061E-47,5.6593060617645E-69,-1.4672971578978E-48,-3.9626470229821E-69,3.9626470229875E-69,3.0822051243306E-48,3.0822051243318E-48,-1.0829379601167E-58,-1.0829379601164E-58,3.9626470229858E-69,-3.9626470229838E-69,1.0829379601167E-58,1.0829379601164E-58,3.0822051243317E-48,3.0822051243307E-48,1.0749228026772E-48,2.0761481686664E-53,4.9683044449061E-53,2.672461266396E-16,0,360.31469625632,100000000,-6.9388939039072E-18,-0.000507201515495,0.000816166845103,33.667634774322,1.0440068814451E-07,,77.012950712103
0.9165,-3.6126791905862E-91,-1.2042263968634E-91,1.0203354285842E-69,6.3054071423678E-64,1.7322515919199,0,6.6133933714842E-65,1.7337511175478E-44,2.1243421677544E-66,-5.5621336216103E-46,-1.4874647306519E-66,1.4874647306508E-66,1.1683820593852E-45,1.1683820593845E-45,-4.1301161396513E-56,-4.1301161396488E-56,1.4874647306488E-66,-1.4874647306539E-66,4.1301161396524E-56,4.1301161396477E-56,1.1683820593843E-45,1.1683820593854E-45,4.0884453839099E-46,8.1340214263348E-51,1.7337511175478E-50,-6.4214988614883E-17,0,360.31469625632,100000000,-6.9388939039072E-18,-0.000569455287838,0.00091608027019,37.791509348996,1.1726358848463E-07,,86.464392919161
1.0165,-1.3958623988372E-86,-4.6528746627884E-87,2.1197764130759E-67,9.2571221584961E-62,1.7322734639768,0,1.2387713849416E-62,3.28014000977E-42,4.2960612468946E-64,-1.1359232831259E-43,-3.0081027823517E-64,3.0081027823527E-64,2.3861210016331E-43,2.3861210016346E-43,-8.4860206119726E-54,-8.4860206119798E-54,3.0081027823546E-64,-3.0081027823498E-64,8.4860206119765E-54,8.486020611976E-54,2.386121001634E-43,2.3861210016338E-43,8.373615300789E-44,1.707174811487E-48,3.28014000977E-48,1.0931552581109E-15,0,360.31469625632,100000000,-6.9388939039072E-18,-0.000631738562502,0.001015983713582,41.915487070998,1.3013947261455E-07,,95.920066715744
1.1165,-1.9889472762559E-82,-6.6298242541907E-83,2.655814923533E-65,1.2183856878304E-59,1.732295328981,0,1.4130000910263E-60,3.7790426350404E-40,5.2613896949403E-62,-1.4048833115983E-41,-3.6840259183509E-62,3.6840259183472E-62,2.9510985684037E-41,2.9510985684043E-41,-1.0559139653434E-51,-1.0559139653444E-51,3.6840259183485E-62,-3.6840259183495E-62,1.0559139653442E-51,1.0559139653437E-51,2.951098568403E-41,2.951098568405E-41,1.0382023338114E-41,2.1607817208256E-46,3.7790426350404E-46,-2.8649826739364E-16,0,360.31469625632,100000000,-6.9388939039072E-18,-0.000694051365829,0.001115877177273,46.039568400936,1.4301853581867E-07,,105.37997411611
1.2165,-1.2420050653003E-78,-4.1400168843364E-79,2.1903921150058E-63,8.1862560132279E-58,1.7323171869233,0,1.0695656980663E-58,2.8892493199812E-38,4.2553604469851E-60,-1.1474588548496E-39,-2.9796040756484E-60,2.9796040756445E-60,2.4103526292143E-39,2.4103526292129E-39,-8.6767606305001E-50,-8.6767606304989E-50,2.9796040756458E-60,-2.9796040756472E-60,8.6767606304967E-50,8.6767606305023E-50,2.4103526292135E-39,2.4103526292138E-39,8.4980357125421E-40,1.8003612924117E-44,2.8892493199812E-44,-5.0576083266176E-16,0,360.31469625632,100000000,-6.9388939039072E-18,-0.000756393724201,0.001215760663256,50.163753799873,1.559377539112E-07,,114.84411713631
1.3165,-3.8759763371961E-75,-1.2919921123994E-75,1.2711918649583E-61,3.9193177751232E-56,1.7323390377946,0,5.7356486439974E-57,1.5649397112626E-36,2.4278437382769E-58,-6.6112302138723E-38,-1.6999765795923E-58,1.6999765795934E-58,1.3887553406377E-37,1.3887553406376E-37,-5.029606861171E-48,-5.0296068611686E-48,1.699976579592E-58,-1.6999765795938E-58,5.0296068611713E-48,5.0296068611683E-48,1.3887553406376E-37,1.3887553406377E-37,4.9055724562403E-38,1.0555362966994E-42,1.5649397112626E-42,4.057639735534E-16,0,360.31469625632,100000000,-6.9388939039072E-18,-0.000818765664037,0.001315634173525,54.288043729258,1.6885835808785E-07,,124.31249779427
1.4165,-6.695936161009E-72,-2.2319787203365E-72,5.4676393456963E-60,1.2179080397335E-54,1.7323608815856,0,2.2928209890738E-55,6.318620987662E-35,1.0286452146196E-56,-2.8287057494106E-36,-7.2025754623148E-57,7.2025754623128E-57,5.9419806745552E-36,5.9419806745551E-36,-2.1650596788608E-46,-2.1650596788611E-46,7.202575462314E-57,-7.2025754623136E-57,2.1650596788609E-46,2.165059678861E-46,5.941980674555E-36,5.9419806745553E-36,2.1024543240676E-36,4.5865459903681E-41,6.318620987662E-41,-8.5346358797719E-17,0,360.31469625632,100000000,-6.9388939039072E-18,-0.000881167211792,0.001415497710073,58.412438651016,1.817984789883E-07,,133.78511810971
1.5165,-6.9450609190918E-69,-2.3150203063625E-69,1.816240731691E-58,4.8472654079587E-53,1.7323827182873,0,7.1139763566007E-54,1.9801643001245E-33,3.371250068187E-55,-9.3621071528999E-35,-2.3605498449182E-55,2.3605498449184E-55,1.9666046843942E-34,1.9666046843948E-34,-7.2091678596471E-45,-7.2091678596498E-45,2.3605498449197E-55,-2.3605498449168E-55,7.2091678596473E-45,7.2091678596496E-45,1.9666046843947E-34,1.9666046843943E-34,6.968901361479E-35,1.5391561691662E-39,1.9801643001245E-39,1.2360435092912E-16,0,360.31469625632,100000000,-6.9388939039072E-18,-0.000943598393962,0.001515351274889,62.536939027492,1.947623616525E-07,,143.26198010423
1.6165,-4.617841617049E-66,-1.5392805390171E-66,4.8168704008687E-57,6.78115063426E-52,1.7324045478904,0,1.7699671705954E-52,4.9761130588823E-32,8.832925565233E-54,-2.4771229826032E-33,-6.1848159144089E-54,6.1848159144052E-54,5.2034457434085E-33,5.2034457434077E-33,-1.9190559454539E-43,-1.9190559454541E-43,6.1848159144059E-54,-6.1848159144082E-54,1.919055945454E-43,1.919055945454E-43,5.2034457434075E-33,5.2034457434086E-33,1.8463874850901E-33,4.1237960659426E-38,4.9761130588823E-38,8.6438107009179E-17,0,360.31469625632,100000000,-6.9388939039072E-18,-0.001006059237079,0.001615194869967,66.661545321437,2.0772528183911E-07,,152.7430858012
