time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0165,-1.6866867068946E-294,-5.622289022982E-295,7.3179792513764E-173,0,1.7320544275189,0,2.6349274391222E-166,6.3131962797057E-146,2.9764820842272E-168,-7.1315495606263E-148,-2.0841332378791E-168,2.0841332384752E-168,1.498053647952E-147,1.498053647952E-147,-5.0124116227013E-158,-5.0124116218124E-158,2.0841332378791E-168,-2.0841332384752E-168,5.0124116227012E-158,5.0124116218124E-158,1.498053647952E-147,1.498053647952E-147,4.99351215984E-148,5.3221901508347E-154,6.3131962797058E-152,-2.1233221855294E-21,0,360.31469625632,100000000,-4.7561027746397E-42,-1.0230296879015E-05,1.6499863875603E-05,0.68029634769621,7.0843988242227E-10,1.7776071802764,1.5535091676386
0.1165,-1.3420872015864E-184,-4.4736240052754E-185,4.0725530878911E-117,6.649512689881E-110,1.7320763626565,0,2.0768112990039E-111,5.0261248546087E-91,2.9451885079732E-113,-7.1276478795613E-93,-2.0622214713481E-113,2.062221471328E-113,1.4972340606327E-92,1.4972340606423E-92,-5.0408884904765E-103,-5.0408884905593E-103,2.0622214713732E-113,-2.062221471303E-113,5.0408884904909E-103,5.0408884905449E-103,1.4972340606396E-92,1.4972340606354E-92,4.9937743484414E-93,2.9923226761231E-98,5.0261248546087E-97,-7.8186502218939E-17,0,360.31469625632,100000000,-1.0768630526895E-34,-7.2248969131129E-05,0.000116493214388,4.8033622753021,1.4843321671879E-08,12.553645257287,10.971170953439
0.2165,-8.4690773490943E-156,-2.8230257830391E-156,1.8104570945613E-102,7.9056928021924E-96,1.7320982908083,0,4.96799680192E-97,1.2143946123294E-76,7.6161343905672E-99,-1.8615514418727E-78,-5.3328185363497E-99,5.3328185363885E-99,3.9103758652197E-78,3.9103758652155E-78,-1.3246619455145E-88,-1.3246619455062E-88,5.3328185363229E-99,-5.3328185364153E-99,1.3246619455163E-88,1.3246619455044E-88,3.9103758652122E-78,3.910375865223E-78,1.3124861891406E-78,1.3438755120087E-83,1.2143946123294E-82,-2.764719123663E-16,0,360.31469625632,100000000,-2.5659610914622E-34,-0.000134296959687,0.000216476567229,8.9265276798641,2.7586471952418E-08,23.334253393846,20.393048280444
0.3165,-1.3808544149462E-138,-4.6028480498184E-139,9.9653626062968E-94,1.8182425300658E-87,1.7321202119799,0,1.8705318564316E-88,4.6183355981576E-68,3.233240965945E-90,-7.9810710833808E-70,-2.2639158491166E-90,2.2639158491321E-90,1.6765041803855E-69,1.6765041803873E-69,-5.7140529483141E-80,-5.7140529483001E-80,2.2639158491214E-90,-2.2639158491274E-90,5.7140529483169E-80,5.7140529482973E-80,1.6765041803868E-69,1.676504180386E-69,5.6771434182298E-70,7.4729590099609E-75,4.6183355981576E-74,-3.4850168252296E-16,0,360.31469625632,100000000,-4.2594536825656E-34,-0.000196374269211,0.0003164499244,13.04979301945,4.0352827530704E-08,34.119433588569,29.819143147987
0.4165,-2.9248944430542E-126,-9.7496481435201E-127,1.7762605853395E-87,5.631108662889E-81,1.7321421261624,0,2.5335654090645E-82,6.3182080358403E-62,4.957006138262E-84,-1.2357057007611E-63,-3.4708965025719E-84,3.4708965025746E-84,2.5957239966997E-63,2.5957239967087E-63,-8.9011078438122E-74,-8.901107843858E-74,3.4708965025862E-84,-3.4708965025602E-84,8.9011078438394E-74,8.9011078438309E-74,2.5957239967038E-63,2.5957239967046E-63,8.8620288685946E-64,1.3456571445039E-68,6.3182080358403E-68,4.1749518386312E-16,0,360.31469625632,100000000,-8.5761819848166E-34,-0.000258480923784,0.000416413287897,17.173158751667,5.312883619231E-08,44.909187841285,39.249457557635
0.5165,-1.1963839132447E-116,-3.9879463774795E-117,1.3157595535006E-82,1.9312526609031E-76,1.7321640333466,0,1.5133569237432E-77,3.8119233194754E-57,3.3278355468952E-79,-8.3777073095746E-59,-2.3301509900603E-79,2.3301509900708E-79,1.7598216053714E-58,1.7598216053757E-58,-6.0715049897251E-69,-6.0715049897324E-69,2.3301509900691E-79,-2.3301509900619E-79,6.071504989735E-69,6.0715049897225E-69,1.7598216053739E-58,1.7598216053731E-58,6.0496923159335E-59,1.0070060507494E-63,3.8119233194754E-63,7.3232704320391E-16,0,360.31469625632,100000000,-1.1956648826912E-33,-0.000320616949525,0.000516366659719,21.296625334583,6.5925022689612E-08,55.703518153991,48.683993512793
0.6165,-9.0953141643029E-109,-3.0317713881008E-109,1.2849239498773E-78,1.0941727488919E-72,1.7321859335236,0,1.2381526832491E-73,3.1500507028637E-53,3.0315896975389E-75,-7.7072409237199E-55,-2.1227195982573E-75,2.122719598257E-75,1.6189834037155E-54,1.6189834037141E-54,-5.619657724363E-65,-5.6196577243552E-65,2.1227195982541E-75,-2.1227195982603E-75,5.6196577243601E-65,5.6196577243581E-65,1.6189834037146E-54,1.618983403715E-54,5.5973442005049E-55,9.9348275986163E-60,3.1500507028637E-59,1.3246953104033E-16,0,360.31469625632,100000000,-1.4557850657441E-33,-0.000382782372588,0.000616310041863,25.420193226649,7.8727481360569E-08,66.502426530702,58.122753018618
0.7165,-4.3532387346686E-102,-1.4510795782221E-102,3.0796386838015E-75,1.8342277015523E-69,1.7322078266842,0,2.5533368536584E-70,6.5613253641257E-50,6.8980684311982E-72,-1.7710045830837E-51,-4.8300286351285E-72,4.8300286351224E-72,3.7201730895569E-51,3.7201730895565E-51,-1.2991778622127E-61,-1.2991778622135E-61,4.8300286351317E-72,-4.8300286351192E-72,1.2991778622119E-61,1.2991778622143E-61,3.7201730895579E-51,3.7201730895556E-51,1.2922825274711E-51,2.4055234655889E-56,6.5613253641257E-56,-6.8742601892376E-16,0,360.31469625632,100000000,-1.7195427960371E-33,-0.000444977219169,0.000716243436325,29.543862886794,9.1558931684721E-08,77.305914977634,67.565738082126
0.8165,-2.7310364866149E-96,-9.10345495537E-97,2.631007190548E-72,1.9674191943907E-66,1.7322297128193,0,1.9141900491731E-67,4.9683044449074E-47,5.6593060617597E-69,-1.4672971578979E-48,-3.9626470229762E-69,3.9626470229906E-69,3.08220512433E-48,3.0822051243328E-48,-1.0829379601173E-58,-1.0829379601164E-58,3.9626470229864E-69,-3.9626470229804E-69,1.0829379601171E-58,1.0829379601166E-58,3.0822051243331E-48,3.0822051243297E-48,1.0749228026772E-48,2.0761481686669E-53,4.9683044449074E-53,-8.8256627632775E-17,0,360.31469625632,100000000,-1.9440570602077E-33,-0.000507201515496,0.000816166845102,33.667634774322,1.0440068903151E-07,88.113985503027,77.012950712103
