time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0.0165,-1.6866867068946E-294,-5.622289022982E-295,7.3179792513764E-173,0,1.7320544275189,0,2.6349274391222E-166,6.3131962797057E-146,2.9764820842272E-168,-7.1315495606263E-148,-2.0841332378791E-168,2.0841332384752E-168,1.498053647952E-147,1.498053647952E-147,-5.0124116227013E-158,-5.0124116218124E-158,2.0841332378791E-168,-2.0841332384752E-168,5.0124116227012E-158,5.0124116218124E-158,1.498053647952E-147,1.498053647952E-147,4.99351215984E-148,5.3221901508347E-154,6.3131962797058E-152,-8.9334618153441E-21,0,360.31469625632,100000000,-1.3299687718201E-42,-1.0230296879015E-05,1.6499863875603E-05,0.68029634769621,7.0843988242227E-10,,1.5535091676386
0.1165,-1.3420872015773E-184,-4.4736240052576E-185,4.072553087875E-117,1.5186388652626E-112,1.7320763626565,0,2.0768112989979E-111,5.0261248545986E-91,2.9451885080003E-113,-7.1276478795472E-93,-2.0622214713328E-113,2.062221471322E-113,1.4972340606345E-92,1.4972340606345E-92,-5.0408884905097E-103,-5.0408884905261E-103,2.0622214713328E-113,-2.062221471322E-113,5.0408884905097E-103,5.0408884905261E-103,1.4972340606345E-92,1.4972340606345E-92,4.9937743484315E-93,2.9923226761162E-98,5.0261248545986E-97,-1.2046571545424E-19,0,360.31469625632,100000000,-1.5067158472931E-40,-7.2248969130949E-05,0.000116493214388,4.8033622753103,1.4856211759131E-08,,10.971170953436
0.2165,-8.4690773491154E-156,-2.8230257830385E-156,1.8104570945453E-102,7.6138825664408E-99,1.7320982908083,0,4.9679968018736E-97,1.2143946123294E-76,7.6161343904589E-99,-1.8615514418722E-78,-5.3328185363902E-99,5.3328185363396E-99,3.9103758652167E-78,3.9103758652167E-78,-1.3246619455065E-88,-1.3246619455143E-88,5.3328185363902E-99,-5.3328185363395E-99,1.3246619455065E-88,1.3246619455143E-88,3.9103758652167E-78,3.9103758652167E-78,1.3124861891402E-78,1.3438755120093E-83,1.2143946123294E-82,4.3191615510648E-20,0,360.31469625632,100000000,-5.4740212903374E-40,-0.000134296959687,0.00021647656723,8.9265276798626,2.7579437382773E-08,,20.393048280452
0.3165,-1.3808544149444E-138,-4.6028480498147E-139,9.9653626062947E-94,7.0009442722113E-90,1.7321202119799,0,1.8705318564313E-88,4.6183355981576E-68,3.2332409659475E-90,-7.9810710833743E-70,-2.2639158491122E-90,2.2639158491291E-90,1.676504180385E-69,1.676504180385E-69,-5.7140529483185E-80,-5.7140529482921E-80,2.2639158491123E-90,-2.2639158491291E-90,5.7140529483185E-80,5.7140529482921E-80,1.676504180385E-69,1.676504180385E-69,5.6771434182248E-70,7.472959009961E-75,4.6183355981576E-74,1.7239238465882E-19,0,360.31469625632,100000000,-6.6905947766695E-40,-0.000196374269211,0.0003164499244,13.049793019449,4.0351614901008E-08,,29.819143147987
0.4165,-2.9248944430565E-126,-9.7496481435217E-127,1.7762605853377E-87,2.372553893124E-84,1.7321421261624,0,2.5335654090618E-82,6.3182080358404E-62,4.9570061382924E-84,-1.2357057007613E-63,-3.470896502588E-84,3.4708965025815E-84,2.5957239967046E-63,2.5957239967046E-63,-8.9011078438139E-74,-8.9011078438243E-74,3.4708965025881E-84,-3.4708965025815E-84,8.9011078438139E-74,8.9011078438243E-74,2.5957239967046E-63,2.5957239967046E-63,8.8620288685962E-64,1.3456571445039E-68,6.3182080358404E-68,2.0179994705599E-19,0,360.31469625632,100000000,-1.6601984704008E-39,-0.000258480923783,0.000416413287897,17.173158751667,5.312883619231E-08,,39.249457557635
0.5165,-1.1963839132496E-116,-3.9879463774985E-117,1.3157595535039E-82,5.52639761624E-79,1.7321640333466,0,1.513356923747E-77,3.8119233194867E-57,3.3278355469127E-79,-8.3777073095897E-59,-2.3301509900761E-79,2.3301509900741E-79,1.7598216053767E-58,1.7598216053767E-58,-6.0715049897293E-69,-6.0715049897325E-69,2.3301509900761E-79,-2.3301509900741E-79,6.0715049897293E-69,6.0715049897326E-69,1.7598216053767E-58,1.7598216053767E-58,6.049692315944E-59,1.0070060507524E-63,3.8119233194867E-63,-2.0199717431094E-19,0,360.31469625632,100000000,-3.3894468205897E-39,-0.000320616949524,0.000516366659719,21.296625334583,6.5925022689612E-08,,48.683993512793
0.6165,-9.0953141643019E-109,-3.0317713881006E-109,1.2849239498716E-78,9.0172757256832E-75,1.7321859335236,0,1.2381526832436E-73,3.1500507028626E-53,3.031589697534E-75,-7.7072409237221E-55,-2.1227195982599E-75,2.1227195982569E-75,1.6189834037153E-54,1.6189834037153E-54,-5.6196577243571E-65,-5.6196577243622E-65,2.12271959826E-75,-2.1227195982569E-75,5.6196577243571E-65,5.6196577243622E-65,1.6189834037153E-54,1.6189834037153E-54,5.5973442005067E-55,9.9348275986127E-60,3.1500507028626E-59,-3.5483103193267E-19,0,360.31469625632,100000000,-3.4820746433538E-39,-0.000382782372587,0.000616310041863,25.420193226651,7.8729902779046E-08,,58.122753018618
0.7165,-4.3532387346481E-102,-1.451079578216E-102,3.079638683782E-75,2.5854280491101E-71,1.7322078266842,0,2.5533368536422E-70,6.56132536411E-50,6.8980684311623E-72,-1.7710045830806E-51,-4.8300286351113E-72,4.8300286350941E-72,3.7201730895502E-51,3.7201730895502E-51,-1.2991778622117E-61,-1.2991778622146E-61,4.8300286351114E-72,-4.830028635094E-72,1.2991778622117E-61,1.2991778622146E-61,3.7201730895502E-51,3.7201730895502E-51,1.2922825274689E-51,2.4055234655832E-56,6.56132536411E-56,1.8377050973853E-18,0,360.31469625632,100000000,-1.0548641916566E-38,-0.000444977219168,0.000716243436325,29.543862886794,9.1558917490359E-08,,67.565738082126
0.8165,-2.731036486613E-96,-9.1034549553766E-97,2.6310071905412E-72,2.0254981636331E-68,1.7322297128193,0,1.9141900491681E-67,4.9683044449074E-47,5.6593060617661E-69,-1.467297157899E-48,-3.9626470229869E-69,3.9626470229849E-69,3.0822051243336E-48,3.0822051243337E-48,-1.0829379601175E-58,-1.0829379601179E-58,3.962647022987E-69,-3.9626470229849E-69,1.0829379601175E-58,1.0829379601179E-58,3.0822051243337E-48,3.0822051243337E-48,1.074922802678E-48,2.076148168667E-53,4.9683044449074E-53,-3.0277102499644E-18,0,360.31469625632,100000000,-1.4301071779172E-38,-0.000507201515495,0.000816166845103,33.667634774319,1.0439584953873E-07,,77.012950712105
0.9165,-3.6126791905818E-91,-1.2042263968606E-91,1.0203354285818E-69,5.7320611759438E-66,1.7322515919199,0,6.613393371469E-65,1.7337511175445E-44,2.1243421677501E-66,-5.5621336216077E-46,-1.4874647306545E-66,1.487464730651E-66,1.1683820593843E-45,1.1683820593843E-45,-4.1301161396414E-56,-4.1301161396475E-56,1.4874647306546E-66,-1.487464730651E-66,4.1301161396414E-56,4.1301161396475E-56,1.1683820593843E-45,1.1683820593843E-45,4.0884453839082E-46,8.1340214263194E-51,1.7337511175445E-50,3.9023784951165E-18,0,360.31469625632,100000000,-1.8639687955689E-38,-0.000569455287838,0.00091608027019,37.791509348996,1.1726479816164E-07,,86.46439291916
1.0165,-1.3958623988365E-86,-4.6528746627907E-87,2.1197764130763E-67,5.4965792371637E-62,1.7322734639768,0,1.2387713849419E-62,3.280140009771E-42,4.2960612468979E-64,-1.1359232831261E-43,-3.0081027823537E-64,3.0081027823519E-64,2.386121001634E-43,2.3861210016344E-43,-8.4860206119746E-54,-8.48602061198E-54,3.0081027823535E-64,-3.0081027823521E-64,8.4860206119772E-54,8.4860206119773E-54,2.386121001634E-43,2.3861210016345E-43,8.3736153007902E-44,1.7071748114875E-48,3.280140009771E-48,1.1563969673465E-16,0,360.31469625632,100000000,-2.6974441949465E-34,-0.000631738562501,0.001015983713582,41.915487070998,1.3013947172783E-07,,95.920066715744
1.1165,-1.9889472762567E-82,-6.6298242541892E-83,2.6558149235288E-65,4.3758626362228E-60,1.732295328981,0,1.413000091024E-60,3.7790426350389E-40,5.261389694937E-62,-1.4048833115985E-41,-3.6840259183541E-62,3.6840259183472E-62,2.9510985684043E-41,2.9510985684047E-41,-1.0559139653432E-51,-1.0559139653446E-51,3.6840259183542E-62,-3.6840259183472E-62,1.0559139653434E-51,1.0559139653444E-51,2.9510985684043E-41,2.9510985684047E-41,1.0382023338116E-41,2.1607817208248E-46,3.7790426350389E-46,-7.8261102462285E-17,0,360.31469625632,100000000,-3.7028029782345E-34,-0.000694051365829,0.001115877177273,46.039568400939,1.4302253869275E-07,,105.37997411611
1.2165,-1.2420050653004E-78,-4.140016884333E-79,2.1903921150103E-63,8.2159403492073E-58,1.7323171869233,0,1.0695656980684E-58,2.8892493199786E-38,4.2553604469821E-60,-1.1474588548497E-39,-2.9796040756432E-60,2.9796040756475E-60,2.4103526292131E-39,2.4103526292144E-39,-8.6767606305022E-50,-8.6767606305023E-50,2.9796040756456E-60,-2.9796040756451E-60,8.6767606305057E-50,8.6767606304987E-50,2.4103526292138E-39,2.4103526292137E-39,8.4980357125428E-40,1.8003612924101E-44,2.8892493199786E-44,3.7244163898024E-16,0,360.31469625632,100000000,-6.9388939039072E-18,-0.000756393724201,0.001215760663256,50.163753799873,1.559377539112E-07,,114.84411713631
