time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00618,0,0,2.2897947613239e-194,0,1.7320521634131,0,2.2012534552245e-187,5.2708358420534e-167,9.2663251830622e-190,-2.2187939686403e-169,-6.4882823939489e-190,6.4882823971553e-190,4.6607996908929e-169,4.6607996908928e-169,-1.5588763384043e-179,-1.5588763379267e-179,6.4882823939488e-190,-6.4882823971553e-190,1.5588763384043e-179,1.5588763379267e-179,4.6607996908928e-169,4.6607996908929e-169,1.5535998969643e-169,1.6642386920091e-175,5.2708358420534e-173,4.8832159757477e-21,0,360.31469625632,100000000,-1.6400959738893e-43,-3.8316418198958e-06,6.1799809039281e-06,0.25480158899157,3.0843824005134e-11,0.66578012275188,0.58184636149035
0.1021,-6.5422949499916e-191,-2.1807649833397e-191,2.5005140398369e-120,4.8099371186067e-113,1.7320732044282,0,1.4549917044104e-114,3.5161826495872e-94,2.055170816054e-116,-4.9665803689181e-96,-1.4390309389925e-116,1.4390309389585e-116,1.0432801141259e-95,1.0432801141258e-95,-3.509391503964e-106,-3.5093915040151e-106,1.4390309389844e-116,-1.4390309389665e-116,3.5093915039758e-106,3.5093915040033e-106,1.0432801141237e-95,1.0432801141281e-95,3.4785232708542e-96,1.8345651322391e-101,3.5161826495872e-100,-3.5059814323955e-18,0,360.31469625632,100000000,-1.0214548643862e-34,-6.3316471902558e-05,0.00010209478813754,4.2096346615576,1.2988385378961e-08,11.001614159261,9.6147678909876
0.2021,-6.0341237111014e-159,-2.0113745703675e-159,4.5522235501679e-104,1.8058411377234e-97,1.7320951335844,0,1.3381629278951e-98,3.2663465138342e-78,2.0203587604262e-100,-4.9311785597805e-80,-1.4146555319661e-100,1.4146555319684e-100,1.0358436083738e-79,1.0358436083755e-79,-3.5058853075829e-90,-3.5058853075886e-90,1.4146555319689e-100,-1.4146555319657e-100,3.5058853075879e-90,3.5058853075837e-90,1.0358436083746e-79,1.0358436083747e-79,3.4725559240007e-80,3.3740896408978e-85,3.2663465138342e-84,4.8697091098396e-16,0,360.31469625632,100000000,-4.6323514285326e-34,-0.00012536024267369,0.0002020795805209,8.3327857131568,2.5742622305766e-08,21.781564084063,19.036038056917
0.3021,-1.0993201745356e-140,-3.6644005817861e-141,8.5760122584792e-95,2.2082765047916e-88,1.7321170557618,0,1.6864797963815e-89,4.1579218456639e-69,2.8631191404588e-91,-7.0574311612135e-71,-2.0047564868483e-91,2.0047564868495e-91,1.482484333362e-70,1.4824843333628e-70,-5.0483360312543e-81,-5.0483360312566e-81,2.0047564868486e-91,-2.0047564868491e-91,5.0483360312579e-81,5.048336031253e-81,1.4824843333621e-70,1.4824843333627e-70,5.0137777683994e-71,6.4216581576365e-76,4.1579218456639e-75,3.4131452372463e-17,0,360.31469625632,100000000,-7.1711989927724e-34,-0.00018743332865863,0.00030205437694482,12.456036633899,3.8499753426963e-08,32.566085779193,28.461525475299
0.4021,-7.7770444491856e-128,-2.5923481497304e-128,2.8248904977322e-88,7.3244051671164e-82,1.7321389709512,0,4.1735800920971e-83,1.0393107391429e-62,8.0239315582498e-85,-1.9974133154447e-64,-5.6183581794251e-85,5.6183581794171e-85,4.1957673829942e-64,4.1957673829986e-64,-1.4375276910689e-74,-1.4375276910726e-74,5.6183581794277e-85,-5.6183581794144e-85,1.4375276910709e-74,1.4375276910706e-74,4.195767382995e-64,4.1957673829978e-64,1.4308981528136e-64,2.1369370052717e-69,1.0393107391429e-68,-8.8573428411124e-16,0,360.31469625632,100000000,-1.1148391661485e-33,-0.00024953575593519,0.00040201917940746,16.579387881368,5.1281731483386e-08,43.355181244247,37.89123214747
0.5021,-6.5597298866261e-118,-2.1865766288756e-118,3.0238018588231e-83,2.7181342366498e-77,1.7321608791438,0,3.5776597274845e-78,8.9986372421092e-58,7.7403218915209e-80,-1.945843851117e-59,-5.4197746447343e-80,5.4197746447298e-80,4.0874405411222e-59,4.0874405411169e-59,-1.4089606281429e-69,-1.4089606281406e-69,5.4197746447247e-80,-5.4197746447394e-80,1.4089606281415e-69,1.4089606281421e-69,4.0874405411195e-59,4.0874405411197e-59,1.4038456667223e-59,2.310847579927e-64,8.9986372421092e-64,-1.7435857025122e-16,0,360.31469625632,100000000,-1.7305908622314e-33,-0.0003116675506156,0.00050197398990769,20.702839913538,6.408244493573e-08,54.148852480844,47.325160076522
0.6021,-8.0808582431534e-110,-2.6936194143822e-110,3.7738686625329e-79,3.3719267713123e-73,1.7321827803303,0,3.7234778881521e-74,9.4594766002403e-54,8.9820345105473e-76,-2.2802851316228e-55,-6.2892220221222e-76,6.2892220221348e-76,4.7899680577916e-55,4.7899680577983e-55,-1.6611929507552e-65,-1.6611929507569e-65,6.2892220221385e-76,-6.2892220221185e-76,1.6611929507563e-65,1.6611929507558e-65,4.7899680577963e-55,4.7899680577936e-55,1.6547941714184e-55,2.9136151045411e-60,9.4594766002403e-60,-3.6423053439441e-18,0,360.31469625632,100000000,-2.1010478134359e-33,-0.0003738287388517,0.00060191881044209,24.826393188815,7.6880938359519e-08,64.947101492751,56.763311267407
0.7021,-5.4606324988233e-103,-1.8202108329419e-103,1.0776496621783e-75,3.8785929599485e-70,1.7322046745018,0,9.1180912268569e-71,2.3397122184185e-50,2.4299704602682e-72,-6.2298742545468e-52,-1.7014657106771e-72,1.7014657106771e-72,1.3086476892527e-51,1.308647689253e-51,-4.5661316563278e-62,-4.5661316563297e-62,1.7014657106769e-72,-1.7014657106773e-72,4.5661316563299e-62,4.5661316563276e-62,1.3086476892527e-51,1.3086476892531e-51,4.5430089202486e-52,8.4052373044026e-57,2.3397122184185e-56,2.8758038426959e-16,0,360.31469625632,100000000,-2.09791331709e-33,-0.00043601934683016,0.00070185364300782,28.950048166062,8.9722331350926e-08,75.749930285845,66.205687726832
0.8021,-4.4375207639247e-97,-1.4791735879744e-97,1.0498741011514e-72,4.912295720213e-67,1.7322265616492,0,7.7755064053889e-68,2.0152407743421e-47,2.2702365966204e-69,-5.8777651690399e-49,-1.5896200334269e-69,1.5896200334242e-69,1.2346836376071e-48,1.234683637606e-48,-4.3342917822307e-59,-4.3342917822292e-59,1.5896200334257e-69,-1.5896200334254e-69,4.3342917822266e-59,4.3342917822333e-59,1.2346836376067e-48,1.2346836376064e-48,4.303692668505e-49,8.2724880118818e-54,2.0152407743421e-53,2.2718413549339e-16,0,360.31469625632,100000000,-2.8533744768566e-33,-0.00049823940077564,0.00080177848960059,33.07380530452,1.0256251106575e-07,86.557340868083,75.65229146336
