time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0165,-1.4917715392664e-290,-4.9725717975545e-291,6.8821656446512e-171,0,1.7320544275189,0,2.4780074491553e-164,5.9372213356444e-144,2.7992212109831e-166,-6.7068385539772e-146,-1.9600151462368e-166,1.9600151462593e-166,1.4088388332154e-145,1.4088388332154e-145,-4.713903370997e-156,-4.7139033709635e-156,1.9600151462368e-166,-1.9600151462593e-166,4.713903370997e-156,4.7139033709635e-156,1.4088388332154e-145,1.4088388332154e-145,4.6961294440514e-146,5.0052334057031e-152,5.9372213356444e-150,-2.1112045937352e-22,0,329.01469625632,100000000,-4.7152495141782e-41,-1.0230296878993e-05,1.6499863875692e-05,0.68029634769995,7.1187854312108e-10,1.7776071802828,1.5535091676413
0.1165,-1.1869942908389e-180,-3.9566476361227e-181,3.8300170023087e-115,2.4037570309382e-108,1.7320763626565,0,1.9531292567859e-109,4.7267999294784e-89,2.769791287482e-111,-6.7031692345574e-91,-1.9394083090405e-111,1.9394083090519e-111,1.4080680557994e-90,1.4080680557995e-90,-4.7406843344964e-101,-4.7406843344799e-101,1.9394083090452e-111,-1.9394083090472e-111,4.74068433449e-101,4.7406843344863e-101,1.4080680558007e-90,1.4080680557982e-90,4.6963760194695e-91,2.8141184358964e-96,4.7267999294784e-95,-8.1627006952709e-17,0,329.01469625632,100000000,-9.6484053729287e-36,-7.2248969130975e-05,0.0001164932143879,4.8033622753001,1.4842537431802e-08,12.553645257283,10.971170953436
0.2165,-7.4903824804851e-152,-2.4967941601581e-152,1.7026374621377e-100,1.4602767289591e-93,1.7320982908083,0,4.67213362423e-95,1.1420727765324e-74,7.1625645086717e-97,-1.7506889459924e-76,-5.0152288315004e-97,5.0152288315006e-97,3.6774980523917e-76,3.6774980523897e-76,-1.2457732690161e-86,-1.2457732690149e-86,5.0152288315058e-97,-5.0152288314953e-97,1.2457732690141e-86,1.2457732690169e-86,3.6774980523932e-76,3.6774980523882e-76,1.234322625425e-76,1.2638425942703e-81,1.1420727765324e-80,-4.1092614706924e-16,0,329.01469625632,100000000,-5.3290705182007e-18,-0.00013429695968678,0.00021647656722982,8.9265276798631,2.7580984558367e-08,23.334253393849,20.393048280451
0.3165,-1.2212815270674e-134,-4.070938423558e-135,9.3718872146927e-92,3.6445445285872e-85,1.7321202119799,0,1.7591345425694e-86,4.3432960801998e-66,3.0406891216991e-88,-7.5057678281421e-68,-2.1290910165339e-88,2.1290910165359e-88,1.5766619554472e-67,1.5766619554482e-67,-5.3737592786316e-78,-5.3737592786338e-78,2.1290910165357e-88,-2.1290910165341e-88,5.3737592786342e-78,5.3737592786312e-78,1.5766619554477e-67,1.5766619554476e-67,5.3390478519889e-68,7.0279157687036e-73,4.3432960801998e-72,2.6706958132352e-16,0,329.01469625632,100000000,-7.105427357601e-18,-0.00019637426921065,0.00031644992440008,13.049793019449,4.0351377133265e-08,34.119433588567,29.819143147987
0.4165,-2.5868907781085e-122,-8.6229692603568e-123,1.6704774856112e-85,4.4853652785187e-79,1.7321421261624,0,2.3826819156476e-80,5.9419346240031e-60,4.6617974965982e-82,-1.1621147082812e-61,-3.264191363756e-82,3.2641913637518e-82,2.4411387220691e-61,2.4411387220671e-61,-8.37101288676e-72,-8.3710128867556e-72,3.2641913637545e-82,-3.2641913637533e-82,8.3710128867513e-72,8.3710128867642e-72,2.4411387220687e-61,2.4411387220675e-61,8.3342612137037e-62,1.2655181237477e-66,5.9419346240031e-66,3.6403295718066e-17,0,329.01469625632,100000000,-1.7319479184152e-17,-0.00025848092378369,0.00041641328789715,17.173158751669,5.3132715225822e-08,44.909187841287,39.249457557634
0.5165,-1.0581286171174e-112,-3.5270953903883e-113,1.2374010484346e-80,2.4029725750562e-74,1.7321640333466,0,1.4232307408397e-75,3.5849087316435e-55,3.1296502342001e-77,-7.8787828526877e-57,-2.1913816019436e-77,2.1913816019486e-77,1.6550175096663e-56,1.6550175096665e-56,-5.7099236862165e-67,-5.7099236862094e-67,2.191381601946e-77,-2.1913816019462e-77,5.7099236862137e-67,5.7099236862122e-67,1.655017509667e-56,1.6550175096658e-56,5.6894100404223e-57,9.4703499561639e-62,3.5849087316435e-61,-5.7322485705817e-16,0,329.01469625632,100000000,-2.8865798640254e-17,-0.00032061694952405,0.00051636665971912,21.296625334583,6.592472860064e-08,55.703518153991,48.683993512793
0.6165,-8.0442507562911e-105,-2.6814169187647e-105,1.2084018227429e-76,1.6417122901943e-70,1.7321859335236,0,1.1644159636181e-71,2.9624531564241e-51,2.8510469562523e-73,-7.248245299998e-53,-1.996303541509e-73,1.9963035415075e-73,1.5225667606466e-52,1.5225667606464e-52,-5.2849856506783e-63,-5.28498565068e-63,1.9963035415081e-73,-1.9963035415084e-73,5.2849856506789e-63,5.2849856506794e-63,1.5225667606463e-52,1.5225667606467e-52,5.2640009823643e-53,9.3431706833463e-58,2.9624531564241e-57,-1.0821227528758e-16,0,329.01469625632,100000000,-5.3734794391858e-17,-0.00038278237258745,0.00061631004186306,25.42019322665,7.872860631131e-08,66.502426530703,58.122753018618
0.7165,-3.85017420519e-98,-1.2833914017306e-98,2.896234441919e-73,3.0755643324024e-67,1.7322078266842,0,2.4012758952158e-68,6.1705733871398e-48,6.4872621188443e-70,-1.6655344983547e-49,-4.5423819885332e-70,4.5423819885311e-70,3.4986225782198e-49,3.49862257822e-49,-1.221806860179e-59,-1.2218068601794e-59,4.5423819885315e-70,-4.5423819885329e-70,1.2218068601794e-59,1.221806860179e-59,3.4986225782193e-49,3.4986225782205e-49,1.2153221689447e-49,2.2622653587735e-54,6.1705733871398e-54,3.2312176870264e-16,0,329.01469625632,100000000,-6.4392935428259e-17,-0.00044497721916806,0.00071624343632565,29.543862886793,9.1558870535408e-08,77.305914977634,67.565738082126
0.8165,-2.4154352368734e-92,-8.0514507895753e-93,2.4743206669972e-70,1.8222219328668e-64,1.7322297128193,0,1.8001927232449e-65,4.6724229459256e-45,5.322272778208e-67,-1.3799140099153e-46,-3.726656263137e-67,3.7266562631364e-67,2.8986480411306e-46,2.8986480411311e-46,-1.0184448698688e-56,-1.0184448698692e-56,3.7266562631383e-67,-3.7266562631352e-67,1.0184448698689e-56,1.0184448698691e-56,2.8986480411309e-46,2.8986480411307e-46,1.0109070456571e-46,1.9525056183632e-51,4.6724229459256e-51,1.3447821698808e-16,0,329.01469625632,100000000,-8.1712414612411e-17,-0.0005072015154954,0.00081616684510285,33.667634774322,1.0440056839899e-07,88.113985503026,77.012950712103
