time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0165,-1.6866867068946e-294,-5.622289022982e-295,7.3179792513764e-173,0,1.7320544275189,0,2.6349274391222e-166,6.3131962797057e-146,2.9764820842272e-168,-7.1315495606263e-148,-2.0841332378791e-168,2.0841332384752e-168,1.498053647952e-147,1.498053647952e-147,-5.0124116227012e-158,-5.0124116218124e-158,2.0841332378791e-168,-2.0841332384752e-168,5.0124116227013e-158,5.0124116218124e-158,1.498053647952e-147,1.498053647952e-147,4.99351215984e-148,5.3221901508347e-154,6.3131962797058e-152,-5.1666722604024e-21,0,360.31469625632,100000000,-2.4864640093038e-42,-1.0230296879015e-05,1.6499863875603e-05,0.68029634769621,7.0843988242227e-10,1.7776071802764,1.5535091676386
0.1165,-1.3420872016091e-184,-4.4736240053638e-185,4.0725530880047e-117,1.1274861604234e-112,1.7320763626565,0,2.0768112990627e-111,5.0261248546591e-91,2.9451885080891e-113,-7.1276478796306e-93,-2.0622214713968e-113,2.0622214713842e-113,1.4972340606521e-92,1.4972340606521e-92,-5.0408884905083e-103,-5.0408884905275e-103,2.0622214713968e-113,-2.0622214713841e-113,5.0408884905083e-103,5.0408884905275e-103,1.4972340606521e-92,1.4972340606521e-92,4.9937743484898e-93,2.9923226761528e-98,5.0261248546591e-97,-7.112109796325e-20,0,360.31469625632,100000000,-5.934807977025e-41,-7.2248969130949e-05,0.00011649321438769,4.8033622753058,1.4848930292583e-08,12.553645257291,10.971170953438
0.2165,-8.4690773491173e-156,-2.8230257830391e-156,1.8104570945559e-102,3.8328278420927e-99,1.7320982908083,0,4.9679968019033e-97,1.2143946123294e-76,7.6161343905074e-99,-1.8615514418726e-78,-5.3328185363644e-99,5.3328185363735e-99,3.9103758652175e-78,3.9103758652175e-78,-1.324661945511e-88,-1.3246619455096e-88,5.3328185363643e-99,-5.3328185363735e-99,1.324661945511e-88,1.3246619455096e-88,3.9103758652175e-78,3.9103758652175e-78,1.3124861891405e-78,1.3438755120092e-83,1.2143946123294e-82,-4.0015789530572e-19,0,360.31469625632,100000000,-4.1113542172532e-40,-0.00013429695968684,0.00021647656722956,8.9265276798615,2.7579230287813e-08,23.334253393847,20.39304828045
0.3165,-1.3808544149481e-138,-4.602848049827e-139,9.9653626062507e-94,8.7494488755151e-90,1.7321202119799,0,1.8705318564228e-88,4.618335598164e-68,3.2332409659397e-90,-7.9810710833846e-70,-2.2639158491349e-90,2.2639158491237e-90,1.6765041803872e-69,1.6765041803872e-69,-5.714052948295e-80,-5.7140529483127e-80,2.2639158491349e-90,-2.2639158491237e-90,5.714052948295e-80,5.7140529483127e-80,1.6765041803872e-69,1.6765041803872e-69,5.6771434182321e-70,7.4729590099714e-75,4.618335598164e-74,1.0723152370817e-18,0,360.31469625632,100000000,-1.0517636740154e-39,-0.00019637426921065,0.00031644992439987,13.049793019449,4.0351615788731e-08,34.119433588568,29.819143147987
0.4165,-2.9248944430756e-126,-9.7496481435852e-127,1.7762605853541e-87,1.0431385969261e-83,1.7321421261624,0,2.5335654090852e-82,6.3182080358602e-62,4.9570061383255e-84,-1.2357057007655e-63,-3.4708965026099e-84,3.4708965026048e-84,2.5957239967133e-63,2.5957239967133e-63,-8.9011078438277e-74,-8.9011078438359e-74,3.47089650261e-84,-3.4708965026047e-84,8.9011078438277e-74,8.9011078438359e-74,2.5957239967133e-63,2.5957239967133e-63,8.8620288686261e-64,1.3456571445081e-68,6.3182080358602e-68,-8.5953565117967e-19,0,360.31469625632,100000000,-2.1323078319604e-39,-0.00025848092378368,0.00041641328789689,17.173158751667,5.3128838855048e-08,44.909187841285,39.249457557635
0.5165,-1.196383913249e-116,-3.9879463774965e-117,1.3157595535026e-82,6.9448728475952e-79,1.7321640333466,0,1.5133569237454e-77,3.8119233194835e-57,3.327835546924e-79,-8.3777073095926e-59,-2.3301509900777e-79,2.330150990082e-79,1.7598216053773e-58,1.7598216053773e-58,-6.0715049897302e-69,-6.0715049897232e-69,2.3301509900777e-79,-2.3301509900821e-79,6.0715049897302e-69,6.0715049897232e-69,1.7598216053773e-58,1.7598216053773e-58,6.0496923159465e-59,1.0070060507516e-63,3.8119233194835e-63,-2.4772059565433e-19,0,360.31469625632,100000000,-2.3091476849947e-39,-0.00032061694952414,0.00051636665971868,21.296625334582,6.5922599103699e-08,55.70351815399,48.683993512794
0.6165,-9.0953141643279e-109,-3.0317713881093e-109,1.2849239498808e-78,3.9205952677821e-73,1.7321859335236,0,1.2381526832524e-73,3.1500507028692e-53,3.0315896975402e-75,-7.707240923728e-55,-2.1227195982638e-75,2.1227195982613e-75,1.6189834037165e-54,1.6189834037165e-54,-5.6196577243578e-65,-5.619657724362e-65,2.1227195982638e-75,-2.1227195982612e-75,5.6196577243578e-65,5.619657724362e-65,1.6189834037165e-54,1.6189834037165e-54,5.5973442005106e-55,9.9348275986337e-60,3.1500507028692e-59,3.1574835966122e-19,0,360.31469625632,100000000,-1.1509885519384e-35,-0.00038278237258747,0.00061631004186273,25.420193226649,7.8727485797026e-08,66.502426530702,58.122753018618
0.7165,-4.3532387346536e-102,-1.4510795782179e-102,3.0796386837924e-75,4.9707235232248e-70,1.7322078266842,0,2.5533368536507e-70,6.5613253641139e-50,6.8980684311762e-72,-1.7710045830817e-51,-4.83002863511e-72,4.8300286351038e-72,3.7201730895526e-51,3.7201730895526e-51,-1.2991778622133e-61,-1.2991778622144e-61,4.8300286351101e-72,-4.8300286351037e-72,1.2991778622133e-61,1.2991778622144e-61,3.7201730895526e-51,3.7201730895526e-51,1.2922825274697e-51,2.4055234655846e-56,6.5613253641139e-56,7.5141311745908e-19,0,360.31469625632,100000000,-2.6067743719918e-35,-0.00044497721916808,0.00071624343632544,29.543862886794,9.1558921038949e-08,77.305914977634,67.565738082126
0.8165,-2.7310364866121e-96,-9.1034549553736e-97,2.6310071905429e-72,5.75538666506e-67,1.7322297128193,0,1.9141900491694e-67,4.96830444491e-47,5.6593060617691e-69,-1.4672971578977e-48,-3.9626470229837e-69,3.9626470229871e-69,3.082205124331e-48,3.082205124331e-48,-1.0829379601166e-58,-1.082937960116e-58,3.9626470229837e-69,-3.962647022987e-69,1.0829379601166e-58,1.082937960116e-58,3.082205124331e-48,3.082205124331e-48,1.074922802677e-48,2.0761481686681e-53,4.96830444491e-53,9.1822377345824e-19,0,360.31469625632,100000000,-1.0323526562998e-35,-0.00050720151549555,0.00081616684510277,33.66763477432,1.0439705941192e-07,88.113985503024,77.012950712104
