time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.427,-5.7420508514219e-131,-1.914016950474e-131,3.2016973747783e-90,9.4309688418915e-86,1.7321444438687,0,4.4544322879422e-85,1.1058611461297e-64,5.5828630055688e-86,-1.3860063151255e-65,-3.9091215826382e-86,3.9091215826284e-86,2.9114455404219e-65,2.9114455404219e-65,-9.9583488573774e-76,-9.9583488573929e-76,3.9091215826383e-86,-3.9091215826284e-86,9.9583488573774e-76,9.9583488573929e-76,2.9114455404219e-65,2.9114455404219e-65,9.7048184775594e-66,2.4147023642122e-71,1.1058611461297e-70,-2.6964598788692e-21,0,329.01469625632,100000000,-1.0431770029792e-39,-0.00026497414975749,0.00042690885704777,17.606120817921,5.4432547715448e-06,46.042379452535,40.239882629868
1.427,-4.9094294047013e-70,-1.6364764682338e-70,2.8071397884662e-59,7.7785619854297e-55,1.732363232433,0,1.168493920519e-54,3.2057557394461e-34,1.4902907379806e-55,-4.0878915476884e-35,-1.0435018166153e-55,1.0435018166163e-55,8.5870269755355e-35,8.5870269755356e-35,-3.1239589261636e-45,-3.1239589261617e-45,1.0435018166153e-55,-1.0435018166163e-55,3.1239589261636e-45,3.1239589261617e-45,8.5870269755356e-35,8.5870269755355e-35,2.8670195358149e-35,2.344287573138e-40,3.2057557394461e-40,4.1177383180482e-19,0,329.01469625632,100000000,-1.8816555969083e-38,-0.00088762102245944,0.0014259827853885,58.845511608083,1.8296892209538e-05,154.19674606175,134.77997041153
2.427,-1.6284775928753e-45,-5.4282586429175e-46,7.5508158538927e-47,9.9332459001705e-43,1.7325813125754,0,1.8478015005526e-42,5.6015971439514e-22,2.5625127910707e-43,-7.7601245129543e-23,-1.7942718722168e-43,1.7942718722175e-43,1.6300921330444e-22,1.6300921330444e-22,-6.3031991251115e-33,-6.3031991251099e-33,1.7942718722168e-43,-1.7942718722175e-43,6.3031991251115e-33,6.3031991251099e-33,1.6300921330444e-22,1.6300921330444e-22,5.4833804980966e-23,6.9816846455207e-28,5.6015971439514e-28,5.061650139941e-19,0,329.01469625632,100000000,-6.0270199242003e-38,-0.0015132303721052,0.0024240595611742,100.09544729149,3.1316220058933e-05,262.81073980285,229.74423519597
3.427,-7.5108221992463e-30,-2.503607399748e-30,6.2165991851236e-39,2.7481172780615e-33,1.7327986750685,0,1.0772417478368e-34,3.6081039316844e-14,1.6627415310263e-35,-5.5565754615776e-15,-1.1642518898963e-35,1.1642518898974e-35,1.1672145120176e-14,1.1672145120179e-14,-4.7949426949665e-25,-4.7949426949654e-25,1.164251889897e-35,-1.1642518898966e-35,4.7949426949664e-25,4.7949426949656e-25,1.1672145120179e-14,1.1672145120176e-14,3.96090919273e-15,6.3634784438498e-20,3.6081039316844e-20,5.0220743087744e-16,0,329.01469625632,100000000,-6.2744002131038e-34,-0.002141828881792,0.0034211411728902,141.35639250371,4.4501666144172e-05,371.88639538285,325.13470848224
4.427,-2.6619859745464e-18,-8.8732865818198e-19,4.1155711115808e-33,1.6537975985017e-14,1.733015310559,0,5.5199681083916e-29,2.042530473055e-08,9.4354536432494e-30,-3.4788523179516e-09,-6.6067061724276e-30,6.6067061724317e-30,7.3076788729987e-09,7.3076788730002e-09,-3.1882996081995e-19,-3.1882996081993e-19,6.6067061724304e-30,-6.6067061724289e-30,3.1882996081997e-19,3.1882996081991e-19,7.3076788729999e-09,7.307678872999e-09,2.49922396915e-09,4.6634049009108e-14,2.042530473055e-14,-3.7149614895562e-16,0,329.01469625632,100000000,-6.0413645280061e-34,-0.0027734436214777,0.0044172296030799,182.62881631228,5.7856479203652e-05,481.42576927013,420.95344049083
5.427,-3.8759723421297e-09,-1.2919907807099e-09,1.6623808875245e-28,6.7750263648091e-10,1.7332312094438,0,1.818555947106e-24,0.00074331252608412,3.4221701281363e-25,-0.00013918998637656,-2.3962040791586e-25,2.3962040791581e-25,0.00029238255315648,0.0002923825531564,-1.3544858575564e-14,-1.3544858575568e-14,2.3962040791582e-25,-2.3962040791578e-25,1.3544858575564e-14,1.3544858575568e-14,0.00029238255315647,0.00029238255315651,0.00010064728441757,2.0848756885879e-09,7.4331252608412e-10,-1.3422605868986e-16,0,329.01469625633,100000000.00003,-1.0012724902102e-33,-0.0034081022674776,0.005412326828368,223.91316808854,7.1597332942274e-05,591.43087519437,517.2024435654
6.427,-0.1170217720592,-0.039007257380466,1.0644252415184e-24,4.0919620282239e-06,1.7334456366644,0,9.8365513783501e-21,3.8479548592935,2.0254314186024e-21,-0.81177463418135,-1.418207409113e-21,1.4182074074246e-21,1.7052141914526,1.7052141884287,-9.3844665112212e-11,-9.3844665291989e-11,1.4182074057452e-21,-1.4182074073143e-21,9.3844665172176e-11,9.3844665224078e-11,1.7052141904483,1.7052141934722,0.59166799035276,1.2725497730078e-05,3.8479548593042e-06,-1.6450858376395e-16,0,329.01469634525,100000000.1807,-5.5511151231258e-17,-0.0040471004276564,0.0064064348194837,265.06325226355,0.0009747670262567,701.50974253597,613.53814106356
7.427,-19.497646840108,-6.4992156645079,1.0011964641015e-21,0.00012591336913146,1.7336387038877,0,8.1210996164925e-18,33.269225787205,1.9438025341198e-18,-15.643657379085,-1.3610509236012e-18,1.3610508394584e-18,32.861073467604,32.861072744437,-1.0380488925792e-07,-1.0380490225285e-07,1.3610507331309e-18,-1.3610508107267e-18,1.0380489360946e-07,1.0380489734496e-07,32.861073257064,32.861073980228,11.839034683408,0.00011362334959946,3.3269225787187e-05,-1.6904709328264e-15,0,329.01470122944,100000005.56031,-3.0531133176891e-16,-0.0047252602437102,0.0073995555412856,301.9811078335,-0.00022283645332148,800.63704678587,700.31082635996
8.427,-72.20635734972,-24.068786094493,1.7646228736689e-19,0.0004048326247112,1.7338043102582,0,1.2971114413875e-15,63.724589525156,3.628177991509e-16,-30.245948806582,-2.5404513150398e-16,2.5404508786246e-16,63.534648802974,63.53464638541,-2.1855958905475e-05,-2.1855968640537e-05,2.5404501677249e-16,-2.5404505668646e-16,2.1855962181092e-05,2.1855964962121e-05,63.534648193033,63.534650604421,23.010530296005,0.00022037269600589,6.3724576541829e-05,-4.4424778425728e-14,0,329.01471338165,100000017.87732,-5.7592819413012e-16,-0.0054534462456767,0.0083916909527837,333.23295368757,-0.0017619025280666,884.82333108983,774.01962678802
9.427,-158.55512921064,-52.851710625966,7.2128753153731e-18,0.00087961648714211,1.7339365833122,0,4.9433542967081e-14,101.57266801801,1.6807731187169e-14,-41.667967172288,-1.1768781191087e-14,1.1768778333204e-14,87.527733251682,87.527728355384,-0.0011124956432487,-0.0011124967460439,1.1768770929978e-14,-1.1768773506142e-14,0.0011124960165811,0.001112496329257,87.527732360251,87.527737235426,31.759268874721,0.00035439962759743,0.00010157263330628,-2.7269397808502e-13,0,329.01473443509,100000038.84371,-9.0899510524765e-16,-0.0062422000685241,0.0093828430071627,357.40224092743,-0.0041465442409081,950.10243992766,831.18450940744
10.427,-380.17132025537,-126.7238126533,8.2423940629189e-17,0.0015951369091086,1.7340286433712,0,5.4148749657941e-13,197.83141982908,2.2529558612968e-13,-51.295960368129,-1.5775212674165e-13,1.5775210743218e-13,107.75228048179,107.75226636036,-0.015901001007279,-0.015901029292783,1.5775192675817e-13,-1.5775194312234e-13,0.015901010702594,0.015901018553683,107.75227326602,107.75228547246,38.970926778655,0.00068304527235623,0.00019782944821218,-2.3934241125706e-11,0,329.01476513378,100000070.44184,-1.1934897390486e-15,-0.0071039206357734,0.010373013651806,372.86636901247,0.010864322694171,991.92067422341,867.79448349103
11.427,-74.672716649268,-24.889100699249,2.4203285483399e-16,0.0024305245577364,1.7341022656226,0,1.5440366628454e-12,38.853869321726,1.0144838725178e-12,-51.297386601258,-7.1034264339178e-13,7.1034767004848e-13,107.75532575746,107.75517180854,-0.073568625470328,-0.073568866050134,7.1034641942592e-13,-7.1034131259829e-13,0.073568734203142,0.073568757596211,107.7551887387,107.75529591051,39.502122551665,0.00013983323794872,3.8857554367388e-05,-9.5704247743328e-10,0,329.01480810693,100000107.33694,-1.2417804932745e-15,-0.0080006242265522,0.011362204828317,383.95742587437,-0.0081432036965803,1021.9407669472,894.10063099252
12.427,-101.84164789763,-33.938995142393,3.1990887592465e-17,0.0032444976995499,1.7339944666364,0,2.1730368330294e-13,60.308213422329,1.404286791183e-12,-45.065367606646,-9.8325979323916e-13,9.8333359347847e-13,94.663599919707,94.66487860192,-0.1016204486631,-0.10161974668305,9.8330762524907e-13,-9.8328099108595e-13,0.10162104807112,0.10161920650511,94.664755047446,94.663772351963,34.626642145322,0.00020787837377383,6.0308254485807e-05,5.6452174416826e-09,0,329.01484535046,100000143.28871,-1.1881945394779e-15,-0.0083407447362657,0.011506544916132,360.60798837943,0.00024053395838002,958.63185725204,838.64327103945
