time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0165,-1.4917715399881e-290,-4.9725717999602e-291,6.8821656464656e-171,0,1.7320544275189,0,2.4780074498087e-164,5.9372213370806e-144,2.7992212117212e-166,-6.7068385555996e-146,-1.9600151462155e-166,1.9600151467761e-166,1.4088388335562e-145,1.4088388335562e-145,-4.7139033728759e-156,-4.71390337204e-156,1.9600151462155e-166,-1.9600151467761e-166,4.7139033728759e-156,4.71390337204e-156,1.4088388335562e-145,1.4088388335562e-145,4.6961294451873e-146,5.0052334069057e-152,5.9372213370806e-150,-9.4074110343154e-21,0,329.01469625632,100000000,-2.2293524697136e-42,-1.0230296879015e-05,1.6499863875603e-05,0.68029634769621,7.0843988242227e-10,1.7776071802764,1.5535091676386
0.1165,-1.1869942908255e-180,-3.9566476360849e-181,3.8300170022358e-115,1.4294691315181e-110,1.7320763626565,0,1.9531292567503e-109,4.7267999294558e-89,2.7697912874394e-111,-6.7031692345255e-91,-1.9394083090275e-111,1.9394083090173e-111,1.4080680557927e-90,1.4080680557927e-90,-4.74068433448e-101,-4.7406843344953e-101,1.9394083090275e-111,-1.9394083090173e-111,4.74068433448e-101,4.7406843344954e-101,1.4080680557927e-90,1.4080680557927e-90,4.6963760194471e-91,2.8141184358828e-96,4.7267999294558e-95,5.4597368104023e-20,0,329.01469625632,100000000,-1.2772547577664e-40,-7.2248969130949e-05,0.0001164932143878,4.8033622753103,1.4856211759131e-08,12.553645257296,10.971170953436
0.2165,-7.4903824804143e-152,-2.4967941601381e-152,1.7026374621247e-100,1.4189335180501e-96,1.7320982908083,0,4.6721336241941e-95,1.1420727765277e-74,7.1625645086288e-97,-1.7506889459856e-76,-5.0152288314391e-97,5.0152288314652e-97,3.6774980523765e-76,3.6774980523765e-76,-1.2457732690172e-86,-1.2457732690131e-86,5.0152288314391e-97,-5.0152288314652e-97,1.2457732690172e-86,1.2457732690131e-86,3.6774980523765e-76,3.6774980523765e-76,1.2343226254203e-76,1.2638425942652e-81,1.1420727765277e-80,4.8738578842303e-20,0,329.01469625632,100000000,-3.6785684021819e-40,-0.00013429695968673,0.00021647656722972,8.9265276798626,2.7579436494906e-08,23.334253393849,20.393048280452
0.3165,-1.2212815270682e-134,-4.0709384235606e-135,9.3718872146974e-92,1.1194979964697e-87,1.7321202119799,0,1.7591345425704e-86,4.3432960802001e-66,3.0406891217079e-88,-7.5057678281464e-68,-2.1290910165401e-88,2.1290910165404e-88,1.5766619554486e-67,1.5766619554486e-67,-5.3737592786296e-78,-5.3737592786293e-78,2.1290910165401e-88,-2.1290910165403e-88,5.3737592786296e-78,5.3737592786293e-78,1.5766619554486e-67,1.5766619554486e-67,5.3390478519922e-68,7.027915768704e-73,4.3432960802001e-72,-8.7115780526049e-20,0,329.01469625632,100000000,-1.1876765960396e-39,-0.00019637426921054,0.00031644992440011,13.049793019451,4.03540401604e-08,34.11943358857,29.819143147987
0.4165,-2.5868907781265e-122,-8.6229692604217e-123,1.6704774856292e-85,1.7326294549502e-81,1.7321421261624,0,2.3826819156734e-80,5.9419346240271e-60,4.6617974966298e-82,-1.1621147082852e-61,-3.2641913637762e-82,3.2641913637754e-82,2.4411387220767e-61,2.4411387220767e-61,-8.3710128867698e-72,-8.3710128867711e-72,3.2641913637762e-82,-3.2641913637754e-82,8.3710128867699e-72,8.3710128867711e-72,2.4411387220767e-61,2.4411387220767e-61,8.3342612137327e-62,1.2655181237528e-66,5.9419346240271e-66,7.5117817654185e-19,0,329.01469625632,100000000,-2.145367863046e-39,-0.00025848092378357,0.00041641328789715,17.173158751672,5.3136114341713e-08,44.90918784129,39.249457557633
0.5165,-1.058128617117e-112,-3.5270953903901e-113,1.237401048434e-80,1.0582992604631e-76,1.7321640333466,0,1.4232307408389e-75,3.5849087316433e-55,3.1296502342017e-77,-7.8787828526921e-57,-2.1913816019476e-77,2.1913816019474e-77,1.6550175096673e-56,1.6550175096673e-56,-5.7099236862157e-67,-5.7099236862161e-67,2.1913816019476e-77,-2.1913816019473e-77,5.7099236862157e-67,5.7099236862161e-67,1.6550175096673e-56,1.6550175096673e-56,5.6894100404257e-57,9.4703499561635e-62,3.5849087316433e-61,1.2671322547912e-19,0,329.01469625632,100000000,-2.6071581263384e-39,-0.00032061694952403,0.00051636665971897,21.296625334583,6.5925022689612e-08,55.703518153991,48.683993512793
0.6165,-8.0442507562795e-105,-2.6814169187598e-105,1.2084018227412e-76,8.6694258956882e-73,1.7321859335236,0,1.1644159636163e-71,2.9624531564213e-51,2.8510469562442e-73,-7.2482452999918e-53,-1.9963035415069e-73,1.9963035415027e-73,1.5225667606452e-52,1.5225667606452e-52,-5.2849856506739e-63,-5.2849856506809e-63,1.996303541507e-73,-1.9963035415027e-73,5.2849856506739e-63,5.2849856506809e-63,1.5225667606452e-52,1.5225667606452e-52,5.2640009823598e-53,9.3431706833373e-58,2.9624531564213e-57,1.5435089809501e-18,0,329.01469625632,100000000,-3.879532629835e-39,-0.00038278237258742,0.00061631004186297,25.420193226649,7.8727480473277e-08,66.502426530702,58.122753018618
0.7165,-3.8501742051919e-98,-1.2833914017306e-98,2.8962344419132e-73,1.2108312356377e-69,1.7322078266842,0,2.4012758952109e-68,6.1705733871366e-48,6.4872621188439e-70,-1.6655344983556e-49,-4.5423819885438e-70,4.5423819885326e-70,3.4986225782217e-49,3.4986225782217e-49,-1.2218068601783e-59,-1.2218068601802e-59,4.5423819885438e-70,-4.5423819885326e-70,1.2218068601783e-59,1.2218068601802e-59,3.4986225782217e-49,3.4986225782217e-49,1.2153221689453e-49,2.2622653587723e-54,6.1705733871366e-54,6.2834054405227e-17,0,329.01469625632,100000000,-4.0285141125069e-36,-0.00044497721916802,0.00071624343632563,29.543862886794,9.1558917490359e-08,77.305914977634,67.565738082126
0.8165,-2.4154352368709e-92,-8.0514507895699e-93,2.4743206670026e-70,1.3292490731136e-64,1.7322297128193,0,1.8001927232489e-65,4.6724229459248e-45,5.3222727782133e-67,-1.3799140099146e-46,-3.7266562631354e-67,3.7266562631412e-67,2.8986480411288e-46,2.8986480411299e-46,-1.0184448698681e-56,-1.0184448698677e-56,3.7266562631377e-67,-3.7266562631389e-67,1.0184448698683e-56,1.0184448698675e-56,2.8986480411295e-46,2.8986480411292e-46,1.0109070456566e-46,1.9525056183629e-51,4.6724229459248e-51,1.4792507993117e-16,0,329.01469625632,100000000,-9.4568877203935e-35,-0.00050720151549543,0.00081616684510272,33.667634774321,1.0440008586892e-07,88.113985503026,77.012950712103
0.9165,-3.1951944469527e-87,-1.0650648156514e-87,9.5957055810852e-68,6.4398399908312e-62,1.7322515919199,0,6.2195405458692e-63,1.6304996189287e-42,1.9978294807961e-64,-5.2308873278745e-44,-1.3988805267115e-64,1.3988805267094e-64,1.0988004467945e-43,1.0988004467931e-43,-3.8841519544957e-54,-3.8841519544915e-54,1.3988805267088e-64,-1.3988805267121e-64,3.8841519544925e-54,3.8841519544947e-54,1.0988004467937e-43,1.0988004467939e-43,3.8449628513617e-44,7.6496093941991e-49,1.6304996189287e-48,-2.7519644423635e-16,0,329.01469625632,100000000,-2.0246773795141e-34,-0.00056945528783842,0.00091608027018962,37.791509348995,1.1726237880762e-07,98.926640117273,86.464392919161
