time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0165,0,-4.7409791819964e-298,1.029703581633e-145,2.0881189579418e-158,1.732058452743,44.999054611838,-1.0883331310462e-139,4.6177617417783e-155,-1.2294092118564e-141,-5.2350414067873e-157,-3.5749063922356e-152,-8.6083252968168e-142,0,0,3.5749063921508e-152,-8.6083252969432e-142,3.5749063922356e-152,8.6083252968168e-142,-3.5749063921508e-152,8.6083252969433e-142,0,0,3.647458197555e-157,3.9872355534056e-148,4.4802481044309e-161,-2.6782819280265e-19,1.5659819006473e-19,360.31469625632,100000000,-8.9998671528448e-42,-3.2582875613547e-06,1.6499863875673e-05,1.436754317414,2.1626266886206e-10,3.754287698845,3.2809983287186
0.1165,0,-1.9872404764343e-188,5.9677554254256e-90,3.7320281752706e-104,1.7321047859905,44.99332465281,-8.9262311728349e-85,1.9957631402468e-100,-1.2658193788335e-86,-2.7114324915266e-102,-3.5653265437807e-97,-8.8632693450861e-87,0,0,3.5653265438059e-97,-8.8632693450474e-87,3.5653265437807e-97,8.8632693450862e-87,-3.5653265438059e-97,8.8632693450474e-87,0,0,1.9021884889097e-102,2.3108443080585e-92,1.8493738905102e-106,-3.5942756225103e-18,1.6284231745177e-18,360.31469625632,100000000,-3.9915674624693e-40,-2.3012490140308e-05,0.00011649321438779,10.14603778811,5.2023969512948e-09,26.522440571074,23.179392834717
0.2165,0,1.4877665229887e-159,2.7642027408911e-75,7.6202131138905e-90,1.7321511171591,44.987594120557,-2.2230029882509e-70,-5.6971666029269e-86,-3.4067497765818e-72,7.4683675252063e-88,-9.2921746821973e-83,-2.3854067464966e-72,0,0,9.2921746822046e-83,-2.3854067464955e-72,9.2921746821973e-83,2.3854067464966e-72,-9.2921746822045e-83,2.3854067464955e-72,0,0,-5.5963665504394e-88,1.0703592414161e-77,-6.0684513133034e-92,-3.6196483701655e-18,2.8062758851656e-18,360.31469625632,100000000,-8.7356822660534e-40,-4.27789283783e-05,0.00021647656722957,18.858283977089,9.6639081454552e-09,49.31657079259,43.101428420174
0.3165,0,9.8626030157202e-140,1.5852813466405e-66,1.1860563951201e-81,1.732197446255,44.981863014849,-8.713764163959e-62,-8.6728722714536e-75,-1.5048314069903e-63,1.221359314581e-76,-3.9755526097291e-74,-1.0536831954174e-63,0,0,3.9755526097427e-74,-1.0536831954153e-63,3.9755526097264e-74,1.053683195417e-63,-3.9755526097391e-74,1.0536831954147e-63,0,0,-8.5519012528682e-77,6.1385531333016e-69,-8.671339585495e-81,-1.9427506693776e-16,1.3846316855194e-16,360.31469625632,100000000,-3.129775992632e-35,-6.2557593169533e-05,0.00031644992439972,27.57348788355,1.4118898031165e-08,72.136667755715,63.047097738381
0.4165,0,-5.2864776071525e-127,2.9440535655666e-60,1.5711029669432e-75,1.7322437732756,44.976131335457,-1.2287091112319e-55,2.7075867300754e-68,-2.4003179128753e-57,-5.0467429210038e-70,-6.1425270753021e-68,-1.6807029921796e-57,0,0,6.1425270752917e-68,-1.6807029921779e-57,6.1425270753045e-68,1.68070299218e-57,-6.1425270753144e-68,1.6807029921818e-57,0,0,3.6073925494505e-70,1.1400013806905e-62,2.7077177182984e-74,-2.0166501002397e-16,-3.3270367201297e-16,360.31469625632,100000000,-4.7815895557299e-34,-8.23484910219e-05,0.00041641328789721,36.291650253923,1.8588565690055e-08,94.982750898806,83.016420473558
0.5165,0,1.1330155115872e-118,2.2721424043397e-55,8.3365333622766e-71,1.7322900982179,44.970399082152,-7.6406253677572e-51,-3.327807028243e-64,-1.6764396901183e-52,-3.744462927901e-66,-4.1557888234304e-63,-1.1738433431159e-52,0,0,4.1557888234286e-63,-1.1738433431164e-52,4.1557888234315e-63,1.1738433431162e-52,-4.1557888234292e-63,1.1738433431165e-52,0,0,3.1133183188231e-66,8.7982280905693e-58,-3.3288316660679e-70,2.8811307587039e-18,2.0301493369197e-15,360.31469625632,100000000,-3.4694469519536e-17,-0.00010215162844952,0.00051636665971924,45.012771835115,2.3062499173172e-08,117.85483967238,103.00941632146
0.6165,0,-5.5258100035506e-111,2.3118019782919e-51,5.065639576628e-67,1.7323364210793,44.964666254704,-6.5076867642524e-47,-1.74680464251e-61,-1.5887639839151e-48,-2.4644559138151e-62,-3.815254989604e-59,-1.1124527994019e-48,0,0,3.8152549896044e-59,-1.1124527994026e-48,3.8152549896067e-59,1.1124527994024e-48,-3.8152549896028e-59,1.1124527994023e-48,0,0,1.8908247098072e-62,8.9517985608579e-54,-1.7475045774381e-67,-3.0305437627001e-16,6.5655743467884e-16,360.31469625632,100000000,-6.9388939039072e-17,-0.00012196701197094,0.00061631004186348,53.736853374477,2.7558769465869e-08,140.75295353895,123.02610498923
0.7165,0,1.5913415242057e-104,5.7727317268314e-48,8.7721990658923e-64,1.7323827418569,44.958932852882,-1.3970751708287e-43,-1.1240839930243e-57,-3.7607082243294e-45,-2.78577168298e-60,-8.7486397759252e-56,-2.6332485090587e-45,0,0,8.7486397759278e-56,-2.6332485090587e-45,8.7486397759266e-56,2.633248509059e-45,-8.7486397759266e-56,2.6332485090585e-45,0,0,3.0916555719634e-60,2.2353269029816e-50,-1.122084316665e-63,2.461331323645e-16,-2.7105772307871e-16,360.31469625632,100000000,-6.9388939039072e-17,-0.00014179464811126,0.00071624343632618,62.463895619851,3.2035166222907e-08,163.6771119733,143.06650619564
0.8165,0,2.5368367027137e-97,5.1381438649957e-45,6.3465240389448e-61,1.732429060548,44.953198876457,-1.0903106780709e-40,-1.2124358747333e-53,-3.2096005643235e-42,2.0210777125289e-55,-7.2332736456315e-53,-2.2473628360756e-42,0,0,7.2332736456318e-53,-2.2473628360761e-42,7.2332736456283e-53,2.247362836075e-42,-7.2332736456261e-53,2.247362836075e-42,0,0,-1.4330567015701e-55,1.9896007222054e-47,-1.2124523292608e-59,1.4695362892141e-15,1.0729505675199e-16,360.31469625632,100000000,-6.9388939039072e-17,-0.0001616345433989,0.00081616684510322,71.193899319538,3.6513326214123e-08,186.62733446226,163.13063967083
0.9165,0,-1.1451302335638e-92,2.0759841149719e-42,2.0531527688604e-58,1.7324753771498,44.947464325198,-3.9213666323266e-38,1.5238013343129e-51,-1.2532903106985e-39,-2.1468719006676e-53,-2.736238148028e-50,-8.7755407896717e-40,0,0,2.7362381480278e-50,-8.7755407896666e-40,2.7362381480271e-50,8.7755407896698e-40,-2.7362381480296e-50,8.7755407896703e-40,0,0,1.49113402882e-53,8.0386606583207e-45,1.5237701138601e-57,6.305440528597e-16,-1.8214721604898e-15,360.31469625632,100000000,-1.4571677198205e-16,-0.00018148670436878,0.00091608027019078,79.926865222333,4.1011833068971e-08,209.60364050482,183.21852515652
1.0165,0,6.7363117462913e-88,4.493266433807e-40,4.1801633021352e-56,1.7325216916595,44.941729198875,-7.6462144755023e-36,-2.8992014755377e-49,-2.6365231549772e-37,1.1163545261389e-50,-5.5764367405458e-48,-1.8460939410376e-37,0,0,5.5764367405439e-48,-1.846093941038e-37,5.5764367405434e-48,1.8460939410371e-37,-5.5764367405417e-48,1.8460939410376e-37,0,0,-8.2553801926139e-51,1.7398901970535e-42,-2.8986141375981e-55,-4.2938259516142e-17,3.0260254002385e-16,360.31469625632,100000000,-1.4571677198205e-16,-0.00020135113756152,0.0010159837135826,88.662794077486,4.5495767295053e-08,232.60604961217,203.33018240598
1.1165,0,-7.4404158015607e-84,5.8648270020141e-38,3.55820595817e-54,1.7325680040744,44.935993497257,-9.0789172594797e-34,2.8410152485925e-47,-3.3588492003007e-35,-9.1760745518306e-49,-6.8824482621244e-46,-2.3518667552096e-35,0,0,6.8824482621262e-46,-2.3518667552096e-35,6.8824482621271e-46,2.3518667552101e-35,-6.8824482621272e-46,2.3518667552098e-35,0,0,6.7365155230187e-49,2.270988190559e-40,2.8414387326958e-53,1.2124347591527e-16,-6.5935055293656e-16,360.31469625632,100000000,-1.4571677198205e-16,-0.00022122784952154,0.0011158771772737,97.401686634749,5.0007443403696e-08,255.63458130764,223.46563118395
