time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0.0165,-1.6866867068946E-294,-5.622289022982E-295,7.3179792513764E-173,0,1.7320544275189,0,2.6349274391222E-166,6.3131962797057E-146,2.9764820842272E-168,-7.1315495606263E-148,-2.0841332378791E-168,2.0841332384752E-168,1.498053647952E-147,1.498053647952E-147,-5.0124116227013E-158,-5.0124116218124E-158,2.0841332378791E-168,-2.0841332384752E-168,5.0124116227013E-158,5.0124116218124E-158,1.498053647952E-147,1.498053647952E-147,4.99351215984E-148,5.3221901508347E-154,6.3131962797058E-152,-7.6723876526943E-21,0,360.31469625632,100000000,-1.804055303596E-42,-1.0230296879015E-05,1.6499863875603E-05,0.68029634769621,7.0843988242227E-10,,1.5535091676386
0.1165,-1.3420872015773E-184,-4.4736240052576E-185,4.072553087875E-117,1.658766094136E-112,1.7320763626565,0,2.0768112989979E-111,5.0261248545986E-91,2.9451885080002E-113,-7.1276478795472E-93,-2.0622214713328E-113,2.062221471322E-113,1.4972340606345E-92,1.4972340606345E-92,-5.0408884905097E-103,-5.0408884905261E-103,2.0622214713328E-113,-2.0622214713219E-113,5.0408884905097E-103,5.0408884905261E-103,1.4972340606345E-92,1.4972340606345E-92,4.9937743484315E-93,2.9923226761161E-98,5.0261248545986E-97,2.5524253885769E-20,0,360.31469625632,100000000,-2.0766347424209E-40,-7.2248969130949E-05,0.000116493214388,4.8033622753103,1.4856211759131E-08,,10.971170953436
0.2165,-8.4690773491154E-156,-2.8230257830385E-156,1.8104570945453E-102,6.8256574154148E-99,1.7320982908083,0,4.9679968018736E-97,1.2143946123294E-76,7.6161343904588E-99,-1.8615514418722E-78,-5.3328185363902E-99,5.3328185363396E-99,3.9103758652167E-78,3.9103758652167E-78,-1.3246619455065E-88,-1.3246619455143E-88,5.3328185363902E-99,-5.3328185363395E-99,1.3246619455065E-88,1.3246619455143E-88,3.9103758652167E-78,3.9103758652167E-78,1.3124861891402E-78,1.3438755120093E-83,1.2143946123294E-82,-8.2922050474279E-20,0,360.31469625632,100000000,-4.1284612082572E-40,-0.000134296959687,0.00021647656723,8.9265276798626,2.7579437382773E-08,,20.393048280452
0.3165,-1.3808544149444E-138,-4.6028480498147E-139,9.9653626062946E-94,5.6594243048863E-90,1.7321202119799,0,1.8705318564313E-88,4.6183355981576E-68,3.2332409659475E-90,-7.9810710833743E-70,-2.2639158491123E-90,2.2639158491291E-90,1.676504180385E-69,1.676504180385E-69,-5.7140529483185E-80,-5.7140529482922E-80,2.2639158491123E-90,-2.2639158491291E-90,5.7140529483185E-80,5.7140529482922E-80,1.676504180385E-69,1.676504180385E-69,5.6771434182248E-70,7.472959009961E-75,4.6183355981576E-74,1.2079505250284E-19,0,360.31469625632,100000000,-9.5188126907119E-40,-0.000196374269211,0.0003164499244,13.049793019449,4.0351614901008E-08,,29.819143147987
0.4165,-2.9248944430565E-126,-9.7496481435217E-127,1.7762605853377E-87,3.2294481579682E-84,1.7321421261624,0,2.5335654090618E-82,6.3182080358404E-62,4.9570061382924E-84,-1.2357057007613E-63,-3.4708965025881E-84,3.4708965025815E-84,2.5957239967046E-63,2.5957239967046E-63,-8.9011078438139E-74,-8.9011078438243E-74,3.4708965025881E-84,-3.4708965025815E-84,8.9011078438139E-74,8.9011078438244E-74,2.5957239967046E-63,2.5957239967046E-63,8.8620288685961E-64,1.3456571445039E-68,6.3182080358404E-68,4.8108294675334E-19,0,360.31469625632,100000000,-4.1584035350321E-39,-0.000258480923783,0.000416413287897,17.173158751667,5.312883619231E-08,,39.249457557635
0.5165,-1.1963839132479E-116,-3.987946377493E-117,1.315759553501E-82,6.1695061426757E-79,1.7321640333466,0,1.5133569237436E-77,3.8119233194835E-57,3.327835546908E-79,-8.3777073095852E-59,-2.3301509900729E-79,2.3301509900708E-79,1.7598216053758E-58,1.7598216053758E-58,-6.0715049897293E-69,-6.0715049897325E-69,2.3301509900729E-79,-2.3301509900708E-79,6.0715049897293E-69,6.0715049897326E-69,1.7598216053758E-58,1.7598216053758E-58,6.0496923159409E-59,1.0070060507516E-63,3.8119233194835E-63,-1.0426323352823E-19,0,360.31469625632,100000000,-4.0246961964423E-39,-0.000320616949524,0.000516366659719,21.296625334583,6.5925022689612E-08,,48.683993512793
0.6165,-9.0953141642551E-109,-3.031771388085E-109,1.2849239498671E-78,6.0238297469557E-75,1.7321859335236,0,1.2381526832394E-73,3.1500507028537E-53,3.0315896975183E-75,-7.7072409237041E-55,-2.122719598245E-75,2.1227195982459E-75,1.6189834037115E-54,1.6189834037115E-54,-5.6196577243604E-65,-5.619657724359E-65,2.122719598245E-75,-2.1227195982459E-75,5.6196577243604E-65,5.619657724359E-65,1.6189834037115E-54,1.6189834037115E-54,5.5973442004937E-55,9.9348275985847E-60,3.1500507028537E-59,9.4887836063295E-19,0,360.31469625632,100000000,-1.0075268132089E-38,-0.000382782372587,0.000616310041863,25.420193226652,7.8732317986484E-08,,58.122753018617
0.7165,-4.3532387346732E-102,-1.4510795782244E-102,3.0796386838173E-75,3.6638198927758E-71,1.7322078266842,0,2.5533368536715E-70,6.5613253641336E-50,6.8980684312179E-72,-1.7710045830844E-51,-4.830028635128E-72,4.830028635133E-72,3.7201730895582E-51,3.7201730895582E-51,-1.2991778622135E-61,-1.2991778622127E-61,4.830028635128E-72,-4.830028635133E-72,1.2991778622135E-61,1.2991778622127E-61,3.7201730895582E-51,3.7201730895582E-51,1.2922825274716E-51,2.4055234655918E-56,6.5613253641336E-56,-5.127414306088E-20,0,360.31469625632,100000000,-1.9392972425121E-38,-0.000444977219168,0.000716243436325,29.543862886794,9.1558938781902E-08,,67.565738082126
0.8165,-2.7310364866144E-96,-9.1034549553813E-97,2.6310071905419E-72,1.7184618879702E-68,1.7322297128193,0,1.9141900491687E-67,4.9683044449101E-47,5.6593060617672E-69,-1.467297157899E-48,-3.9626470229807E-69,3.9626470229857E-69,3.0822051243336E-48,3.0822051243336E-48,-1.0829379601186E-58,-1.0829379601177E-58,3.9626470229807E-69,-3.9626470229856E-69,1.0829379601186E-58,1.0829379601177E-58,3.0822051243336E-48,3.0822051243336E-48,1.074922802678E-48,2.0761481686681E-53,4.9683044449101E-53,9.7137264304029E-19,0,360.31469625632,100000000,-3.2797153344374E-38,-0.000507201515495,0.000816166845103,33.667634774322,1.044006872575E-07,,77.012950712103
0.9165,-3.6126791905877E-91,-1.2042263968626E-91,1.0203354285862E-69,5.5961201065016E-66,1.7322515919199,0,6.6133933714976E-65,1.7337511175461E-44,2.124342167756E-66,-5.5621336216115E-46,-1.4874647306538E-66,1.4874647306551E-66,1.1683820593851E-45,1.1683820593851E-45,-4.1301161396473E-56,-4.130116139645E-56,1.4874647306538E-66,-1.4874647306551E-66,4.1301161396473E-56,4.130116139645E-56,1.1683820593851E-45,1.1683820593851E-45,4.088445383911E-46,8.134021426327E-51,1.7337511175461E-50,-7.6101022375321E-21,0,360.31469625632,100000000,-3.469178254277E-38,-0.000569455287838,0.000916080270189,37.791509348996,1.1726479816164E-07,,86.46439291916
1.0165,-1.3958623988373E-86,-4.652874662791E-87,2.1197764130732E-67,1.3897075749029E-63,1.7322734639768,0,1.2387713849401E-62,3.2801400097714E-42,4.296061246896E-64,-1.135923283126E-43,-3.0081027823496E-64,3.0081027823508E-64,2.3861210016341E-43,2.3861210016341E-43,-8.4860206119822E-54,-8.4860206119801E-54,3.0081027823496E-64,-3.0081027823507E-64,8.4860206119822E-54,8.4860206119801E-54,2.3861210016341E-43,2.3861210016341E-43,8.3736153007897E-44,1.7071748114878E-48,3.2801400097714E-48,-1.0993326244213E-18,0,360.31469625632,100000000,-4.2224623912633E-38,-0.000631738562501,0.001015983713581,41.915487070997,1.3013825781342E-07,,95.920066715745
1.1165,-1.9889472762578E-82,-6.6298242541928E-83,2.6558149235349E-65,1.6759560987499E-61,1.732295328981,0,1.4130000910273E-60,3.7790426350404E-40,5.2613896949458E-62,-1.4048833115987E-41,-3.6840259183487E-62,3.6840259183533E-62,2.9510985684049E-41,2.9510985684049E-41,-1.0559139653445E-51,-1.0559139653437E-51,3.6840259183487E-62,-3.6840259183533E-62,1.0559139653445E-51,1.0559139653437E-51,2.9510985684049E-41,2.9510985684049E-41,1.0382023338118E-41,2.1607817208256E-46,3.7790426350404E-46,1.6033697933805E-18,0,360.31469625632,100000000,-4.3705669718159E-38,-0.000694051365829,0.001115877177273,46.03956840094,1.4302435261975E-07,,105.37997411611
1.2165,-1.2420050652995E-78,-4.1400168843319E-79,2.1903921150048E-63,1.3872964575994E-58,1.7323171869233,0,1.0695656980657E-58,2.8892493199776E-38,4.255360446987E-60,-1.1474588548498E-39,-2.9796040756466E-60,2.9796040756482E-60,2.4103526292141E-39,2.4103526292139E-39,-8.6767606305017E-50,-8.6767606304982E-50,2.9796040756463E-60,-2.9796040756485E-60,8.6767606305016E-50,8.6767606304983E-50,2.4103526292139E-39,2.410352629214E-39,8.4980357125437E-40,1.8003612924095E-44,2.8892493199776E-44,-1.8889066499943E-17,0,360.31469625632,100000000,-2.4031276326397E-35,-0.000756393724201,0.001215760663256,50.163753799871,1.5593412841855E-07,,114.84411713631
1.3165,-3.8759763371978E-75,-1.2919921123989E-75,1.2711918649565E-61,4.1298517661934E-56,1.7323390377946,0,5.735648643989E-57,1.5649397112618E-36,2.4278437382742E-58,-6.6112302138726E-38,-1.6999765795918E-58,1.6999765795939E-58,1.3887553406373E-37,1.3887553406381E-37,-5.0296068611697E-48,-5.0296068611707E-48,1.6999765795938E-58,-1.6999765795919E-58,5.0296068611709E-48,5.0296068611695E-48,1.3887553406379E-37,1.3887553406375E-37,4.9055724562406E-38,1.0555362966989E-42,1.5649397112618E-42,-3.2326093164769E-16,0,360.31469625632,100000000,-2.8230516683742E-34,-0.000818765664037,0.001315634173525,54.288043729258,1.6885834390729E-07,,124.31249779427
1.4165,-6.6959361609808E-72,-2.2319787203271E-72,5.4676393456663E-60,9.3689612187326E-55,1.7323608815856,0,2.2928209890613E-55,6.3186209876409E-35,1.0286452146178E-56,-2.8287057494081E-36,-7.2025754623097E-57,7.2025754623024E-57,5.9419806745496E-36,5.94198067455E-36,-2.1650596788585E-46,-2.16505967886E-46,7.2025754623106E-57,-7.2025754623015E-57,2.1650596788585E-46,2.16505967886E-46,5.9419806745499E-36,5.9419806745497E-36,2.1024543240658E-36,4.5865459903528E-41,6.3186209876409E-41,2.3464966859476E-16,0,360.31469625632,100000000,-5.0902407001426E-34,-0.000881167211792,0.001415497710072,58.412438651016,1.8179729510405E-07,,133.78511810972
1.5165,-6.9450609190822E-69,-2.3150203063603E-69,1.8162407316878E-58,3.7903936162936E-53,1.7323827182873,0,7.1139763565879E-54,1.9801643001231E-33,3.371250068188E-55,-9.3621071528977E-35,-2.360549844918E-55,2.3605498449178E-55,1.9666046843942E-34,1.9666046843939E-34,-7.2091678596473E-45,-7.2091678596456E-45,2.3605498449183E-55,-2.3605498449175E-55,7.2091678596448E-45,7.2091678596482E-45,1.9666046843943E-34,1.9666046843938E-34,6.9689013614774E-35,1.5391561691651E-39,1.9801643001231E-39,-2.097617237653E-16,0,360.31469625632,100000000,-6.1713346799603E-34,-0.000943598393962,0.001515351274888,62.53693902749,1.947608554574E-07,,143.26198010423
