time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,-4.2073695031278e-202,-1.4024565010426e-202,4.6774901059591e-126,6.2152223538775e-121,1.7320672604262,0,3.7051858101262e-120,8.9298476463607e-100,5.2183286004418e-122,-1.2576661721012e-101,-3.6538745330784e-122,3.6538745329927e-122,2.6418541734941e-101,2.6418541734941e-101,-8.8717860992074e-112,-8.8717860993364e-112,3.6538745330784e-122,-3.6538745329926e-122,8.8717860992073e-112,8.8717860993365e-112,2.6418541734941e-101,2.6418541734941e-101,8.8063533736975e-102,3.4222862027798e-107,8.9298476463607e-106,4.9289497218209e-20,0,329.01469625632,100000000,-4.5565044033859e-41,-4.6507655308643e-05,7.4997187632053e-05,3.0922778664964,9.5532355502623e-09,8.0810348217729,7.0623297126255
0.175,-1.2858928969054e-161,-4.2863096563513e-162,1.8483567580495e-105,3.3816529263306e-101,1.7320891914721,0,6.2748145928926e-100,1.5274866550593e-79,9.2314285169096e-102,-2.247119389234e-81,-6.463847745772e-102,6.4638477458513e-102,4.7203000831843e-81,4.7203000831843e-81,-1.5949653148609e-91,-1.5949653148488e-91,6.463847745772e-102,-6.4638477458513e-102,1.5949653148609e-91,1.5949653148488e-91,4.7203000831843e-81,4.7203000831843e-81,1.5791513027855e-81,1.3662134804536e-86,1.5274866550593e-85,-1.2812894843509e-19,0,329.01469625632,100000000,-4.528001663115e-40,-0.00010854348614178,0.00017498468926447,7.2154019322969,2.2296040171506e-08,18.859746140897,16.482457347576
0.275,-5.5230243912933e-141,-1.8410081304311e-141,5.6421483970128e-95,1.7286901019858e-91,1.7321111155416,0,1.2188765183126e-89,2.9969415483258e-69,2.0010129603153e-91,-4.9192337874008e-71,-1.4011095995801e-91,1.4011095995881e-91,1.033334488907e-70,1.033334488907e-70,-3.5130207471678e-81,-3.5130207471553e-81,1.4011095995801e-91,-1.4011095995881e-91,3.5130207471678e-81,3.5130207471553e-81,1.033334488907e-70,1.033334488907e-70,3.4863045326483e-71,4.2131424748273e-76,2.9969415483258e-75,-3.3726821255885e-19,0,329.01469625632,100000000,-3.5530022216885e-40,-0.00017060862512998,0.00027496219439594,11.338625743317,3.504766591151e-08,29.643028688836,25.906801692928
0.375,-5.1300709362275e-127,-1.7100236454092e-127,6.8986004714437e-88,6.8652582320917e-84,1.7321330326257,0,1.0928797087152e-82,2.7141417531772e-62,2.0321994597244e-84,-5.0453304797189e-64,-1.4229463915387e-84,1.4229463915361e-84,1.0598223662351e-63,1.0598223662351e-63,-3.6251096797313e-74,-3.6251096797353e-74,1.4229463915387e-84,-1.4229463915361e-84,3.6251096797313e-74,3.6251096797353e-74,1.0598223662351e-63,1.0598223662351e-63,3.6066158446218e-64,5.2041651125007e-69,2.7141417531772e-68,-2.1198490793107e-19,0,329.01469625632,100000000,-1.6884876579355e-39,-0.00023270309833911,0.00037492970502486,15.461949757014,4.7814861670569e-08,40.430884464594,35.335364749527
0.475,-1.9387384811352e-116,-6.462461603784e-117,1.5837876895571e-82,1.0514857317211e-78,1.7321549427153,0,1.980800380374e-77,4.9686915999749e-57,4.1541612364258e-79,-1.0415400236701e-58,-2.9087443719786e-79,2.9087443719884e-79,2.1878594808643e-58,2.1878594808643e-58,-7.5292373126678e-69,-7.5292373126522e-69,2.9087443719787e-79,-2.9087443719884e-79,7.5292373126678e-69,7.5292373126522e-69,2.1878594808643e-58,2.1878594808643e-58,7.5008533500822e-59,1.207021553971e-63,4.9686915999749e-63,-2.6892165030116e-19,0,329.01469625632,100000000,-5.1688423786821e-39,-0.00029482693187208,0.00047488722314945,19.585374431262,6.0606262333737e-08,51.223315469253,44.768148519991
0.575,-6.3765383302125e-108,-2.1255127767375e-108,3.2562367014896e-78,3.6927584345858e-74,1.7321768458013,0,3.3641874357701e-73,8.5235840615335e-53,7.8868360457891e-75,-1.996923833778e-54,-5.5223638793219e-75,5.5223638793381e-75,4.194739177569e-54,4.1947391775691e-54,-1.4523696735889e-64,-1.4523696735862e-64,5.5223638793219e-75,-5.5223638793381e-75,1.4523696735889e-64,1.4523696735863e-64,4.194739177569e-54,4.194739177569e-54,1.4470181666391e-54,2.5070418061818e-59,8.5235840615335e-59,1.415083549571e-18,0,329.01469625632,100000000,-6.0741965818815e-39,-0.0003569801518688,0.00057483475076723,23.708900224354,7.3409909746343e-08,62.020323706005,54.205155008771
0.675,-8.6171600618718e-101,-2.8723866872906e-101,1.3221557229907e-74,1.3977534868638e-69,1.7321987418748,0,1.1636050232256e-69,2.9777480640818e-49,3.021009424435e-71,-7.7245819220608e-51,-2.1153112893118e-71,2.1153112893159e-71,1.6226260546706e-50,1.6226260546707e-50,-5.652353682179e-61,-5.6523536821727e-61,2.1153112893119e-71,-2.1153112893157e-71,5.6523536821793e-61,5.6523536821724e-61,1.6226260546706e-50,1.6226260546706e-50,5.6260698817948e-51,1.0283840268095e-55,2.9777480640818e-55,-1.0834826108122e-16,0,329.01469625632,100000000,-2.0067494814474e-35,-0.00041916278450786,0.000674772289875,27.832527595016,8.623681220692e-08,72.821911180136,63.646386222093
0.775,-1.1723691286077e-94,-3.9078970953616e-95,1.6731762418506e-71,7.0708092136528e-66,1.7322206309266,0,1.282511920805e-66,3.3150008170902e-46,3.6558935687949e-68,-9.4401633329476e-48,-2.5598572702425e-68,2.5598572702383e-68,1.9830011693763e-47,1.9830011693757e-47,-6.94977891449e-58,-6.9497789144932e-58,2.5598572702391e-68,-2.5598572702417e-68,6.9497789144919e-58,6.9497789144913e-58,1.9830011693753e-47,1.9830011693767e-47,6.9049402790067e-48,1.3147435961032e-52,3.3150008170902e-52,-2.5004430561872e-17,0,329.01469625632,100000000,-5.7767417612426e-35,-0.00048137485600432,0.00077469984246906,31.956257002394,9.9073486142773e-08,83.628079899048,73.091844168023
0.875,-2.8244952455015e-89,-9.414984151678e-90,8.7953703583716e-69,4.351847012982e-63,1.7322425129476,0,5.9712074434547e-64,1.5589199697552e-43,1.8546738167219e-65,-4.8363286122738e-45,-1.2986429074923e-65,1.2986429074905e-65,1.0159194237833e-44,1.0159194237827e-44,-3.5821446615615e-55,-3.5821446615608e-55,1.2986429074905e-65,-1.2986429074923e-65,3.5821446615608e-55,3.5821446615614e-55,1.0159194237828e-44,1.0159194237832e-44,3.5502256775733e-45,6.9819980922518e-50,1.5589199697552e-49,7.8246830933296e-17,0,329.01469625632,100000000,-3.3950446949784e-34,-0.00054361639260994,0.00087461741054514,36.080088906062,1.1191631305617e-07,94.438831872249,82.541530856422
