time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,-4.2073695031277e-202,-1.4024565010426e-202,4.677490105959e-126,5.9039902616848e-121,1.7320672604262,0,3.7051858101261e-120,8.9298476463607e-100,5.2183286004419e-122,-1.2576661721012e-101,-3.6538745330784e-122,3.6538745329926e-122,2.6418541734941e-101,2.6418541734941e-101,-8.8717860992073e-112,-8.8717860993365e-112,3.6538745330784e-122,-3.6538745329926e-122,8.8717860992074e-112,8.8717860993365e-112,2.6418541734941e-101,2.6418541734941e-101,8.8063533736975e-102,3.4222862027798e-107,8.9298476463607e-106,-4.1610887628491e-20,0,329.01469625632,100000000,-5.7980213305661e-41,-4.6507655308643e-05,7.4997187632053e-05,3.0922778664964,9.5532355502623e-09,8.0810348217729,7.0623297126255
0.175,-1.2858928969054e-161,-4.2863096563513e-162,1.8483567580495e-105,2.8529400382177e-101,1.7320891914721,0,6.2748145928926e-100,1.5274866550593e-79,9.2314285169095e-102,-2.247119389234e-81,-6.463847745772e-102,6.4638477458513e-102,4.7203000831843e-81,4.7203000831843e-81,-1.5949653148609e-91,-1.5949653148488e-91,6.4638477457721e-102,-6.4638477458513e-102,1.5949653148609e-91,1.5949653148488e-91,4.7203000831843e-81,4.7203000831843e-81,1.5791513027855e-81,1.3662134804536e-86,1.5274866550593e-85,1.1048558816305e-19,0,329.01469625632,100000000,-4.25116949455e-40,-0.00010854348614178,0.00017498468926447,7.2154019322969,2.2296040171506e-08,18.859746140897,16.482457347576
0.275,-5.5230243912933e-141,-1.8410081304311e-141,5.6421483970129e-95,3.3523897689945e-91,1.7321111155416,0,1.2188765183126e-89,2.9969415483258e-69,2.0010129603153e-91,-4.9192337874008e-71,-1.4011095995801e-91,1.4011095995881e-91,1.033334488907e-70,1.033334488907e-70,-3.5130207471678e-81,-3.5130207471553e-81,1.4011095995801e-91,-1.4011095995881e-91,3.5130207471678e-81,3.5130207471554e-81,1.033334488907e-70,1.033334488907e-70,3.4863045326483e-71,4.2131424748273e-76,2.9969415483258e-75,-3.6660162638798e-19,0,329.01469625632,100000000,-9.6728716363621e-40,-0.00017060862512998,0.00027496219439594,11.338625743317,3.504766591151e-08,29.643028688836,25.906801692928
0.375,-5.1300709362803e-127,-1.7100236454268e-127,6.8986004715614e-88,2.2601717973034e-84,1.7321330326257,0,1.0928797087341e-82,2.714141753193e-62,2.0321994597509e-84,-5.0453304797414e-64,-1.4229463915534e-84,1.4229463915547e-84,1.0598223662399e-63,1.0598223662399e-63,-3.6251096797343e-74,-3.6251096797323e-74,1.4229463915534e-84,-1.4229463915547e-84,3.6251096797343e-74,3.6251096797323e-74,1.0598223662399e-63,1.0598223662399e-63,3.6066158446376e-64,5.2041651125307e-69,2.714141753193e-68,-1.5373680895569e-19,0,329.01469625632,100000000,-1.4893178318068e-39,-0.00023270309833903,0.00037492970502504,15.461949757019,4.782214563536e-08,40.430884464599,35.335364749524
0.475,-1.9387384811333e-116,-6.4624616037777e-117,1.5837876895455e-82,1.0339889996908e-78,1.7321549427153,0,1.9808003803596e-77,4.9686915999658e-57,4.1541612364153e-79,-1.041540023671e-58,-2.9087443719797e-79,2.9087443719811e-79,2.1878594808661e-58,2.1878594808661e-58,-7.5292373126765e-69,-7.5292373126743e-69,2.9087443719798e-79,-2.9087443719811e-79,7.5292373126765e-69,7.5292373126744e-69,2.1878594808661e-58,2.1878594808661e-58,7.5008533500897e-59,1.2070215539688e-63,4.9686915999658e-63,2.7740384038314e-22,0,329.01469625632,100000000,-3.5004630565495e-39,-0.00029482693187185,0.00047488722314985,19.585374431262,6.0606258783757e-08,51.223315469253,44.768148519991
0.575,-6.3765383301985e-108,-2.1255127767327e-108,3.2562367014753e-78,2.6735141600147e-73,1.7321768458013,0,3.3641874357551e-73,8.5235840615271e-53,7.886836045761e-75,-1.996923833775e-54,-5.5223638793225e-75,5.5223638793185e-75,4.1947391775628e-54,4.1947391775627e-54,-1.4523696735853e-64,-1.4523696735859e-64,5.5223638793226e-75,-5.5223638793184e-75,1.4523696735852e-64,1.452369673586e-64,4.1947391775628e-54,4.1947391775627e-54,1.4470181666369e-54,2.50704180618e-59,8.5235840615271e-59,4.6522503777865e-17,0,329.01469625632,100000000,-1.5729153233612e-35,-0.00035698015186887,0.00057483475076765,23.708900224352,7.3407482840846e-08,62.020323706004,54.205155008771
0.675,-8.6171600618374e-101,-2.8723866872786e-101,1.3221557229827e-74,6.3705784348231e-69,1.7321987418748,0,1.1636050232184e-69,2.9777480640761e-49,3.0210094244154e-71,-7.7245819220433e-51,-2.1153112892984e-71,2.1153112893034e-71,1.6226260546666e-50,1.6226260546673e-50,-5.6523536821788e-61,-5.6523536821741e-61,2.1153112892997e-71,-2.115311289302e-71,5.6523536821801e-61,5.6523536821728e-61,1.622626054667e-50,1.6226260546669e-50,5.6260698817819e-51,1.0283840268075e-55,2.9777480640761e-55,-2.8027504523539e-16,0,329.01469625632,100000000,-2.7306209631804e-34,-0.00041916278450792,0.00067477228987577,27.832527595012,8.6231357212581e-08,72.821911180132,63.646386222095
0.775,-1.1723691286147e-94,-3.9078970953805e-95,1.6731762418552e-71,8.0532682864377e-66,1.7322206309266,0,1.2825119208085e-66,3.3150008171e-46,3.6558935687983e-68,-9.4401633329655e-48,-2.5598572702375e-68,2.5598572702452e-68,1.9830011693797e-47,1.9830011693798e-47,-6.9497789145174e-58,-6.9497789145051e-58,2.5598572702386e-68,-2.5598572702441e-68,6.9497789145162e-58,6.9497789145063e-58,1.98300116938e-47,1.9830011693795e-47,6.9049402790195e-48,1.3147435961072e-52,3.3150008171e-52,2.0262890079832e-16,0,329.01469625632,100000000,-3.6658923943108e-34,-0.0004813748560041,0.00077469984246988,31.95625700239,9.9067436369692e-08,83.628079899044,73.091844168025
0.875,-2.8244952455054e-89,-9.414984151681e-90,8.7953703583884e-69,3.010218774144e-63,1.7322425129476,0,5.9712074434662e-64,1.5589199697554e-43,1.8546738167219e-65,-4.8363286122748e-45,-1.2986429074927e-65,1.2986429074929e-65,1.0159194237832e-44,1.0159194237832e-44,-3.5821446615598e-55,-3.5821446615599e-55,1.2986429074933e-65,-1.2986429074923e-65,3.5821446615592e-55,3.5821446615605e-55,1.0159194237833e-44,1.0159194237831e-44,3.550225677574e-45,6.9819980922526e-50,1.5589199697554e-49,-5.7958845530517e-17,0,329.01469625632,100000000,-7.5435820721175e-34,-0.00054361639260953,0.00087461741054605,36.080088906065,1.1192085142411e-07,94.438831872252,82.541530856421
