time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0165,-1.6866867068946e-294,-5.622289022982e-295,7.3179792513763e-173,0,1.7320544275189,0,2.6349274391222e-166,6.3131962797057e-146,2.9764820842272e-168,-7.1315495606263e-148,-2.0841332378791e-168,2.0841332384752e-168,1.498053647952e-147,1.498053647952e-147,-5.0124116227012e-158,-5.0124116218124e-158,2.0841332378791e-168,-2.0841332384752e-168,5.0124116227012e-158,5.0124116218124e-158,1.498053647952e-147,1.498053647952e-147,4.99351215984e-148,5.3221901508347e-154,6.3131962797058e-152,5.531772629341e-22,0,360.31469625632,100000000,-1.4765477756847e-42,-1.0230296879015e-05,1.6499863875603e-05,0.68029634769621,7.0843988242227e-10,1.7776071802764,1.5535091676386
0.1165,-1.3420872015773e-184,-4.4736240052576e-185,4.0725530878749e-117,1.5142192152408e-112,1.7320763626565,0,2.0768112989979e-111,5.0261248545986e-91,2.9451885080003e-113,-7.1276478795472e-93,-2.0622214713328e-113,2.062221471322e-113,1.4972340606345e-92,1.4972340606345e-92,-5.0408884905097e-103,-5.0408884905261e-103,2.0622214713328e-113,-2.062221471322e-113,5.0408884905097e-103,5.0408884905261e-103,1.4972340606345e-92,1.4972340606345e-92,4.9937743484315e-93,2.9923226761162e-98,5.0261248545986e-97,9.3062837457477e-20,0,360.31469625632,100000000,-1.7956522862204e-40,-7.2248969130949e-05,0.0001164932143878,4.8033622753103,1.4856211759131e-08,12.553645257296,10.971170953436
0.2165,-8.469077349051e-156,-2.823025783017e-156,1.8104570945403e-102,4.0265627620316e-99,1.7320982908083,0,4.9679968018599e-97,1.2143946123243e-76,7.6161343904458e-99,-1.8615514418658e-78,-5.3328185363025e-99,5.3328185363304e-99,3.9103758652031e-78,3.9103758652031e-78,-1.3246619455126e-88,-1.3246619455083e-88,5.3328185363026e-99,-5.3328185363303e-99,1.3246619455126e-88,1.3246619455083e-88,3.9103758652031e-78,3.9103758652031e-78,1.3124861891357e-78,1.3438755120037e-83,1.2143946123243e-82,-2.5110324665204e-19,0,360.31469625632,100000000,-5.2155400434293e-40,-0.00013429695968673,0.00021647656722972,8.9265276798626,2.7579436494906e-08,23.334253393849,20.393048280452
0.3165,-1.3808544149451e-138,-4.6028480498169e-139,9.9653626062619e-94,7.4247350848193e-90,1.7321202119799,0,1.8705318564254e-88,4.6183355981576e-68,3.233240965941e-90,-7.9810710833781e-70,-2.2639158491243e-90,2.2639158491246e-90,1.6765041803858e-69,1.6765041803858e-69,-5.7140529483041e-80,-5.7140529483037e-80,2.2639158491244e-90,-2.2639158491246e-90,5.7140529483041e-80,5.7140529483037e-80,1.6765041803858e-69,1.6765041803858e-69,5.6771434182277e-70,7.4729590099606e-75,4.6183355981576e-74,5.9875583077998e-17,0,360.31469625632,100000000,-3.6045747829993e-35,-0.00019637426921052,0.00031644992440015,13.049793019452,4.0356465419792e-08,34.119433588571,29.819143147986
0.4165,-2.9248944430558e-126,-9.7496481435172e-127,1.7762605853386e-87,5.8504589544268e-81,1.7321421261624,0,2.5335654090631e-82,6.318208035842e-62,4.9570061382919e-84,-1.2357057007604e-63,-3.4708965025768e-84,3.470896502567e-84,2.5957239967071e-63,2.5957239966983e-63,-8.901107843846e-74,-8.9011078438125e-74,3.4708965025626e-84,-3.4708965025811e-84,8.9011078438194e-74,8.901107843839e-74,2.5957239967031e-63,2.5957239967024e-63,8.8620288685892e-64,1.3456571445042e-68,6.318208035842e-68,-4.3186603053565e-16,0,360.31469625632,100000000,-3.9072480649372e-34,-0.00025848092378352,0.00041641328789751,17.173158751667,5.3128836414205e-08,44.909187841285,39.249457557635
0.5165,-1.1963839132417e-116,-3.987946377477e-117,1.315759553489e-82,1.0980064419429e-76,1.7321640333466,0,1.5133569237298e-77,3.8119233194738e-57,3.3278355469048e-79,-8.3777073095727e-59,-2.3301509900745e-79,2.3301509900642e-79,1.7598216053736e-58,1.7598216053727e-58,-6.0715049897146e-69,-6.0715049897262e-69,2.3301509900701e-79,-2.3301509900686e-79,6.0715049897168e-69,6.0715049897241e-69,1.7598216053723e-58,1.759821605374e-58,6.0496923159322e-59,1.007006050749e-63,3.8119233194738e-63,-3.3216695911723e-16,0,360.31469625632,100000000,-7.9289103567445e-34,-0.00032061694952393,0.00051636665971953,21.296625334583,6.592427081002e-08,55.70351815399,48.683993512793
0.6165,-9.0953141642479e-109,-3.0317713880831e-109,1.2849239498636e-78,2.5328933819775e-73,1.7321859335236,0,1.2381526832359e-73,3.1500507028515e-53,3.0315896975187e-75,-7.7072409237046e-55,-2.1227195982459e-75,2.1227195982462e-75,1.6189834037114e-54,1.6189834037117e-54,-5.6196577243587e-65,-5.6196577243597e-65,2.122719598246e-75,-2.1227195982461e-75,5.61965772436e-65,5.6196577243584e-65,1.6189834037115e-54,1.6189834037117e-54,5.5973442004942e-55,9.934827598578e-60,3.1500507028515e-59,-4.0789299433668e-17,0,360.31469625632,100000000,-8.9129804142427e-34,-0.00038278237258735,0.00061631004186327,25.42019322665,7.8728077176805e-08,66.502426530703,58.122753018618
0.7165,-4.3532387346707e-102,-1.4510795782245e-102,3.0796386838174e-75,2.1026241904676e-69,1.7322078266842,0,2.5533368536716e-70,6.5613253641345e-50,6.8980684312167e-72,-1.7710045830842e-51,-4.830028635127e-72,4.8300286351296e-72,3.7201730895572e-51,3.7201730895586e-51,-1.2991778622131e-61,-1.2991778622134e-61,4.8300286351245e-72,-4.8300286351321e-72,1.2991778622143e-61,1.2991778622123e-61,3.7201730895565e-51,3.7201730895593e-51,1.2922825274715e-51,2.4055234655922e-56,6.5613253641345e-56,-5.0893735511479e-16,0,360.31469625632,100000000,-1.5418189919231e-33,-0.00044497721916787,0.00071624343632614,29.543862886794,9.155893966905e-08,77.305914977634,67.565738082126
0.8165,-2.7310364866113e-96,-9.1034549553711e-97,2.6310071905391e-72,7.6674862752036e-67,1.7322297128193,0,1.9141900491668e-67,4.9683044449074e-47,5.659306061765e-69,-1.4672971578981e-48,-3.962647022984e-69,3.9626470229866e-69,3.0822051243314e-48,3.0822051243321e-48,-1.0829379601168e-58,-1.0829379601168e-58,3.9626470229865e-69,-3.9626470229841e-69,1.0829379601168e-58,1.0829379601168e-58,3.0822051243322e-48,3.0822051243314e-48,1.0749228026774e-48,2.0761481686669e-53,4.9683044449074e-53,-1.443996178698e-16,0,360.31469625632,100000000,-1.841647596427e-33,-0.00050720151549533,0.00081616684510317,33.667634774322,1.0440068903151e-07,88.113985503027,77.012950712103
