time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0165,-1.6866867068946e-294,-5.622289022982e-295,7.3179792513764e-173,0,1.7320544275189,0,2.6349274391222e-166,6.3131962797057e-146,2.9764820842272e-168,-7.1315495606263e-148,-2.0841332378791e-168,2.0841332384752e-168,1.498053647952e-147,1.498053647952e-147,-5.0124116227013e-158,-5.0124116218124e-158,2.0841332378791e-168,-2.0841332384752e-168,5.0124116227012e-158,5.0124116218124e-158,1.498053647952e-147,1.498053647952e-147,4.99351215984e-148,5.3221901508347e-154,6.3131962797058e-152,-2.1233221855294e-21,0,360.31469625632,100000000,-4.7561027746397e-42,-1.0230296879015e-05,1.6499863875603e-05,0.68029634769621,7.0843988242227e-10,1.7776071802764,1.5535091676386
0.1165,-1.3420872015864e-184,-4.4736240052754e-185,4.0725530878911e-117,6.649512689881e-110,1.7320763626565,0,2.0768112990039e-111,5.0261248546087e-91,2.9451885079732e-113,-7.1276478795613e-93,-2.0622214713481e-113,2.062221471328e-113,1.4972340606327e-92,1.4972340606423e-92,-5.0408884904765e-103,-5.0408884905593e-103,2.0622214713732e-113,-2.062221471303e-113,5.0408884904909e-103,5.0408884905449e-103,1.4972340606396e-92,1.4972340606354e-92,4.9937743484414e-93,2.9923226761231e-98,5.0261248546087e-97,-7.8186502218939e-17,0,360.31469625632,100000000,-1.0768630526895e-34,-7.2248969131129e-05,0.00011649321438772,4.8033622753021,1.4843321671879e-08,12.553645257287,10.971170953439
0.2165,-8.4690773490943e-156,-2.8230257830391e-156,1.8104570945613e-102,7.9056928021924e-96,1.7320982908083,0,4.96799680192e-97,1.2143946123294e-76,7.6161343905672e-99,-1.8615514418727e-78,-5.3328185363497e-99,5.3328185363885e-99,3.9103758652197e-78,3.9103758652155e-78,-1.3246619455145e-88,-1.3246619455062e-88,5.3328185363229e-99,-5.3328185364153e-99,1.3246619455163e-88,1.3246619455044e-88,3.9103758652122e-78,3.910375865223e-78,1.3124861891406e-78,1.3438755120087e-83,1.2143946123294e-82,-2.764719123663e-16,0,360.31469625632,100000000,-2.5659610914622e-34,-0.00013429695968717,0.00021647656722924,8.9265276798641,2.7586471952418e-08,23.334253393846,20.393048280444
0.3165,-1.3808544149462e-138,-4.6028480498184e-139,9.9653626062968e-94,1.8182425300658e-87,1.7321202119799,0,1.8705318564316e-88,4.6183355981576e-68,3.233240965945e-90,-7.9810710833808e-70,-2.2639158491166e-90,2.2639158491321e-90,1.6765041803855e-69,1.6765041803873e-69,-5.7140529483141e-80,-5.7140529483001e-80,2.2639158491214e-90,-2.2639158491274e-90,5.7140529483169e-80,5.7140529482973e-80,1.6765041803868e-69,1.676504180386e-69,5.6771434182298e-70,7.4729590099609e-75,4.6183355981576e-74,-3.4850168252296e-16,0,360.31469625632,100000000,-4.2594536825656e-34,-0.00019637426921107,0.00031644992439955,13.04979301945,4.0352827530704e-08,34.119433588569,29.819143147987
0.4165,-2.9248944430542e-126,-9.7496481435201e-127,1.7762605853395e-87,5.631108662889e-81,1.7321421261624,0,2.5335654090645e-82,6.3182080358403e-62,4.957006138262e-84,-1.2357057007611e-63,-3.4708965025719e-84,3.4708965025746e-84,2.5957239966997e-63,2.5957239967087e-63,-8.9011078438122e-74,-8.901107843858e-74,3.4708965025862e-84,-3.4708965025602e-84,8.9011078438394e-74,8.9011078438309e-74,2.5957239967038e-63,2.5957239967046e-63,8.8620288685946e-64,1.3456571445039e-68,6.3182080358403e-68,4.1749518386312e-16,0,360.31469625632,100000000,-8.5761819848166e-34,-0.00025848092378422,0.00041641328789674,17.173158751667,5.312883619231e-08,44.909187841285,39.249457557635
0.5165,-1.1963839132447e-116,-3.9879463774795e-117,1.3157595535006e-82,1.9312526609031e-76,1.7321640333466,0,1.5133569237432e-77,3.8119233194754e-57,3.3278355468952e-79,-8.3777073095746e-59,-2.3301509900603e-79,2.3301509900708e-79,1.7598216053714e-58,1.7598216053757e-58,-6.0715049897251e-69,-6.0715049897324e-69,2.3301509900691e-79,-2.3301509900619e-79,6.071504989735e-69,6.0715049897225e-69,1.7598216053739e-58,1.7598216053731e-58,6.0496923159335e-59,1.0070060507494e-63,3.8119233194754e-63,7.3232704320391e-16,0,360.31469625632,100000000,-1.1956648826912e-33,-0.00032061694952471,0.00051636665971859,21.296625334583,6.5925022689612e-08,55.703518153991,48.683993512793
0.6165,-9.0953141643029e-109,-3.0317713881008e-109,1.2849239498773e-78,1.0941727488919e-72,1.7321859335236,0,1.2381526832491e-73,3.1500507028637e-53,3.0315896975389e-75,-7.7072409237199e-55,-2.1227195982573e-75,2.122719598257e-75,1.6189834037155e-54,1.6189834037141e-54,-5.619657724363e-65,-5.6196577243552e-65,2.1227195982541e-75,-2.1227195982603e-75,5.6196577243601e-65,5.6196577243581e-65,1.6189834037146e-54,1.618983403715e-54,5.5973442005049e-55,9.9348275986163e-60,3.1500507028637e-59,1.3246953104033e-16,0,360.31469625632,100000000,-1.4557850657441e-33,-0.00038278237258808,0.00061631004186256,25.420193226649,7.8727481360569e-08,66.502426530702,58.122753018618
0.7165,-4.3532387346686e-102,-1.4510795782221e-102,3.0796386838015e-75,1.8342277015523e-69,1.7322078266842,0,2.5533368536584e-70,6.5613253641257e-50,6.8980684311982e-72,-1.7710045830837e-51,-4.8300286351285e-72,4.8300286351224e-72,3.7201730895569e-51,3.7201730895565e-51,-1.2991778622127e-61,-1.2991778622135e-61,4.8300286351317e-72,-4.8300286351192e-72,1.2991778622119e-61,1.2991778622143e-61,3.7201730895579e-51,3.7201730895556e-51,1.2922825274711e-51,2.4055234655889e-56,6.5613253641257e-56,-6.8742601892376e-16,0,360.31469625632,100000000,-1.7195427960371e-33,-0.00044497721916868,0.00071624343632525,29.543862886794,9.1558931684721e-08,77.305914977634,67.565738082126
0.8165,-2.7310364866149e-96,-9.10345495537e-97,2.631007190548e-72,1.9674191943907e-66,1.7322297128193,0,1.9141900491731e-67,4.9683044449074e-47,5.6593060617597e-69,-1.4672971578979e-48,-3.9626470229762e-69,3.9626470229906e-69,3.08220512433e-48,3.0822051243328e-48,-1.0829379601173e-58,-1.0829379601164e-58,3.9626470229864e-69,-3.9626470229804e-69,1.0829379601171e-58,1.0829379601166e-58,3.0822051243331e-48,3.0822051243297e-48,1.0749228026772e-48,2.0761481686669e-53,4.9683044449074e-53,-8.8256627632775e-17,0,360.31469625632,100000000,-1.9440570602077e-33,-0.00050720151549604,0.00081616684510249,33.667634774322,1.0440068903151e-07,88.113985503027,77.012950712103
