time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0.0165,-1.6866867068946E-294,-5.622289022982E-295,7.3179792513764E-173,0,1.7320544275189,0,2.6349274391222E-166,6.3131962797057E-146,2.9764820842272E-168,-7.1315495606263E-148,-2.0841332378791E-168,2.0841332384752E-168,1.498053647952E-147,1.498053647952E-147,-5.0124116227013E-158,-5.0124116218124E-158,2.0841332378791E-168,-2.0841332384752E-168,5.0124116227013E-158,5.0124116218124E-158,1.498053647952E-147,1.498053647952E-147,4.99351215984E-148,5.3221901508347E-154,6.3131962797058E-152,4.1412389784282E-22,0,360.31469625632,100000000,-4.8242064156313E-42,-1.0230296879015E-05,1.6499863875603E-05,0.68029634769621,7.0843988242227E-10,,1.5535091676386
0.1165,-1.3420872015773E-184,-4.4736240052576E-185,4.072553087875E-117,1.6525269130268E-112,1.7320763626565,0,2.0768112989979E-111,5.0261248545986E-91,2.9451885080002E-113,-7.1276478795472E-93,-2.0622214713328E-113,2.062221471322E-113,1.4972340606345E-92,1.4972340606345E-92,-5.0408884905097E-103,-5.0408884905261E-103,2.0622214713328E-113,-2.0622214713219E-113,5.0408884905097E-103,5.0408884905261E-103,1.4972340606345E-92,1.4972340606345E-92,4.9937743484315E-93,2.9923226761161E-98,5.0261248545986E-97,5.8040627371658E-20,0,360.31469625632,100000000,-1.9459243827582E-40,-7.2248969130949E-05,0.000116493214388,4.8033622753103,1.4856211759131E-08,,10.971170953436
0.2165,-8.4690773491154E-156,-2.8230257830385E-156,1.8104570945453E-102,7.2145982721653E-99,1.7320982908083,0,4.9679968018736E-97,1.2143946123294E-76,7.6161343904589E-99,-1.8615514418722E-78,-5.3328185363901E-99,5.3328185363396E-99,3.9103758652167E-78,3.9103758652167E-78,-1.3246619455065E-88,-1.3246619455143E-88,5.3328185363902E-99,-5.3328185363396E-99,1.3246619455065E-88,1.3246619455143E-88,3.9103758652167E-78,3.9103758652167E-78,1.3124861891402E-78,1.3438755120093E-83,1.2143946123294E-82,4.7673856170666E-20,0,360.31469625632,100000000,-5.2221864064584E-40,-0.000134296959687,0.00021647656723,8.9265276798626,2.7579437382773E-08,,20.393048280452
0.3165,-1.3808544149444E-138,-4.6028480498147E-139,9.9653626062946E-94,6.6230223584328E-90,1.7321202119799,0,1.8705318564313E-88,4.6183355981576E-68,3.2332409659475E-90,-7.9810710833743E-70,-2.2639158491123E-90,2.2639158491291E-90,1.676504180385E-69,1.676504180385E-69,-5.7140529483185E-80,-5.7140529482922E-80,2.2639158491123E-90,-2.2639158491291E-90,5.7140529483185E-80,5.7140529482922E-80,1.676504180385E-69,1.676504180385E-69,5.6771434182248E-70,7.472959009961E-75,4.6183355981576E-74,7.1574297879118E-19,0,360.31469625632,100000000,-1.2831969224261E-39,-0.000196374269211,0.0003164499244,13.049793019449,4.0351614901008E-08,,29.819143147987
0.4165,-2.9248944430565E-126,-9.7496481435217E-127,1.7762605853377E-87,2.2510983698542E-84,1.7321421261624,0,2.5335654090618E-82,6.3182080358404E-62,4.9570061382923E-84,-1.2357057007613E-63,-3.470896502588E-84,3.4708965025815E-84,2.5957239967046E-63,2.5957239967046E-63,-8.9011078438139E-74,-8.9011078438244E-74,3.4708965025881E-84,-3.4708965025815E-84,8.9011078438139E-74,8.9011078438244E-74,2.5957239967046E-63,2.5957239967046E-63,8.8620288685961E-64,1.3456571445039E-68,6.3182080358404E-68,-1.9704690987029E-20,0,360.31469625632,100000000,-2.0714379427603E-39,-0.000258480923783,0.000416413287897,17.173158751667,5.312883619231E-08,,39.249457557635
0.5165,-1.196383913246E-116,-3.9879463774866E-117,1.3157595534979E-82,6.6609514341736E-79,1.7321640333466,0,1.51335692374E-77,3.8119233194802E-57,3.3278355469128E-79,-8.3777073095788E-59,-2.3301509900753E-79,2.3301509900743E-79,1.7598216053744E-58,1.7598216053744E-58,-6.0715049897178E-69,-6.0715049897196E-69,2.3301509900753E-79,-2.3301509900742E-79,6.0715049897178E-69,6.0715049897196E-69,1.7598216053744E-58,1.7598216053744E-58,6.0496923159363E-59,1.0070060507507E-63,3.8119233194802E-63,-1.9805812253495E-19,0,360.31469625632,100000000,-3.4201269406297E-39,-0.000320616949524,0.000516366659719,21.296625334583,6.5925022689612E-08,,48.683993512793
0.6165,-9.0953141643299E-109,-3.03177138811E-109,1.2849239498836E-78,7.3436017320681E-75,1.7321859335236,0,1.2381526832552E-73,3.1500507028692E-53,3.0315896975483E-75,-7.7072409237297E-55,-2.1227195982618E-75,2.1227195982669E-75,1.6189834037168E-54,1.6189834037168E-54,-5.6196577243629E-65,-5.6196577243546E-65,2.1227195982618E-75,-2.1227195982669E-75,5.6196577243629E-65,5.6196577243546E-65,1.6189834037168E-54,1.6189834037168E-54,5.5973442005118E-55,9.9348275986337E-60,3.1500507028692E-59,7.2596108177198E-20,0,360.31469625632,100000000,-5.3543786153544E-39,-0.000382782372587,0.000616310041863,25.420193226651,7.8729908102795E-08,,58.122753018618
0.7165,-4.3532387346672E-102,-1.4510795782224E-102,3.0796386838168E-75,2.934149462977E-71,1.7322078266842,0,2.5533368536711E-70,6.5613253641257E-50,6.8980684312227E-72,-1.7710045830841E-51,-4.8300286351192E-72,4.8300286351364E-72,3.7201730895576E-51,3.7201730895576E-51,-1.2991778622146E-61,-1.2991778622117E-61,4.8300286351193E-72,-4.8300286351363E-72,1.2991778622146E-61,1.2991778622117E-61,3.7201730895576E-51,3.7201730895575E-51,1.2922825274714E-51,2.4055234655889E-56,6.5613253641257E-56,1.2945905674321E-18,0,360.31469625632,100000000,-7.7118637283564E-39,-0.000444977219168,0.000716243436325,29.543862886794,9.1558931684721E-08,,67.565738082126
0.8165,-2.7310364866148E-96,-9.1034549553828E-97,2.6310071905424E-72,2.0475289828667E-68,1.7322297128193,0,1.9141900491691E-67,4.9683044449127E-47,5.659306061764E-69,-1.4672971578984E-48,-3.9626470229827E-69,3.9626470229835E-69,3.0822051243324E-48,3.0822051243325E-48,-1.0829379601176E-58,-1.0829379601175E-58,3.9626470229828E-69,-3.9626470229835E-69,1.0829379601176E-58,1.0829379601175E-58,3.0822051243325E-48,3.0822051243324E-48,1.0749228026775E-48,2.0761481686692E-53,4.9683044449127E-53,1.014430220706E-18,0,360.31469625632,100000000,-1.026478287483E-38,-0.000507201515495,0.000816166845102,33.667634774322,1.0440068903151E-07,,77.012950712103
0.9165,-3.6126791906024E-91,-1.2042263968675E-91,1.0203354285909E-69,6.2387368875768E-66,1.7322515919199,0,6.6133933715279E-65,1.7337511175527E-44,2.124342167755E-66,-5.5621336216132E-46,-1.4874647306563E-66,1.4874647306544E-66,1.1683820593855E-45,1.1683820593855E-45,-4.130116139645E-56,-4.1301161396482E-56,1.4874647306563E-66,-1.4874647306544E-66,4.130116139645E-56,4.1301161396482E-56,1.1683820593855E-45,1.1683820593855E-45,4.0884453839117E-46,8.1340214263578E-51,1.7337511175527E-50,-1.7031683177399E-18,0,360.31469625632,100000000,-1.1803510356285E-38,-0.000569455287838,0.000916080270189,37.791509348995,1.1726237880762E-07,,86.464392919161
1.0165,-1.395862398839E-86,-4.6528746627968E-87,2.1197764130715E-67,2.3559872504725E-62,1.7322734639768,0,1.238771384939E-62,3.2801400097743E-42,4.2960612468941E-64,-1.1359232831264E-43,-3.0081027823504E-64,3.0081027823495E-64,2.386121001635E-43,2.386121001635E-43,-8.486020611986E-54,-8.4860206119877E-54,3.0081027823504E-64,-3.0081027823494E-64,8.486020611986E-54,8.4860206119877E-54,2.386121001635E-43,2.386121001635E-43,8.3736153007928E-44,1.7071748114892E-48,3.2801400097743E-48,-2.533661878939E-19,0,360.31469625632,100000000,-2.4802465406511E-36,-0.000631738562502,0.001015983713581,41.915487070996,1.3013583885175E-07,,95.920066715745
1.1165,-1.9889472762566E-82,-6.629824254192E-83,2.6558149235333E-65,9.8751852448537E-60,1.732295328981,0,1.4130000910264E-60,3.7790426350404E-40,5.2613896949442E-62,-1.4048833115985E-41,-3.6840259183499E-62,3.6840259183491E-62,2.9510985684052E-41,2.951098568404E-41,-1.0559139653444E-51,-1.0559139653439E-51,3.6840259183468E-62,-3.6840259183522E-62,1.0559139653443E-51,1.055913965344E-51,2.9510985684042E-41,2.9510985684049E-41,1.0382023338116E-41,2.1607817208257E-46,3.7790426350404E-46,-2.9746846977795E-16,0,360.31469625632,100000000,-1.1912217550703E-34,-0.000694051365829,0.001115877177272,46.039568400936,1.4301709691177E-07,,105.37997411611
1.2165,-1.242005065302E-78,-4.140016884339E-79,2.1903921150126E-63,8.5968275101856E-58,1.7323171869233,0,1.0695656980695E-58,2.8892493199809E-38,4.2553604469866E-60,-1.1474588548504E-39,-2.9796040756497E-60,2.9796040756493E-60,2.4103526292153E-39,2.4103526292154E-39,-8.6767606305036E-50,-8.6767606305047E-50,2.9796040756507E-60,-2.9796040756483E-60,8.6767606305021E-50,8.6767606305062E-50,2.4103526292156E-39,2.4103526292151E-39,8.4980357125484E-40,1.8003612924116E-44,2.8892493199809E-44,1.0027068259538E-16,0,360.31469625632,100000000,-4.760566792612E-34,-0.000756393724202,0.001215760663255,50.163753799867,1.5592869904386E-07,,114.84411713631
