time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0.0165,-1.6866867068946E-294,-5.622289022982E-295,7.3179792513764E-173,0,1.7320544275189,0,2.6349274391222E-166,6.3131962797057E-146,2.9764820842273E-168,-7.1315495606263E-148,-2.0841332378791E-168,2.0841332384752E-168,1.498053647952E-147,1.498053647952E-147,-5.0124116227013E-158,-5.0124116218124E-158,2.0841332378791E-168,-2.0841332384752E-168,5.0124116227013E-158,5.0124116218124E-158,1.498053647952E-147,1.498053647952E-147,4.99351215984E-148,5.3221901508347E-154,6.3131962797058E-152,-1.8298351900017E-20,0,360.31469625632,100000000,-2.4501544963923E-42,-1.0230296879015E-05,1.6499863875603E-05,0.68029634769621,7.0843988242227E-10,,1.5535091676386
0.1165,-1.3420872015773E-184,-4.4736240052576E-185,4.072553087875E-117,1.3193671938955E-112,1.7320763626565,0,2.0768112989979E-111,5.0261248545986E-91,2.9451885080003E-113,-7.1276478795472E-93,-2.0622214713328E-113,2.062221471322E-113,1.4972340606345E-92,1.4972340606345E-92,-5.0408884905097E-103,-5.0408884905261E-103,2.0622214713328E-113,-2.062221471322E-113,5.0408884905097E-103,5.0408884905261E-103,1.4972340606345E-92,1.4972340606345E-92,4.9937743484315E-93,2.9923226761162E-98,5.0261248545986E-97,-2.5538858347529E-20,0,360.31469625632,100000000,-1.1977715721085E-40,-7.2248969130949E-05,0.000116493214388,4.8033622753103,1.4856211759131E-08,,10.971170953436
0.2165,-8.469077349051E-156,-2.823025783017E-156,1.8104570945403E-102,1.5102945154655E-98,1.7320982908083,0,4.9679968018599E-97,1.2143946123243E-76,7.6161343904457E-99,-1.8615514418658E-78,-5.3328185363025E-99,5.3328185363304E-99,3.9103758652031E-78,3.9103758652031E-78,-1.3246619455126E-88,-1.3246619455083E-88,5.3328185363026E-99,-5.3328185363303E-99,1.3246619455126E-88,1.3246619455083E-88,3.9103758652031E-78,3.9103758652031E-78,1.3124861891357E-78,1.3438755120037E-83,1.2143946123243E-82,-7.559310484047E-21,0,360.31469625632,100000000,-1.0920131949683E-39,-0.000134296959687,0.00021647656723,8.9265276798626,2.7579436494906E-08,,20.393048280452
0.3165,-1.3808544149451E-138,-4.6028480498169E-139,9.9653626062631E-94,7.6048059872825E-90,1.7321202119799,0,1.8705318564254E-88,4.6183355981576E-68,3.233240965941E-90,-7.9810710833781E-70,-2.2639158491243E-90,2.2639158491246E-90,1.6765041803858E-69,1.6765041803858E-69,-5.714052948304E-80,-5.7140529483037E-80,2.2639158491244E-90,-2.2639158491246E-90,5.7140529483041E-80,5.7140529483037E-80,1.6765041803858E-69,1.6765041803858E-69,5.6771434182277E-70,7.4729590099608E-75,4.6183355981576E-74,-1.1776819689817E-19,0,360.31469625632,100000000,-1.6858580632218E-39,-0.000196374269211,0.0003164499244,13.049793019451,4.03540401604E-08,,29.819143147987
0.4165,-2.924894443079E-126,-9.7496481435964E-127,1.7762605853586E-87,1.0968945969103E-83,1.7321421261624,0,2.5335654090922E-82,6.3182080358668E-62,4.9570061383187E-84,-1.2357057007656E-63,-3.4708965026007E-84,3.4708965026E-84,2.5957239967136E-63,2.5957239967136E-63,-8.9011078438438E-74,-8.901107843845E-74,3.4708965026008E-84,-3.4708965025999E-84,8.9011078438438E-74,8.901107843845E-74,2.5957239967136E-63,2.5957239967136E-63,8.8620288686265E-64,1.3456571445095E-68,6.3182080358668E-68,5.6716636892883E-19,0,360.31469625632,100000000,-4.5772385056264E-39,-0.000258480923784,0.000416413287897,17.173158751672,5.3136114341713E-08,,39.249457557633
0.5165,-1.1963839132434E-116,-3.9879463774781E-117,1.3157595534949E-82,5.0660198927342E-79,1.7321640333466,0,1.5133569237365E-77,3.8119233194738E-57,3.3278355468987E-79,-8.3777073095751E-59,-2.3301509900646E-79,2.3301509900644E-79,1.7598216053736E-58,1.7598216053736E-58,-6.0715049897308E-69,-6.0715049897312E-69,2.3301509900646E-79,-2.3301509900644E-79,6.0715049897308E-69,6.0715049897312E-69,1.7598216053736E-58,1.7598216053736E-58,6.049692315934E-59,1.007006050749E-63,3.8119233194738E-63,-2.6652682976662E-20,0,360.31469625632,100000000,-6.073993973716E-39,-0.000320616949524,0.000516366659719,21.296625334583,6.5925022689612E-08,,48.683993512793
0.6165,-9.0953141642939E-109,-3.031771388098E-109,1.2849239498743E-78,1.1104876214765E-74,1.7321859335236,0,1.2381526832461E-73,3.1500507028626E-53,3.0315896975264E-75,-7.7072409237153E-55,-2.1227195982561E-75,2.1227195982516E-75,1.6189834037138E-54,1.6189834037138E-54,-5.6196577243555E-65,-5.6196577243629E-65,2.1227195982561E-75,-2.1227195982515E-75,5.6196577243555E-65,5.6196577243629E-65,1.6189834037138E-54,1.6189834037138E-54,5.5973442005015E-55,9.9348275986129E-60,3.1500507028626E-59,-1.0822831098851E-19,0,360.31469625632,100000000,-9.0106935984416E-39,-0.000382782372587,0.000616310041863,25.420193226649,7.8727480473277E-08,,58.122753018618
0.7165,-4.3532387346512E-102,-1.451079578217E-102,3.0796386837808E-75,2.5257791653323E-71,1.7322078266842,0,2.5533368536412E-70,6.56132536411E-50,6.8980684311659E-72,-1.7710045830818E-51,-4.8300286351085E-72,4.8300286350966E-72,3.7201730895527E-51,3.7201730895527E-51,-1.2991778622136E-61,-1.2991778622156E-61,4.8300286351086E-72,-4.8300286350966E-72,1.2991778622136E-61,1.2991778622156E-61,3.7201730895527E-51,3.7201730895527E-51,1.2922825274698E-51,2.4055234655832E-56,6.56132536411E-56,6.3809534215969E-19,0,360.31469625632,100000000,-1.3003083156814E-38,-0.000444977219168,0.000716243436326,29.543862886794,9.1558917490359E-08,,67.565738082126
0.8165,-2.7310364866089E-96,-9.1034549553628E-97,2.6310071905391E-72,1.2418743250923E-68,1.7322297128193,0,1.9141900491667E-67,4.9683044449074E-47,5.6593060617576E-69,-1.4672971578968E-48,-3.9626470229839E-69,3.962647022979E-69,3.082205124329E-48,3.082205124329E-48,-1.0829379601154E-58,-1.0829379601163E-58,3.962647022984E-69,-3.9626470229789E-69,1.0829379601154E-58,1.0829379601163E-58,3.082205124329E-48,3.082205124329E-48,1.0749228026763E-48,2.0761481686669E-53,4.9683044449074E-53,6.9898183601003E-20,0,360.31469625632,100000000,-1.3754789987047E-38,-0.000507201515496,0.000816166845103,33.667634774322,1.0440068903151E-07,,77.012950712103
