time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0165,-1.6866867068946E-294,-5.622289022982E-295,7.3179792513764E-173,0,1.7320544275189,0,2.6349274391222E-166,6.3131962797057E-146,2.9764820842272E-168,-7.1315495606263E-148,-2.0841332378791E-168,2.0841332384752E-168,1.498053647952E-147,1.498053647952E-147,-5.0124116227012E-158,-5.0124116218124E-158,2.0841332378791E-168,-2.0841332384752E-168,5.0124116227012E-158,5.0124116218124E-158,1.498053647952E-147,1.498053647952E-147,4.99351215984E-148,5.3221901508347E-154,6.3131962797058E-152,-1.2501811466002E-20,0,360.31469625632,100000000,-2.2974338671005E-42,-1.0230296879015E-05,1.6499863875603E-05,0.68029634769621,7.0843988242227E-10,1.7776071802764,1.5535091676386
0.1165,-1.3420872015773E-184,-4.4736240052576E-185,4.0725530878749E-117,1.5248084411946E-112,1.7320763626565,0,2.0768112989979E-111,5.0261248545986E-91,2.9451885080003E-113,-7.1276478795472E-93,-2.0622214713328E-113,2.062221471322E-113,1.4972340606345E-92,1.4972340606345E-92,-5.0408884905097E-103,-5.0408884905261E-103,2.0622214713328E-113,-2.062221471322E-113,5.0408884905097E-103,5.0408884905261E-103,1.4972340606345E-92,1.4972340606345E-92,4.9937743484315E-93,2.9923226761162E-98,5.0261248545986E-97,4.3336868260299E-20,0,360.31469625632,100000000,-1.1340057455345E-40,-7.2248969130949E-05,0.000116493214388,4.8033622753103,1.4856211759131E-08,12.553645257296,10.971170953436
0.2165,-8.469077349051E-156,-2.823025783017E-156,1.8104570945402E-102,7.6578461311681E-99,1.7320982908083,0,4.9679968018598E-97,1.2143946123243E-76,7.6161343904458E-99,-1.8615514418658E-78,-5.3328185363026E-99,5.3328185363303E-99,3.9103758652031E-78,3.9103758652031E-78,-1.3246619455126E-88,-1.3246619455083E-88,5.3328185363026E-99,-5.3328185363303E-99,1.3246619455126E-88,1.3246619455083E-88,3.9103758652031E-78,3.9103758652031E-78,1.3124861891357E-78,1.3438755120037E-83,1.2143946123243E-82,3.1158210368061E-20,0,360.31469625632,100000000,-4.2295973703108E-40,-0.000134296959687,0.00021647656723,8.9265276798626,2.7579436494906E-08,23.334253393849,20.393048280452
0.3165,-1.3808544149451E-138,-4.6028480498168E-139,9.9653626062629E-94,4.0814411719042E-90,1.7321202119799,0,1.8705318564253E-88,4.6183355981576E-68,3.233240965941E-90,-7.9810710833781E-70,-2.2639158491244E-90,2.2639158491246E-90,1.6765041803858E-69,1.6765041803858E-69,-5.7140529483041E-80,-5.7140529483037E-80,2.2639158491244E-90,-2.2639158491246E-90,5.714052948304E-80,5.7140529483037E-80,1.6765041803858E-69,1.6765041803858E-69,5.6771434182277E-70,7.4729590099607E-75,4.6183355981576E-74,1.1030073283738E-19,0,360.31469625632,100000000,-5.5312056998454E-40,-0.000196374269211,0.0003164499244,13.049793019451,4.03540401604E-08,34.11943358857,29.819143147987
0.4165,-2.924894443079E-126,-9.7496481435965E-127,1.7762605853586E-87,1.335624664719E-83,1.7321421261624,0,2.5335654090922E-82,6.3182080358669E-62,4.9570061383187E-84,-1.2357057007656E-63,-3.4708965026007E-84,3.4708965026E-84,2.5957239967136E-63,2.5957239967136E-63,-8.9011078438438E-74,-8.9011078438451E-74,3.4708965026008E-84,-3.4708965025999E-84,8.9011078438437E-74,8.9011078438451E-74,2.5957239967136E-63,2.5957239967136E-63,8.8620288686265E-64,1.3456571445095E-68,6.3182080358669E-68,5.0239994817928E-19,0,360.31469625632,100000000,-3.3799173754413E-39,-0.000258480923784,0.000416413287897,17.173158751672,5.3136114341713E-08,44.90918784129,39.249457557633
0.5165,-1.1963839132434E-116,-3.9879463774781E-117,1.3157595534949E-82,4.5272464393643E-79,1.7321640333466,0,1.5133569237365E-77,3.8119233194738E-57,3.3278355468987E-79,-8.3777073095751E-59,-2.3301509900646E-79,2.3301509900644E-79,1.7598216053736E-58,1.7598216053736E-58,-6.0715049897308E-69,-6.0715049897312E-69,2.3301509900646E-79,-2.3301509900644E-79,6.0715049897308E-69,6.0715049897312E-69,1.7598216053736E-58,1.7598216053736E-58,6.049692315934E-59,1.007006050749E-63,3.8119233194738E-63,-1.0194126939612E-18,0,360.31469625632,100000000,-5.4001754516862E-39,-0.000320616949524,0.000516366659719,21.296625334583,6.5925022689612E-08,55.703518153991,48.683993512793
0.6165,-9.0953141642916E-109,-3.0317713880972E-109,1.2849239498723E-78,9.2077101143177E-75,1.7321859335236,0,1.2381526832443E-73,3.1500507028604E-53,3.0315896975357E-75,-7.7072409237188E-55,-2.1227195982549E-75,2.1227195982581E-75,1.6189834037145E-54,1.6189834037146E-54,-5.6196577243615E-65,-5.6196577243563E-65,2.1227195982549E-75,-2.1227195982581E-75,5.6196577243615E-65,5.6196577243563E-65,1.6189834037146E-54,1.6189834037146E-54,5.5973442005043E-55,9.9348275986059E-60,3.1500507028604E-59,2.1768992917537E-19,0,360.31469625632,100000000,-1.019319123427E-38,-0.000382782372587,0.000616310041863,25.420193226649,7.8727478698694E-08,66.502426530702,58.122753018618
0.7165,-4.3532387346568E-102,-1.4510795782189E-102,3.0796386837959E-75,1.8134962401113E-71,1.7322078266842,0,2.5533368536538E-70,6.5613253641139E-50,6.8980684311925E-72,-1.771004583083E-51,-4.8300286351098E-72,4.8300286351152E-72,3.7201730895554E-51,3.7201730895554E-51,-1.2991778622149E-61,-1.299177862214E-61,4.8300286351099E-72,-4.8300286351152E-72,1.2991778622149E-61,1.299177862214E-61,3.7201730895554E-51,3.7201730895554E-51,1.2922825274707E-51,2.4055234655846E-56,6.5613253641139E-56,-1.1188137526164E-18,0,360.31469625632,100000000,-1.191479590833E-38,-0.000444977219168,0.000716243436325,29.543862886794,9.1558921038949E-08,77.305914977634,67.565738082126
0.8165,-2.731036486612E-96,-9.1034549553733E-97,2.6310071905339E-72,1.8283876362507E-68,1.7322297128193,0,1.9141900491629E-67,4.9683044449101E-47,5.6593060617574E-69,-1.4672971578977E-48,-3.9626470229802E-69,3.9626470229788E-69,3.0822051243309E-48,3.0822051243309E-48,-1.0829379601171E-58,-1.0829379601173E-58,3.9626470229803E-69,-3.9626470229788E-69,1.0829379601171E-58,1.0829379601173E-58,3.0822051243309E-48,3.0822051243309E-48,1.074922802677E-48,2.0761481686681E-53,4.9683044449101E-53,-1.3850860865562E-18,0,360.31469625632,100000000,-1.9030855219793E-38,-0.000507201515495,0.000816166845103,33.667634774322,1.044006872575E-07,88.113985503027,77.012950712103
