time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0165,-1.6866867068946e-294,-5.622289022982e-295,7.3179792513765e-173,0,1.7320544275189,0,2.6349274391222e-166,6.3131962797057e-146,2.9764820842272e-168,-7.1315495606263e-148,-2.0841332378791e-168,2.0841332384752e-168,1.498053647952e-147,1.498053647952e-147,-5.0124116227012e-158,-5.0124116218124e-158,2.0841332378791e-168,-2.0841332384752e-168,5.0124116227012e-158,5.0124116218124e-158,1.498053647952e-147,1.498053647952e-147,4.99351215984e-148,5.3221901508347e-154,6.3131962797058e-152,-2.6571060756572e-20,0,360.31469625632,100000000,-7.3674171321071e-42,-1.0230296879015e-05,1.6499863875603e-05,0.68029634769621,7.0843988242227e-10,1.7776071802764,1.5535091676386
0.1165,-1.3420872015773e-184,-4.4736240052576e-185,4.072553087875e-117,1.3900491526707e-112,1.7320763626565,0,2.0768112989979e-111,5.0261248545986e-91,2.9451885080003e-113,-7.1276478795472e-93,-2.0622214713328e-113,2.062221471322e-113,1.4972340606345e-92,1.4972340606345e-92,-5.0408884905097e-103,-5.0408884905261e-103,2.0622214713328e-113,-2.062221471322e-113,5.0408884905097e-103,5.0408884905261e-103,1.4972340606345e-92,1.4972340606345e-92,4.9937743484315e-93,2.9923226761162e-98,5.0261248545986e-97,6.1680294033298e-20,0,360.31469625632,100000000,-7.8958881874369e-41,-7.2248969130949e-05,0.0001164932143878,4.8033622753103,1.4856211759131e-08,12.553645257296,10.971170953436
0.2165,-8.4690773491154e-156,-2.8230257830385e-156,1.8104570945453e-102,1.1085561825007e-98,1.7320982908083,0,4.9679968018736e-97,1.2143946123294e-76,7.6161343904589e-99,-1.8615514418722e-78,-5.3328185363901e-99,5.3328185363396e-99,3.9103758652167e-78,3.9103758652167e-78,-1.3246619455065e-88,-1.3246619455143e-88,5.3328185363902e-99,-5.3328185363395e-99,1.3246619455065e-88,1.3246619455143e-88,3.9103758652167e-78,3.9103758652167e-78,1.3124861891402e-78,1.3438755120093e-83,1.2143946123294e-82,1.3848638351202e-19,0,360.31469625632,100000000,-4.6391152765355e-40,-0.00013429695968673,0.00021647656722974,8.9265276798626,2.7579437382773e-08,23.334253393849,20.393048280452
0.3165,-1.3808544149444e-138,-4.6028480498146e-139,9.9653626062946e-94,3.7372138208437e-90,1.7321202119799,0,1.8705318564313e-88,4.6183355981576e-68,3.2332409659475e-90,-7.9810710833743e-70,-2.2639158491123e-90,2.2639158491291e-90,1.676504180385e-69,1.676504180385e-69,-5.7140529483185e-80,-5.7140529482922e-80,2.2639158491123e-90,-2.2639158491291e-90,5.7140529483185e-80,5.7140529482922e-80,1.676504180385e-69,1.676504180385e-69,5.6771434182248e-70,7.4729590099609e-75,4.6183355981576e-74,6.2073561779466e-20,0,360.31469625632,100000000,-9.8380408926934e-40,-0.00019637426921051,0.00031644992439996,13.049793019449,4.0351614901008e-08,34.119433588568,29.819143147987
0.4165,-2.9248944430565e-126,-9.7496481435217e-127,1.7762605853377e-87,2.0993889650255e-84,1.7321421261624,0,2.5335654090618e-82,6.3182080358404e-62,4.9570061382924e-84,-1.2357057007613e-63,-3.4708965025881e-84,3.4708965025815e-84,2.5957239967046e-63,2.5957239967046e-63,-8.9011078438139e-74,-8.9011078438243e-74,3.470896502588e-84,-3.4708965025815e-84,8.9011078438139e-74,8.9011078438244e-74,2.5957239967046e-63,2.5957239967046e-63,8.8620288685961e-64,1.3456571445039e-68,6.3182080358404e-68,4.836661041636e-19,0,360.31469625632,100000000,-2.3640049202062e-39,-0.00025848092378349,0.0004164132878969,17.173158751667,5.312883619231e-08,44.909187841285,39.249457557635
0.5165,-1.1963839132479e-116,-3.987946377493e-117,1.315759553501e-82,4.2229790212293e-79,1.7321640333466,0,1.5133569237436e-77,3.8119233194835e-57,3.3278355469079e-79,-8.3777073095852e-59,-2.3301509900729e-79,2.3301509900708e-79,1.7598216053758e-58,1.7598216053758e-58,-6.0715049897292e-69,-6.0715049897326e-69,2.3301509900729e-79,-2.3301509900708e-79,6.0715049897293e-69,6.0715049897326e-69,1.7598216053758e-58,1.7598216053758e-58,6.0496923159409e-59,1.0070060507516e-63,3.8119233194835e-63,8.2566137203336e-19,0,360.31469625632,100000000,-3.6033518624125e-39,-0.000320616949524,0.00051636665971876,21.296625334583,6.5925022689612e-08,55.703518153991,48.683993512793
0.6165,-9.0953141643253e-109,-3.0317713881062e-109,1.2849239498789e-78,1.2001710309947e-72,1.7321859335236,0,1.2381526832508e-73,3.1500507028659e-53,3.0315896975401e-75,-7.7072409237284e-55,-2.1227195982595e-75,2.1227195982664e-75,1.6189834037159e-54,1.6189834037172e-54,-5.6196577243614e-65,-5.6196577243579e-65,2.1227195982648e-75,-2.1227195982611e-75,5.6196577243605e-65,5.6196577243588e-65,1.6189834037174e-54,1.6189834037157e-54,5.5973442005111e-55,9.9348275986232e-60,3.1500507028659e-59,-2.1302111743949e-16,0,360.31469625632,100000000,-4.7273889526381e-35,-0.00038278237258742,0.00061631004186267,25.420193226649,7.8727483135152e-08,66.502426530702,58.122753018618
0.7165,-4.3532387346509e-102,-1.4510795782165e-102,3.0796386837872e-75,2.3496623943577e-69,1.7322078266842,0,2.5533368536467e-70,6.561325364111e-50,6.8980684311762e-72,-1.7710045830809e-51,-4.830028635105e-72,4.8300286351016e-72,3.7201730895515e-51,3.7201730895503e-51,-1.2991778622136e-61,-1.2991778622134e-61,4.8300286351028e-72,-4.8300286351037e-72,1.2991778622132e-61,1.2991778622138e-61,3.7201730895509e-51,3.7201730895509e-51,1.2922825274691e-51,2.4055234655835e-56,6.561325364111e-56,-7.1828792755923e-16,0,360.31469625632,100000000,-6.9388939039072e-18,-0.00044497721916802,0.00071624343632521,29.543862886794,9.1559523855776e-08,77.305914977635,67.565738082126
0.8165,-2.7310364866118e-96,-9.1034549553739e-97,2.6310071905401e-72,1.502589168998e-66,1.7322297128193,0,1.9141900491675e-67,4.9683044449074e-47,5.6593060617716e-69,-1.4672971578986e-48,-3.9626470229882e-69,3.9626470229885e-69,3.0822051243327e-48,3.0822051243327e-48,-1.0829379601168e-58,-1.0829379601167e-58,3.962647022988e-69,-3.9626470229887e-69,1.0829379601168e-58,1.0829379601167e-58,3.0822051243327e-48,3.0822051243328e-48,1.0749228026777e-48,2.0761481686669e-53,4.9683044449074e-53,3.2165042575747e-18,0,360.31469625632,100000000,-6.9388939039072e-18,-0.00050720151549544,0.00081616684510243,33.667634774322,1.0440068903151e-07,88.113985503027,77.012950712103
0.9165,-3.6126791905923e-91,-1.2042263968648e-91,1.0203354285874e-69,4.9781189075939e-64,1.7322515919199,0,6.6133933715053e-65,1.733751117549e-44,2.1243421677569e-66,-5.5621336216129e-46,-1.4874647306561e-66,1.4874647306533e-66,1.1683820593858e-45,1.168382059385e-45,-4.1301161396473e-56,-4.1301161396473e-56,1.4874647306537e-66,-1.4874647306557e-66,4.1301161396467e-56,4.1301161396479e-56,1.1683820593851e-45,1.1683820593857e-45,4.0884453839117e-46,8.1340214263405e-51,1.733751117549e-50,1.058651128651e-17,0,360.31469625632,100000000,-6.9388939039072e-18,-0.00056945528783851,0.00091608027018944,37.791509348995,1.1726237880762e-07,98.926640117273,86.464392919161
1.0165,-1.3958623988369e-86,-4.6528746627925e-87,2.1197764130719e-67,9.8320597442341e-62,1.7322734639768,0,1.2387713849393e-62,3.2801400097725e-42,4.2960612468978e-64,-1.135923283126e-43,-3.0081027823512e-64,3.0081027823479e-64,2.3861210016349e-43,2.3861210016333e-43,-8.4860206119839e-54,-8.4860206119806e-54,3.0081027823471e-64,-3.008102782352e-64,8.486020611982e-54,8.4860206119825e-54,2.3861210016337e-43,2.3861210016346e-43,8.3736153007897e-44,1.7071748114883e-48,3.2801400097725e-48,4.9895334814034e-16,0,360.31469625632,100000000,-1.3877787807814e-17,-0.00063173856250165,0.0010159837135811,41.915487070997,1.3013826047356e-07,109.74388083289,95.920066715745
1.1165,-1.9889472762573e-82,-6.6298242541953e-83,2.6558149235318e-65,7.9481843302761e-60,1.732295328981,0,1.4130000910256e-60,3.7790426350404e-40,5.261389694946e-62,-1.4048833115992e-41,-3.6840259183524e-62,3.6840259183517e-62,2.951098568406e-41,2.9510985684062e-41,-1.0559139653445e-51,-1.0559139653447e-51,3.6840259183506e-62,-3.6840259183535e-62,1.0559139653449e-51,1.0559139653443e-51,2.9510985684054e-41,2.9510985684067e-41,1.0382023338122e-41,2.1607817208257e-46,3.7790426350404e-46,2.8237283603608e-16,0,360.31469625632,100000000,-1.3877787807814e-17,-0.00069405136582903,0.0011158771772721,46.039568400935,1.4301672189167e-07,120.56570966448,105.37997411611
1.2165,-1.2420050652986e-78,-4.1400168843278e-79,2.1903921149992e-63,7.9921233701504e-58,1.7323171869233,0,1.0695656980629e-58,2.8892493199751e-38,4.2553604469779e-60,-1.1474588548497e-39,-2.9796040756437e-60,2.9796040756451e-60,2.4103526292133e-39,2.4103526292142e-39,-8.6767606305024e-50,-8.6767606305051e-50,2.9796040756467e-60,-2.9796040756422e-60,8.6767606305023e-50,8.6767606305053e-50,2.4103526292142e-39,2.4103526292133e-39,8.498035712543e-40,1.8003612924079e-44,2.8892493199751e-44,8.6613115956116e-17,0,360.31469625632,100000000,-5.5511151231258e-17,-0.00075639372420149,0.0012157606632551,50.163753799869,1.559320134001e-07,131.39212862882,114.84411713631
1.3165,-3.875976337197e-75,-1.2919921123997e-75,1.2711918649584e-61,3.8711423391959e-56,1.7323390377946,0,5.7356486439979e-57,1.5649397112628e-36,2.4278437382773e-58,-6.6112302138725e-38,-1.6999765795953e-58,1.6999765795927e-58,1.3887553406379e-37,1.3887553406375e-37,-5.0296068611665e-48,-5.0296068611694e-48,1.6999765795939e-58,-1.6999765795941e-58,5.029606861167e-48,5.0296068611688e-48,1.3887553406374e-37,1.3887553406379e-37,4.9055724562404e-38,1.0555362966995e-42,1.5649397112628e-42,3.3999719931588e-16,0,360.31469625632,100000000,-5.5511151231258e-17,-0.00081876566403732,0.0013156341735245,54.288043729259,1.6886017319894e-07,142.22313974476,124.31249779427
