time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,-4.7571052414476e-206,-1.5857017471492e-206,4.9736924831947e-128,1.1402795905786e-128,1.7320672604262,0,3.9398169520843e-122,9.4953308523723e-102,5.5487796119103e-124,-1.3373079674886e-103,-3.8852563849481e-124,3.8852563848568e-124,2.8091497676638e-103,2.8091497676638e-103,-9.4335925538194e-114,-9.4335925539567e-114,3.8852563849481e-124,-3.8852563848568e-124,9.4335925538194e-114,9.4335925539567e-114,2.8091497676638e-103,2.8091497676638e-103,9.3640162965424e-104,3.6390027079741e-109,9.4953308523723e-108,-1.6040926440706e-20,0,360.31469625632,100000000,-2.5661096875894e-41,-4.6507655308643e-05,7.4997187632053e-05,3.0922778664964,9.5532355502623e-09,8.0810348217729,7.0623297126255
0.175,-1.4539079192501e-165,-4.8463597308337e-166,1.9654040747325e-107,5.9797086933038e-103,1.7320891914721,0,6.672167651269e-102,1.6242148507743e-81,9.8160093519403e-104,-2.3894183764998e-83,-6.8731713413363e-104,6.8731713414206e-104,5.0192134051224e-83,5.0192134051225e-83,-1.6959666012706e-93,-1.6959666012577e-93,6.8731713413364e-104,-6.8731713414205e-104,1.6959666012706e-93,1.6959666012577e-93,5.0192134051224e-83,5.0192134051224e-83,1.6791511658111e-83,1.452729041482e-88,1.6242148507743e-87,1.018650606459e-19,0,360.31469625632,100000000,-3.3604306292252e-40,-0.00010854348614178,0.00017498468926447,7.2154019322969,2.2296040171506e-08,18.859746140897,16.482457347576
0.275,-6.2446638596712e-145,-2.0815546198904e-145,5.9994378257563e-97,1.1230507580416e-92,1.7321111155416,0,1.296061956251e-91,3.1867230745165e-71,2.1277272413289e-93,-5.2307445996097e-73,-1.4898349597117e-93,1.4898349597203e-93,1.0987704652875e-72,1.0987704652875e-72,-3.7354830235206e-83,-3.7354830235074e-83,1.4898349597117e-93,-1.4898349597202e-93,3.7354830235206e-83,3.7354830235074e-83,1.0987704652875e-72,1.0987704652875e-72,3.7070750029102e-73,4.479940006924e-78,3.1867230745165e-77,-6.5646727462877e-19,0,360.31469625632,100000000,-8.227634692287e-40,-0.00017060862512998,0.00027496219439594,11.338625743317,3.504766591151e-08,29.643028688836,25.906801692928
0.375,-5.8003670278041e-131,-1.9334556759347e-131,7.3354548127576e-90,5.0388432366396e-86,1.7321330326257,0,1.1620863901664e-84,2.8860149632181e-64,2.1608886279231e-86,-5.3648263734962e-66,-1.5130545679985e-86,1.5130545679958e-86,1.1269356892388e-65,1.1269356892388e-65,-3.8546699953177e-76,-3.854669995322e-76,1.5130545679985e-86,-1.5130545679958e-86,3.8546699953177e-76,3.854669995322e-76,1.1269356892388e-65,1.1269356892388e-65,3.8350050368504e-66,5.5337192201376e-71,2.8860149632181e-70,-4.9457568485508e-19,0,360.31469625632,100000000,-2.7858840720588e-39,-0.00023270309833911,0.00037492970502486,15.461949757014,4.7814861670569e-08,40.430884464594,35.335364749527
0.475,-2.1920544377077e-120,-7.3068481256924e-121,1.6840811520887e-84,1.9152270985433e-80,1.7321549427153,0,2.1062346983962e-79,5.2833343315091e-59,4.4172237776127e-81,-1.1074956160947e-60,-3.0929408060135e-81,3.092940806024e-81,2.3264058304263e-60,2.3264058304263e-60,-8.0060267745979e-71,-8.0060267745812e-71,3.0929408060135e-81,-3.0929408060239e-81,8.0060267745979e-71,8.0060267745811e-71,2.3264058304263e-60,2.3264058304263e-60,7.9758453956608e-61,1.2834562754909e-65,5.2833343315091e-65,5.6994933981171e-19,0,360.31469625632,100000000,-4.4091073315224e-39,-0.00029482693187208,0.00047488722314945,19.585374431262,6.0606262333737e-08,51.223315469253,44.768148519991
0.575,-7.2096981000475e-112,-2.4032327000158e-112,3.4624381107725e-80,2.7952564270814e-76,1.7321768458013,0,3.5772248326007e-75,9.0633405985589e-55,8.3862704716372e-77,-2.1233791705754e-56,-5.8720679453809e-77,5.8720679453779e-77,4.4603713196189e-56,4.4603713196189e-56,-1.5443410813715e-66,-1.544341081372e-66,5.8720679453809e-77,-5.8720679453779e-77,1.5443410813715e-66,1.544341081372e-66,4.4603713196189e-56,4.4603713196189e-56,1.5386506898827e-56,2.6658003980736e-61,9.0633405985589e-61,-7.3490215642446e-19,0,360.31469625632,100000000,-5.6994424968521e-39,-0.00035698015186891,0.00057483475076718,23.708900224361,7.3422022977401e-08,62.020323706013,54.205155008767
0.675,-9.743079913914e-105,-3.247693304638e-105,1.40588132354e-76,7.2280425558312e-73,1.7321987418748,0,1.2372903899927e-71,3.1663141615665e-51,3.2123150504962e-73,-8.2137415945557e-53,-2.2492635197281e-73,2.2492635197337e-73,1.7253789592929e-52,1.7253789592929e-52,-6.0102893612769e-63,-6.0102893612676e-63,2.2492635197281e-73,-2.2492635197337e-73,6.0102893612769e-63,6.0102893612675e-63,1.7253789592929e-52,1.7253789592929e-52,5.9823411374542e-53,1.0935065148366e-57,3.1663141615665e-57,1.1443811042203e-18,0,360.31469625632,100000000,-7.3606298193455e-39,-0.00041916278450795,0.00067477228987503,27.832527595018,8.6239834478728e-08,72.821911180138,63.646386222092
0.775,-1.3255511127595e-98,-4.4185037091983e-99,1.7791302405097e-73,1.0041759369479e-69,1.7322206309266,0,1.3637270749161e-68,3.5249234680017e-48,3.8874032762391e-70,-1.0037962314344e-49,-2.7219604049711e-70,2.7219604049695e-70,2.108574852516e-49,2.108574852516e-49,-7.3898741341966e-60,-7.3898741341994e-60,2.7219604049712e-70,-2.7219604049694e-70,7.3898741341966e-60,7.3898741341994e-60,2.108574852516e-49,2.108574852516e-49,7.3421960890815e-50,1.3979998232331e-54,3.5249234680017e-54,2.9856187117067e-19,0,360.31469625632,100000000,-9.7768075013736e-39,-0.00048137485600423,0.00077469984246936,31.956257002384,9.9057756732763e-08,83.628079899038,73.091844168027
0.875,-3.1935443575483e-93,-1.0645147858494e-93,9.3523377810252e-71,7.2681009796981e-67,1.7322425129476,0,6.3493345585621e-66,1.6576386822487e-45,1.9721211615729e-67,-5.1425894486645e-47,-1.3808795574219e-67,1.3808795574194e-67,1.0802525899876e-46,1.0802525899876e-46,-3.8089842144633e-57,-3.8089842144676e-57,1.3808795574219e-67,-1.3808795574194e-67,3.8089842144633e-57,3.8089842144676e-57,1.0802525899876e-46,1.0802525899876e-46,3.7750439586616e-47,7.4241335935424e-52,1.6576386822487e-51,2.7588564244449e-18,0,360.31469625632,100000000,-1.4732014930475e-38,-0.0005436163926097,0.00087461741054565,36.080088906064,1.1191873257302e-07,94.438831872251,82.541530856422
