time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,-4.2073695031277e-202,-1.4024565010426e-202,4.677490105959e-126,5.3128523419165e-121,1.7320672604262,0,3.7051858101261e-120,8.9298476463607e-100,5.2183286004419e-122,-1.2576661721012e-101,-3.6538745330784e-122,3.6538745329926e-122,2.6418541734941e-101,2.6418541734941e-101,-8.8717860992073e-112,-8.8717860993365e-112,3.6538745330784e-122,-3.6538745329926e-122,8.8717860992073e-112,8.8717860993365e-112,2.6418541734941e-101,2.6418541734941e-101,8.8063533736975e-102,3.4222862027798e-107,8.9298476463607e-106,-1.4955565318595e-21,0,329.01469625632,100000000,-3.8867255325825e-41,-4.6507655308643e-05,7.4997187632053e-05,3.0922778664964,9.5532355502623e-09,8.0810348217729,7.0623297126255
0.175,-1.2858928969054e-161,-4.2863096563513e-162,1.8483567580495e-105,8.8537970703195e-102,1.7320891914721,0,6.2748145928926e-100,1.5274866550593e-79,9.2314285169096e-102,-2.247119389234e-81,-6.463847745772e-102,6.4638477458514e-102,4.7203000831843e-81,4.7203000831843e-81,-1.5949653148609e-91,-1.5949653148488e-91,6.463847745772e-102,-6.4638477458513e-102,1.5949653148609e-91,1.5949653148488e-91,4.7203000831843e-81,4.7203000831843e-81,1.5791513027854e-81,1.3662134804536e-86,1.5274866550593e-85,-1.13261188742e-19,0,329.01469625632,100000000,-2.4505065384886e-40,-0.00010854348614178,0.00017498468926447,7.2154019322969,2.2296040171506e-08,18.859746140897,16.482457347576
0.275,-5.5230243912933e-141,-1.8410081304311e-141,5.6421483970128e-95,3.6122897689462e-91,1.7321111155416,0,1.2188765183126e-89,2.9969415483258e-69,2.0010129603153e-91,-4.9192337874008e-71,-1.4011095995801e-91,1.4011095995881e-91,1.033334488907e-70,1.033334488907e-70,-3.5130207471678e-81,-3.5130207471553e-81,1.4011095995801e-91,-1.4011095995881e-91,3.5130207471678e-81,3.5130207471553e-81,1.033334488907e-70,1.033334488907e-70,3.4863045326483e-71,4.2131424748273e-76,2.9969415483258e-75,-1.4785759877154e-20,0,329.01469625632,100000000,-8.7152658584917e-40,-0.00017060862512998,0.00027496219439594,11.338625743317,3.504766591151e-08,29.643028688836,25.906801692928
0.375,-5.1300709362275e-127,-1.7100236454092e-127,6.8986004714437e-88,6.4359194213663e-84,1.7321330326257,0,1.0928797087152e-82,2.7141417531772e-62,2.0321994597244e-84,-5.0453304797189e-64,-1.4229463915387e-84,1.4229463915361e-84,1.0598223662351e-63,1.0598223662351e-63,-3.6251096797313e-74,-3.6251096797353e-74,1.4229463915387e-84,-1.4229463915361e-84,3.6251096797313e-74,3.6251096797353e-74,1.0598223662352e-63,1.0598223662351e-63,3.6066158446218e-64,5.2041651125007e-69,2.7141417531772e-68,3.4827645617037e-19,0,329.01469625632,100000000,-2.3227250739537e-39,-0.00023270309833911,0.00037492970502486,15.461949757014,4.7814861670569e-08,40.430884464594,35.335364749527
0.475,-1.9387384811352e-116,-6.462461603784e-117,1.5837876895572e-82,9.5661919758684e-79,1.7321549427153,0,1.980800380374e-77,4.9686915999749e-57,4.1541612364259e-79,-1.0415400236701e-58,-2.9087443719786e-79,2.9087443719884e-79,2.1878594808643e-58,2.1878594808643e-58,-7.5292373126679e-69,-7.5292373126521e-69,2.9087443719786e-79,-2.9087443719884e-79,7.5292373126679e-69,7.5292373126521e-69,2.1878594808643e-58,2.1878594808643e-58,7.5008533500822e-59,1.207021553971e-63,4.9686915999749e-63,-2.1017830400185e-19,0,329.01469625632,100000000,-2.4170064021756e-39,-0.00029482693187208,0.00047488722314945,19.585374431262,6.0606262333737e-08,51.223315469253,44.768148519991
0.575,-6.3765383302126e-108,-2.1255127767375e-108,3.2562367014897e-78,4.6514706937825e-74,1.7321768458013,0,3.3641874357701e-73,8.5235840615335e-53,7.8868360457893e-75,-1.996923833778e-54,-5.522363879322e-75,5.5223638793383e-75,4.1947391775691e-54,4.1947391775691e-54,-1.4523696735889e-64,-1.4523696735862e-64,5.5223638793221e-75,-5.5223638793382e-75,1.4523696735889e-64,1.4523696735863e-64,4.1947391775691e-54,4.1947391775691e-54,1.4470181666391e-54,2.5070418061818e-59,8.5235840615335e-59,-1.009147561924e-18,0,329.01469625632,100000000,-7.3764123891001e-39,-0.0003569801518688,0.00057483475076723,23.708900224354,7.3409909746343e-08,62.020323706005,54.205155008771
0.675,-8.6171600618553e-101,-2.8723866872851e-101,1.3221557229909e-74,1.0739136587782e-70,1.7321987418748,0,1.1636050232257e-69,2.9777480640779e-49,3.0210094244361e-71,-7.724581922056e-51,-2.115311289312e-71,2.1153112893165e-71,1.6226260546696e-50,1.6226260546696e-50,-5.6523536821731e-61,-5.6523536821657e-61,2.115311289312e-71,-2.1153112893164e-71,5.6523536821731e-61,5.6523536821657e-61,1.6226260546696e-50,1.6226260546696e-50,5.6260698817914e-51,1.0283840268081e-55,2.9777480640779e-55,1.5324175835685e-18,0,329.01469625632,100000000,-1.3522042555172e-38,-0.00041916278450784,0.00067477228987502,27.832527595015,8.6234995649888e-08,72.821911180134,63.646386222094
0.775,-1.1723691286175e-94,-3.9078970953916e-95,1.6731762418536e-71,1.3311160271896e-67,1.7322206309266,0,1.2825119208074e-66,3.3150008171056e-46,3.6558935688018e-68,-9.4401633329764e-48,-2.559857270246e-68,2.5598572702466e-68,1.983001169382e-47,1.983001169382e-47,-6.9497789145165e-58,-6.9497789145155e-58,2.559857270246e-68,-2.5598572702465e-68,6.9497789145165e-58,6.9497789145155e-58,1.983001169382e-47,1.983001169382e-47,6.9049402790273e-48,1.3147435961093e-52,3.3150008171056e-52,-2.5099099952948e-19,0,329.01469625632,100000000,-1.6431069794655e-38,-0.00048137485600426,0.00077469984246884,31.956257002396,9.9077116006622e-08,83.62807989905,73.091844168022
0.875,-2.8244952455079e-89,-9.4149841516928e-90,8.7953703584185e-69,6.6741952679188e-65,1.7322425129476,0,5.9712074434872e-64,1.5589199697567e-43,1.8546738167253e-65,-4.8363286122767e-45,-1.2986429074912e-65,1.2986429074948e-65,1.0159194237836e-44,1.0159194237836e-44,-3.5821446615649e-55,-3.5821446615588e-55,1.2986429074913e-65,-1.2986429074948e-65,3.5821446615649e-55,3.5821446615588e-55,1.0159194237836e-44,1.0159194237836e-44,3.5502256775754e-45,6.9819980922583e-50,1.5589199697567e-49,4.591690777041e-19,0,329.01469625632,100000000,-2.6326460335985e-38,-0.00054361639260958,0.00087461741054513,36.08008890607,1.1192842483115e-07,94.438831872257,82.541530856419
