time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0165,-1.6866867068946e-294,-5.622289022982e-295,7.3179792503218e-173,0,1.7320544275189,0,2.6349274387454e-166,6.3131962797058e-146,2.9764820838016e-168,-7.1315495606263e-148,-2.0841332381772e-168,2.0841332381772e-168,1.498053647952e-147,1.498053647952e-147,-5.0124116222568e-158,-5.0124116222568e-158,2.0841332381772e-168,-2.0841332381772e-168,5.0124116222568e-158,5.0124116222568e-158,1.498053647952e-147,1.498053647952e-147,4.99351215984e-148,5.3221901508513e-154,6.3131962797058e-152,2.6140679414133e-247,0,360.31469625632,100000000,1.2414466245822e-53,-1.0230296879348e-05,1.6499863875104e-05,0.68029634770525,7.1747399753185e-10,1.777607180291,1.5535091676438
0.1165,-1.3420872015662e-184,-4.4736240052208e-185,4.0725530878494e-117,1.997459665129e-125,1.7320763626565,0,2.0768112989817e-111,5.0261248545785e-91,2.9451885079754e-113,-7.1276478795171e-93,-2.0622214713045e-113,2.0622214713045e-113,1.4972340606282e-92,1.4972340606282e-92,-5.0408884905179e-103,-5.0408884905179e-103,2.0622214713045e-113,-2.0622214713045e-113,5.0408884905179e-103,5.0408884905179e-103,1.4972340606282e-92,1.4972340606282e-92,4.9937743484103e-93,2.9923226761057e-98,5.0261248545785e-97,-1.4031413869675e-123,0,360.31469625632,100000000,-3.0494624557732e-42,-7.2248969131004e-05,0.00011649321438765,4.8033622752998,1.4839218118477e-08,12.553645257285,10.971170953441
0.2165,-8.4690773491187e-156,-2.8230257830396e-156,1.8104570945548e-102,1.4030384121398e-114,1.7320982908083,0,4.9679968018994e-97,1.2143946123294e-76,7.6161343905021e-99,-1.8615514418729e-78,-5.3328185363697e-99,5.3328185363697e-99,3.9103758652182e-78,3.9103758652182e-78,-1.3246619455105e-88,-1.3246619455105e-88,5.3328185363697e-99,-5.3328185363697e-99,1.3246619455105e-88,1.3246619455105e-88,3.9103758652182e-78,3.9103758652182e-78,1.3124861891408e-78,1.3438755120093e-83,1.2143946123294e-82,3.3490186923703e-113,0,360.31469625632,100000000,4.3020269932655e-46,-0.00013429695968709,0.00021647656722957,8.9265276798626,2.7579437382773e-08,23.334253393849,20.393048280452
0.3165,-1.3808544149429e-138,-4.6028480498098e-139,9.9653626062549e-94,1.0069338516203e-107,1.7321202119799,0,1.8705318564237e-88,4.6183355981576e-68,3.233240965926e-90,-7.9810710833659e-70,-2.263915849114e-90,2.263915849114e-90,1.6765041803833e-69,1.6765041803833e-69,-5.7140529483061e-80,-5.7140529483061e-80,2.263915849114e-90,-2.263915849114e-90,5.7140529483061e-80,5.7140529483061e-80,1.6765041803833e-69,1.6765041803833e-69,5.6771434182185e-70,7.4729590099609e-75,4.6183355981576e-74,3.3490186923703e-113,0,360.31469625632,100000000,-2.8696708217695e-42,-0.00019637426921076,0.00031644992439964,13.049793019449,4.0351614901008e-08,34.119433588568,29.819143147987
0.4165,-2.9248944430535e-126,-9.7496481435115e-127,1.77626058534e-87,3.1625816627074e-98,1.7321421261624,0,2.5335654090651e-82,6.3182080358404e-62,4.9570061382834e-84,-1.23570570076e-63,-3.4708965025752e-84,3.4708965025752e-84,2.5957239967019e-63,2.5957239967019e-63,-8.9011078438191e-74,-8.9011078438191e-74,3.4708965025752e-84,-3.4708965025752e-84,8.9011078438191e-74,8.9011078438191e-74,2.5957239967019e-63,2.5957239967019e-63,8.8620288685863e-64,1.3456571445039e-68,6.3182080358404e-68,2.0055153393339e-96,0,360.31469625632,100000000,1.5205872515705e-45,-0.0002584809237838,0.00041641328789706,17.173158751667,5.312883619231e-08,44.909187841285,39.249457557635
0.5165,-1.1963839132411e-116,-3.9879463774705e-117,1.3157595534935e-82,1.1345349040787e-92,1.7321640333466,0,1.513356923735e-77,3.8119233194738e-57,3.3278355468964e-79,-8.3777073095591e-59,-2.3301509900628e-79,2.3301509900628e-79,1.7598216053703e-58,1.7598216053703e-58,-6.0715049897149e-69,-6.071504989715e-69,2.3301509900628e-79,-2.3301509900628e-79,6.0715049897149e-69,6.071504989715e-69,1.7598216053703e-58,1.7598216053703e-58,6.0496923159219e-59,1.007006050749e-63,3.8119233194738e-63,2.0055153393339e-96,0,360.31469625632,100000000,1.5205872515705e-45,-0.00032061694952439,0.00051636665971893,21.296625334583,6.5925022689612e-08,55.703518153991,48.683993512793
0.6165,-9.0953141642556e-109,-3.0317713880852e-109,1.2849239498634e-78,1.1760061994269e-85,1.7321859335236,0,1.2381526832356e-73,3.1500507028515e-53,3.031589697513e-75,-7.70724092371e-55,-2.1227195982422e-75,2.1227195982422e-75,1.6189834037127e-54,1.6189834037127e-54,-5.6196577243719e-65,-5.619657724372e-65,2.1227195982422e-75,-2.1227195982422e-75,5.619657724372e-65,5.619657724372e-65,1.6189834037127e-54,1.6189834037127e-54,5.5973442004983e-55,9.934827598578e-60,3.1500507028515e-59,-1.0355500737731e-83,0,360.31469625632,100000000,-4.5934714855011e-41,-0.00038278237258781,0.0006163100418629,25.420193226649,7.8727471600362e-08,66.502426530702,58.122753018618
0.7165,-4.3532387346539e-102,-1.451079578218e-102,3.0796386837874e-75,9.3711128263323e-73,1.7322078266842,0,2.5533368536467e-70,6.56132536411e-50,6.8980684311784e-72,-1.7710045830829e-51,-4.8300286351053e-72,4.8300286351053e-72,3.7201730895551e-51,3.7201730895551e-51,-1.2991778622155e-61,-1.2991778622155e-61,4.8300286351053e-72,-4.8300286351053e-72,1.2991778622155e-61,1.2991778622155e-61,3.7201730895551e-51,3.7201730895551e-51,1.2922825274707e-51,2.4055234655832e-56,6.56132536411e-56,-1.2966481520476e-80,0,360.31469625632,100000000,4.9391480747429e-45,-0.00044497721916841,0.00071624343632542,29.543862886794,9.1558917490359e-08,77.305914977634,67.565738082126
0.8165,-2.7310364865981e-96,-9.1034549553269e-97,2.6310071905121e-72,9.3711127445293e-73,1.7322297128193,0,1.9141900491467e-67,4.9683044448866e-47,5.659306061751e-69,-1.4672971578971e-48,-3.9626470229743e-69,3.9626470229743e-69,3.0822051243297e-48,3.0822051243297e-48,-1.0829379601175e-58,-1.0829379601175e-58,3.9626470229743e-69,-3.9626470229743e-69,1.0829379601175e-58,1.0829379601175e-58,3.0822051243297e-48,3.0822051243297e-48,1.0749228026768e-48,2.0761481686584e-53,4.9683044448866e-53,7.9884103385301e-79,0,360.31469625632,100000000,1.2207425798064e-44,-0.00050720151549629,0.00081616684510191,33.66763477431,1.043813168683e-07,88.113985503015,77.012950712109
