time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,-4.2073695031277e-202,-1.4024565010426e-202,4.6774901059591e-126,6.1080470012326e-121,1.7320672604262,0,3.7051858101262e-120,8.9298476463607e-100,5.2183286004419e-122,-1.2576661721012e-101,-3.6538745330784e-122,3.6538745329927e-122,2.6418541734941e-101,2.6418541734941e-101,-8.8717860992073e-112,-8.8717860993365e-112,3.6538745330784e-122,-3.6538745329926e-122,8.8717860992074e-112,8.8717860993365e-112,2.6418541734941e-101,2.6418541734941e-101,8.8063533736975e-102,3.4222862027798e-107,8.9298476463607e-106,-1.7037305130102e-19,0,329.01469625632,100000000,-8.9853224297124e-41,-4.6507655308643e-05,7.4997187632053e-05,3.0922778664964,9.5532355502623e-09,8.0810348217729,7.0623297126255
0.175,-1.2858928969054e-161,-4.2863096563513e-162,1.8483567580495e-105,3.1057978032284e-101,1.7320891914721,0,6.2748145928926e-100,1.5274866550593e-79,9.2314285169095e-102,-2.247119389234e-81,-6.463847745772e-102,6.4638477458513e-102,4.7203000831843e-81,4.7203000831843e-81,-1.5949653148609e-91,-1.5949653148488e-91,6.4638477457721e-102,-6.4638477458513e-102,1.5949653148609e-91,1.5949653148488e-91,4.7203000831843e-81,4.7203000831843e-81,1.5791513027855e-81,1.3662134804536e-86,1.5274866550593e-85,4.4294293736697e-20,0,329.01469625632,100000000,-2.8397437678948e-40,-0.00010854348614178,0.00017498468926447,7.2154019322969,2.2296040171506e-08,18.859746140897,16.482457347576
0.275,-5.5230243912933e-141,-1.8410081304311e-141,5.6421483970129e-95,1.5472462616413e-91,1.7321111155416,0,1.2188765183126e-89,2.9969415483258e-69,2.0010129603153e-91,-4.9192337874008e-71,-1.4011095995801e-91,1.4011095995881e-91,1.033334488907e-70,1.033334488907e-70,-3.5130207471678e-81,-3.5130207471553e-81,1.4011095995801e-91,-1.4011095995881e-91,3.5130207471678e-81,3.5130207471553e-81,1.033334488907e-70,1.033334488907e-70,3.4863045326483e-71,4.2131424748273e-76,2.9969415483258e-75,1.1246738888197e-19,0,329.01469625632,100000000,-5.0946804193215e-40,-0.00017060862512998,0.00027496219439594,11.338625743317,3.504766591151e-08,29.643028688836,25.906801692928
0.375,-5.1300709362803e-127,-1.7100236454268e-127,6.8986004715614e-88,2.4367701358825e-84,1.7321330326257,0,1.0928797087341e-82,2.714141753193e-62,2.0321994597509e-84,-5.0453304797414e-64,-1.4229463915534e-84,1.4229463915547e-84,1.0598223662399e-63,1.0598223662399e-63,-3.6251096797343e-74,-3.6251096797323e-74,1.4229463915534e-84,-1.4229463915547e-84,3.6251096797343e-74,3.6251096797323e-74,1.0598223662399e-63,1.0598223662399e-63,3.6066158446376e-64,5.2041651125307e-69,2.714141753193e-68,-1.4854336526227e-19,0,329.01469625632,100000000,-2.1869942206758e-39,-0.00023270309833903,0.00037492970502504,15.461949757019,4.782214563536e-08,40.430884464599,35.335364749524
0.475,-1.9387384811377e-116,-6.4624616037923e-117,1.5837876895448e-82,1.1954786900619e-78,1.7321549427153,0,1.9808003803588e-77,4.968691599975e-57,4.1541612364045e-79,-1.0415400236714e-58,-2.9087443719747e-79,2.9087443719735e-79,2.187859480867e-58,2.187859480867e-58,-7.5292373126896e-69,-7.5292373126915e-69,2.9087443719747e-79,-2.9087443719735e-79,7.5292373126896e-69,7.5292373126915e-69,2.187859480867e-58,2.187859480867e-58,7.5008533500922e-59,1.207021553971e-63,4.968691599975e-63,-6.710183366855e-19,0,329.01469625632,100000000,-3.9705441456331e-39,-0.00029482693187191,0.00047488722314983,19.585374431262,6.0606258783757e-08,51.223315469253,44.768148519991
0.575,-6.3765383303264e-108,-2.1255127767755e-108,3.256236701529e-78,3.2179505877276e-74,1.7321768458013,0,3.3641874358107e-73,8.5235840616302e-53,7.8868360458325e-75,-1.996923833791e-54,-5.5223638793635e-75,5.5223638793685e-75,4.1947391775964e-54,4.1947391775964e-54,-1.4523696735974e-64,-1.4523696735966e-64,5.5223638793635e-75,-5.5223638793685e-75,1.4523696735974e-64,1.4523696735966e-64,4.1947391775964e-54,4.1947391775964e-54,1.4470181666482e-54,2.5070418062103e-59,8.5235840616302e-59,-3.8839386909069e-19,0,329.01469625632,100000000,-7.8980486663768e-39,-0.00035698015186886,0.00057483475076762,23.708900224352,7.3407511236084e-08,62.020323706004,54.205155008771
0.675,-8.617160061864e-101,-2.8723866872892e-101,1.3221557229867e-74,4.8198140467704e-69,1.7321987418748,0,1.163605023222e-69,2.9777480640828e-49,3.0210094244218e-71,-7.7245819220545e-51,-2.1153112893073e-71,2.1153112893068e-71,1.622626054669e-50,1.6226260546697e-50,-5.6523536821771e-61,-5.652353682182e-61,2.1153112893076e-71,-2.1153112893065e-71,5.6523536821807e-61,5.6523536821784e-61,1.622626054669e-50,1.6226260546696e-50,5.6260698817899e-51,1.0283840268098e-55,2.9777480640828e-55,4.310765302873e-17,0,329.01469625632,100000000,-7.3210378448066e-35,-0.00041916278450797,0.00067477228987548,27.832527595016,8.6236811319712e-08,72.821911180136,63.646386222093
0.775,-1.172369128617e-94,-3.9078970953928e-95,1.6731762418571e-71,7.447560227875e-66,1.7322206309266,0,1.2825119208099e-66,3.3150008171088e-46,3.6558935687974e-68,-9.44016333297e-48,-2.5598572702437e-68,2.5598572702401e-68,1.9830011693812e-47,1.9830011693802e-47,-6.9497789145157e-58,-6.9497789145158e-58,2.5598572702404e-68,-2.5598572702434e-68,6.9497789145153e-58,6.9497789145162e-58,1.9830011693802e-47,1.9830011693812e-47,6.9049402790222e-48,1.3147435961106e-52,3.3150008171088e-52,1.3779071066992e-16,0,329.01469625632,100000000,-4.8378011567348e-34,-0.00048137485600447,0.00077469984246955,31.956257002392,9.9071066233541e-08,83.628079899046,73.091844168023
0.875,-2.8244952455093e-89,-9.4149841516811e-90,8.7953703583919e-69,6.7619728481343e-63,1.7322425129476,0,5.9712074434691e-64,1.558919969755e-43,1.8546738167186e-65,-4.836328612276e-45,-1.2986429074929e-65,1.2986429074933e-65,1.0159194237832e-44,1.0159194237837e-44,-3.5821446615596e-55,-3.5821446615621e-55,1.2986429074961e-65,-1.2986429074901e-65,3.5821446615572e-55,3.5821446615645e-55,1.0159194237841e-44,1.0159194237828e-44,3.550225677575e-45,6.9819980922506e-50,1.558919969755e-49,3.6255808807013e-16,0,329.01469625632,100000000,-5.4366144175392e-34,-0.00054361639261017,0.00087461741054561,36.08008890607,1.1192841241428e-07,94.438831872257,82.541530856419
