time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0165,-1.6866867068946e-294,-5.622289022982e-295,7.3179792513764e-173,0,1.7320544275189,0,2.6349274391222e-166,6.3131962797057e-146,2.9764820842272e-168,-7.1315495606263e-148,-2.0841332378791e-168,2.0841332384752e-168,1.498053647952e-147,1.498053647952e-147,-5.0124116227012e-158,-5.0124116218124e-158,2.0841332378791e-168,-2.0841332384752e-168,5.0124116227012e-158,5.0124116218124e-158,1.498053647952e-147,1.498053647952e-147,4.99351215984e-148,5.3221901508347e-154,6.3131962797058e-152,-8.7009382604225e-21,0,360.31469625632,100000000,-3.5737818296673e-42,-1.0230296879015e-05,1.6499863875603e-05,0.68029634769621,7.0843988242227e-10,1.7776071802764,1.5535091676386
0.1165,-1.3420872015773e-184,-4.4736240052576e-185,4.072553087875e-117,1.2851753444629e-112,1.7320763626565,0,2.0768112989979e-111,5.0261248545986e-91,2.9451885080003e-113,-7.1276478795472e-93,-2.0622214713328e-113,2.062221471322e-113,1.4972340606345e-92,1.4972340606345e-92,-5.0408884905097e-103,-5.0408884905261e-103,2.0622214713328e-113,-2.062221471322e-113,5.0408884905097e-103,5.0408884905261e-103,1.4972340606345e-92,1.4972340606345e-92,4.9937743484315e-93,2.9923226761162e-98,5.0261248545986e-97,-4.5028037394262e-21,0,360.31469625632,100000000,-1.1902117812318e-40,-7.2248969130949e-05,0.0001164932143878,4.8033622753103,1.4856211759131e-08,12.553645257296,10.971170953436
0.2165,-8.469077349051e-156,-2.823025783017e-156,1.8104570945403e-102,1.2667893776495e-98,1.7320982908083,0,4.9679968018599e-97,1.2143946123243e-76,7.6161343904458e-99,-1.8615514418658e-78,-5.3328185363025e-99,5.3328185363304e-99,3.9103758652031e-78,3.9103758652031e-78,-1.3246619455126e-88,-1.3246619455083e-88,5.3328185363026e-99,-5.3328185363303e-99,1.3246619455126e-88,1.3246619455083e-88,3.9103758652031e-78,3.9103758652031e-78,1.3124861891357e-78,1.3438755120037e-83,1.2143946123243e-82,-1.3480230068815e-19,0,360.31469625632,100000000,-4.7468823473663e-40,-0.00013429695968673,0.00021647656722972,8.9265276798626,2.7579436494906e-08,23.334253393849,20.393048280452
0.3165,-1.3808544149451e-138,-4.6028480498169e-139,9.965362606263e-94,6.5074911154625e-90,1.7321202119799,0,1.8705318564253e-88,4.6183355981576e-68,3.233240965941e-90,-7.9810710833781e-70,-2.2639158491243e-90,2.2639158491246e-90,1.6765041803858e-69,1.6765041803858e-69,-5.7140529483041e-80,-5.7140529483037e-80,2.2639158491244e-90,-2.2639158491246e-90,5.7140529483041e-80,5.7140529483037e-80,1.6765041803858e-69,1.6765041803858e-69,5.6771434182277e-70,7.4729590099608e-75,4.6183355981576e-74,8.0116599680515e-20,0,360.31469625632,100000000,-5.841652901855e-40,-0.00019637426921054,0.00031644992440011,13.049793019451,4.03540401604e-08,34.11943358857,29.819143147987
0.4165,-2.9248944430789e-126,-9.7496481435964e-127,1.7762605853586e-87,1.2165056988153e-83,1.7321421261624,0,2.5335654090922e-82,6.3182080358669e-62,4.9570061383187e-84,-1.2357057007656e-63,-3.4708965026008e-84,3.4708965026e-84,2.5957239967136e-63,2.5957239967136e-63,-8.9011078438437e-74,-8.9011078438451e-74,3.4708965026008e-84,-3.4708965025999e-84,8.9011078438437e-74,8.9011078438451e-74,2.5957239967136e-63,2.5957239967136e-63,8.8620288686265e-64,1.3456571445095e-68,6.3182080358668e-68,3.1453709727251e-20,0,360.31469625632,100000000,-1.6729204368128e-39,-0.00025848092378357,0.00041641328789715,17.173158751672,5.3136114341713e-08,44.90918784129,39.249457557633
0.5165,-1.1963839132482e-116,-3.987946377494e-117,1.315759553499e-82,5.8966975493146e-79,1.7321640333466,0,1.5133569237412e-77,3.8119233194835e-57,3.3278355469065e-79,-8.3777073095874e-59,-2.3301509900766e-79,2.3301509900698e-79,1.7598216053762e-58,1.7598216053762e-58,-6.0715049897258e-69,-6.0715049897369e-69,2.3301509900766e-79,-2.3301509900698e-79,6.0715049897258e-69,6.0715049897369e-69,1.7598216053762e-58,1.7598216053762e-58,6.0496923159426e-59,1.0070060507516e-63,3.8119233194835e-63,4.9989961645927e-19,0,360.31469625632,100000000,-3.9123156199525e-39,-0.00032061694952408,0.0005163666597192,21.296625334582,6.5922599103699e-08,55.70351815399,48.683993512794
0.6165,-9.0953141643247e-109,-3.031771388108e-109,1.2849239498823e-78,8.8072875253578e-73,1.7321859335236,0,1.2381526832538e-73,3.1500507028686e-53,3.0315896975397e-75,-7.707240923726e-55,-2.1227195982613e-75,2.1227195982615e-75,1.6189834037159e-54,1.6189834037162e-54,-5.6196577243586e-65,-5.6196577243602e-65,2.1227195982619e-75,-2.1227195982609e-75,5.6196577243595e-65,5.6196577243593e-65,1.6189834037161e-54,1.6189834037161e-54,5.5973442005091e-55,9.9348275986319e-60,3.1500507028686e-59,3.0150006783729e-16,0,360.31469625632,100000000,-7.0981965563154e-35,-0.00038278237258751,0.00061631004186315,25.420193226649,7.8727485353381e-08,66.502426530702,58.122753018618
0.7165,-4.353238734651e-102,-1.4510795782168e-102,3.0796386837894e-75,1.756412692376e-69,1.7322078266842,0,2.5533368536483e-70,6.56132536411e-50,6.8980684311848e-72,-1.7710045830814e-51,-4.8300286351068e-72,4.8300286351124e-72,3.7201730895519e-51,3.7201730895521e-51,-1.2991778622135e-61,-1.2991778622126e-61,4.8300286351095e-72,-4.8300286351097e-72,1.2991778622131e-61,1.299177862213e-61,3.7201730895527e-51,3.7201730895513e-51,1.2922825274696e-51,2.4055234655831e-56,6.56132536411e-56,-4.7816831413547e-16,0,360.31469625632,100000000,-3.3564221130346e-34,-0.00044497721916811,0.00071624343632576,29.543862886794,9.1559522968628e-08,77.305914977635,67.565738082126
0.8165,-2.7310364866128e-96,-9.1034549553714e-97,2.631007190541e-72,1.1490741870862e-66,1.7322297128193,0,1.9141900491681e-67,4.9683044449087e-47,5.6593060617658e-69,-1.4672971578978e-48,-3.9626470229844e-69,3.9626470229853e-69,3.0822051243315e-48,3.0822051243307e-48,-1.0829379601167e-58,-1.0829379601161e-58,3.9626470229851e-69,-3.9626470229847e-69,1.0829379601162e-58,1.0829379601167e-58,3.0822051243317e-48,3.0822051243305e-48,1.0749228026771e-48,2.0761481686675e-53,4.9683044449087e-53,2.0871810918808e-16,0,360.31469625632,100000000,-6.6997957597087e-34,-0.00050720151549559,0.00081616684510289,33.667634774321,1.0440008409491e-07,88.113985503026,77.012950712103
