time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00618,0,0,2.2897947613239e-194,0,1.7320521634131,0,2.2012534552245e-187,5.2708358420535e-167,9.2663251830622e-190,-2.2187939686403e-169,-6.4882823939488e-190,6.4882823971554e-190,4.6607996908928e-169,4.6607996908929e-169,-1.5588763384043e-179,-1.5588763379267e-179,6.4882823939489e-190,-6.4882823971553e-190,1.5588763384043e-179,1.5588763379267e-179,4.6607996908929e-169,4.6607996908928e-169,1.5535998969643e-169,1.6642386920091e-175,5.2708358420535e-173,1.2109104247765e-20,0,360.31469625632,100000000,-7.4457707409131e-43,-3.8316418198958e-06,6.1799809039281e-06,0.25480158899157,3.0843824005134e-11,0.66578012275188,0.58184636149035
0.1021,-6.542294950019e-191,-2.1807649833397e-191,2.5005140398343e-120,1.8144735739401e-118,1.7320732044282,0,1.4549917044096e-114,3.5161826495872e-94,2.0551708160413e-116,-4.966580368918e-96,-1.4390309389931e-116,1.4390309389576e-116,1.0432801141258e-95,1.0432801141258e-95,-3.5093915039627e-106,-3.5093915040164e-106,1.4390309389931e-116,-1.4390309389576e-116,3.5093915039627e-106,3.5093915040164e-106,1.0432801141258e-95,1.0432801141258e-95,3.4785232708541e-96,1.8345651322388e-101,3.5161826495872e-100,1.1353548912186e-20,0,360.31469625632,100000000,-1.4465609416872e-40,-6.3316471902558e-05,0.00010209478813756,4.2096346615606,1.2993240691281e-08,11.001614159264,9.6147678909861
0.2021,-6.034123711174e-159,-2.0113745703913e-159,4.5522235502667e-104,1.0322921601446e-99,1.7320951335844,0,1.338162927924e-98,3.2663465138541e-78,2.0203587604706e-100,-4.9311785598086e-80,-1.4146555319797e-100,1.4146555319968e-100,1.0358436083805e-79,1.0358436083805e-79,-3.505885307599e-90,-3.5058853075728e-90,1.4146555319797e-100,-1.4146555319968e-100,3.505885307599e-90,3.5058853075728e-90,1.0358436083806e-79,1.0358436083805e-79,3.4725559240204e-80,3.3740896409191e-85,3.2663465138541e-84,1.6884384301175e-19,0,360.31469625632,100000000,-2.3529627689677e-40,-0.0001253602426738,0.00020207958052085,8.3327857131602,2.5744857784877e-08,21.781564084069,19.036038056921
0.3021,-1.0993201745353e-140,-3.6644005817844e-141,8.5760122584796e-95,2.5825347785894e-91,1.7321170557618,0,1.686479796381e-89,4.1579218456639e-69,2.8631191404547e-91,-7.0574311612103e-71,-2.0047564868467e-91,2.0047564868463e-91,1.4824843333617e-70,1.4824843333617e-70,-5.0483360312551e-81,-5.0483360312558e-81,2.0047564868467e-91,-2.0047564868463e-91,5.0483360312551e-81,5.0483360312558e-81,1.4824843333617e-70,1.4824843333617e-70,5.0137777683969e-71,6.4216581576379e-76,4.1579218456639e-75,-1.4943009838529e-19,0,360.31469625632,100000000,-5.9880988571088e-40,-0.00018743332865861,0.00030205437694481,12.456036633903,3.8502266851522e-08,32.566085779203,28.461525475306
0.4021,-7.7770444492251e-128,-2.5923481497417e-128,2.8248904977487e-88,2.7419120482246e-84,1.7321389709512,0,4.173580092122e-83,1.0393107391446e-62,8.0239315583188e-85,-1.9974133154502e-64,-5.618358179461e-85,5.6183581794628e-85,4.1957673830078e-64,4.1957673830079e-64,-1.4375276910707e-74,-1.4375276910705e-74,5.6183581794611e-85,-5.6183581794627e-85,1.4375276910707e-74,1.4375276910705e-74,4.1957673830079e-64,4.1957673830078e-64,1.4308981528176e-64,2.1369370052751e-69,1.0393107391446e-68,2.099770121011e-19,0,360.31469625632,100000000,-1.8250582764447e-39,-0.0002495357559351,0.00040201917940758,16.579387881369,5.1283949151764e-08,43.355181244246,37.891232147467
0.5021,-6.5597298866226e-118,-2.1865766288742e-118,3.0238018588113e-83,2.0710196190452e-79,1.7321608791438,0,3.5776597274707e-78,8.9986372421073e-58,7.74032189149e-80,-1.9458438511162e-59,-5.4197746447425e-80,5.4197746447178e-80,4.0874405411178e-59,4.0874405411178e-59,-1.4089606281391e-69,-1.4089606281431e-69,5.4197746447425e-80,-5.4197746447178e-80,1.4089606281391e-69,1.4089606281431e-69,4.0874405411179e-59,4.0874405411178e-59,1.4038456667217e-59,2.3108475799265e-64,8.9986372421073e-64,9.7213824209621e-19,0,360.31469625632,100000000,-3.1208571951179e-39,-0.00031166755061541,0.00050197398990798,20.702839913538,6.408183858138e-08,54.148852480844,47.325160076522
0.6021,-8.0808582431494e-110,-2.6936194143831e-110,3.7738686625279e-79,2.8434632764586e-75,1.7321827803303,0,3.7234778881462e-74,9.4594766002336e-54,8.9820345105713e-76,-2.2802851316251e-55,-6.2892220221221e-76,6.2892220221353e-76,4.7899680578e-55,4.7899680578e-55,-1.6611929507599e-65,-1.6611929507578e-65,6.2892220221222e-76,-6.2892220221352e-76,1.6611929507599e-65,1.6611929507578e-65,4.7899680578e-55,4.7899680578e-55,1.6547941714203e-55,2.9136151045392e-60,9.4594766002336e-60,-3.462840810167e-20,0,360.31469625632,100000000,-7.4102296406711e-39,-0.00037382873885158,0.00060191881044234,24.826393188808,7.6869428589259e-08,64.947101492744,56.76331126741
0.7021,-5.4606324988321e-103,-1.820210832944e-103,1.0776496621801e-75,6.6485281185747e-72,1.7322046745018,0,9.1180912268719e-71,2.33971221842e-50,2.4299704602691e-72,-6.2298742545503e-52,-1.7014657106756e-72,1.7014657106779e-72,1.3086476892536e-51,1.3086476892536e-51,-4.5661316563353e-62,-4.5661316563315e-62,1.7014657106756e-72,-1.7014657106779e-72,4.5661316563353e-62,4.5661316563315e-62,1.3086476892536e-51,1.3086476892536e-51,4.5430089202511e-52,8.4052373044078e-57,2.33971221842e-56,-5.4162728775993e-19,0,360.31469625632,100000000,-6.2563956320582e-39,-0.00043601934682996,0.00070185364300806,28.950048166062,8.9722333125262e-08,75.749930285845,66.205687726832
0.8021,-4.4375207639319e-97,-1.4791735879773e-97,1.0498741011566e-72,6.7169250530447e-69,1.7322265616492,0,7.7755064054262e-68,2.0152407743448e-47,2.2702365966228e-69,-5.8777651690435e-49,-1.5896200334275e-69,1.5896200334271e-69,1.2346836376073e-48,1.2346836376073e-48,-4.3342917822309e-59,-4.3342917822317e-59,1.5896200334276e-69,-1.5896200334271e-69,4.3342917822309e-59,4.3342917822317e-59,1.2346836376073e-48,1.2346836376073e-48,4.3036926685075e-49,8.2724880118933e-54,2.0152407743448e-53,1.1039885168793e-18,0,360.31469625632,100000000,-9.7820041228574e-39,-0.00049823940077582,0.00080177848960058,33.073805304512,1.025492012628e-07,86.557340868074,75.652291463364
