time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00618,0,0,2.2897947613239e-194,0,1.7320521634131,0,2.2012534552245e-187,5.2708358420535e-167,9.2663251830622e-190,-2.2187939686403e-169,-6.4882823939488e-190,6.4882823971554e-190,4.6607996908928e-169,4.6607996908929e-169,-1.5588763384043e-179,-1.5588763379267e-179,6.4882823939488e-190,-6.4882823971553e-190,1.5588763384043e-179,1.5588763379267e-179,4.6607996908929e-169,4.6607996908928e-169,1.5535998969643e-169,1.6642386920091e-175,5.2708358420535e-173,-2.1076190410149e-21,0,360.31469625632,100000000,-5.7219985783579e-43,-3.8316418198958e-06,6.1799809039281e-06,0.25480158899157,3.0843824005134e-11,0.66578012275188,0.58184636149035
0.1021,-6.542294950019e-191,-2.1807649833397e-191,2.5005140398343e-120,1.9890615346907e-117,1.7320732044282,0,1.4549917044096e-114,3.5161826495872e-94,2.0551708160414e-116,-4.966580368918e-96,-1.4390309389931e-116,1.4390309389576e-116,1.0432801141258e-95,1.0432801141258e-95,-3.5093915039627e-106,-3.5093915040164e-106,1.4390309389931e-116,-1.4390309389576e-116,3.5093915039627e-106,3.5093915040164e-106,1.0432801141258e-95,1.0432801141258e-95,3.4785232708541e-96,1.8345651322388e-101,3.5161826495872e-100,-8.7202667904058e-20,0,360.31469625632,100000000,-1.05528717543e-40,-6.3316471902558e-05,0.00010209478813756,4.2096346615606,1.2993240691281e-08,11.001614159264,9.6147678909861
0.2021,-6.034123711174e-159,-2.0113745703913e-159,4.5522235502667e-104,1.2880818372714e-99,1.7320951335844,0,1.338162927924e-98,3.2663465138542e-78,2.0203587604706e-100,-4.9311785598086e-80,-1.4146555319797e-100,1.4146555319968e-100,1.0358436083805e-79,1.0358436083806e-79,-3.505885307599e-90,-3.5058853075728e-90,1.4146555319797e-100,-1.4146555319968e-100,3.505885307599e-90,3.5058853075728e-90,1.0358436083806e-79,1.0358436083805e-79,3.4725559240204e-80,3.3740896409191e-85,3.2663465138542e-84,2.0382169408363e-19,0,360.31469625632,100000000,-6.1071031587558e-40,-0.0001253602426738,0.00020207958052085,8.3327857131602,2.5744857784877e-08,21.781564084069,19.036038056921
0.3021,-1.0993201745353e-140,-3.6644005817844e-141,8.5760122584794e-95,1.7956155896884e-91,1.7321170557618,0,1.686479796381e-89,4.1579218456639e-69,2.8631191404548e-91,-7.0574311612103e-71,-2.0047564868467e-91,2.0047564868463e-91,1.4824843333617e-70,1.4824843333617e-70,-5.0483360312551e-81,-5.0483360312558e-81,2.0047564868467e-91,-2.0047564868463e-91,5.0483360312551e-81,5.0483360312558e-81,1.4824843333617e-70,1.4824843333617e-70,5.0137777683969e-71,6.4216581576379e-76,4.1579218456639e-75,1.1192868948473e-19,0,360.31469625632,100000000,-9.49057248345e-40,-0.00018743332865861,0.00030205437694481,12.456036633903,3.8502266851522e-08,32.566085779203,28.461525475306
0.4021,-7.7770444492493e-128,-2.5923481497498e-128,2.8248904977636e-88,1.4814966582372e-84,1.7321389709512,0,4.1735800921439e-83,1.0393107391469e-62,8.0239315583368e-85,-1.997413315452e-64,-5.6183581794759e-85,5.6183581794753e-85,4.1957673830118e-64,4.1957673830118e-64,-1.4375276910706e-74,-1.4375276910707e-74,5.6183581794759e-85,-5.6183581794753e-85,1.4375276910706e-74,1.4375276910707e-74,4.1957673830118e-64,4.1957673830118e-64,1.4308981528188e-64,2.1369370052798e-69,1.0393107391469e-68,-3.8388159885729e-19,0,360.31469625632,100000000,-1.4191255109411e-39,-0.00024953575593501,0.0004020191794076,16.579387881372,5.1286957227863e-08,43.355181244251,37.891232147468
0.5021,-6.5597298866227e-118,-2.1865766288742e-118,3.0238018588364e-83,1.6707960502944e-79,1.7321608791438,0,3.5776597275002e-78,8.9986372421073e-58,7.7403218915317e-80,-1.9458438511162e-59,-5.4197746447137e-80,5.4197746447471e-80,4.0874405411179e-59,4.0874405411179e-59,-1.4089606281438e-69,-1.4089606281384e-69,5.4197746447138e-80,-5.419774644747e-80,1.4089606281438e-69,1.4089606281384e-69,4.0874405411179e-59,4.0874405411179e-59,1.4038456667217e-59,2.3108475799265e-64,8.9986372421073e-64,-4.0910046431961e-19,0,360.31469625632,100000000,-1.9272460980463e-39,-0.00031166755061534,0.00050197398990772,20.702839913538,6.408183858138e-08,54.148852480844,47.325160076522
0.6021,-8.0808582431571e-110,-2.6936194143857e-110,3.7738686625226e-79,2.7814862566833e-75,1.7321827803303,0,3.7234778881421e-74,9.4594766002404e-54,8.9820345105521e-76,-2.2802851316257e-55,-6.2892220221306e-76,6.2892220221219e-76,4.7899680578011e-55,4.7899680578011e-55,-1.6611929507591e-65,-1.6611929507606e-65,6.2892220221307e-76,-6.2892220221218e-76,1.6611929507591e-65,1.6611929507606e-65,4.7899680578011e-55,4.7899680578011e-55,1.6547941714206e-55,2.913615104541e-60,9.4594766002404e-60,3.7967355153607e-19,0,360.31469625632,100000000,-6.3301456732621e-39,-0.00037382873885134,0.00060191881044226,24.82639318882,7.6888811037053e-08,64.947101492756,56.763311267405
0.7021,-5.4606324988222e-103,-1.8202108329407e-103,1.0776496621768e-75,8.2977931898536e-72,1.7322046745018,0,9.1180912268445e-71,2.3397122184185e-50,2.4299704602668e-72,-6.2298742545428e-52,-1.7014657106779e-72,1.7014657106763e-72,1.308647689252e-51,1.308647689252e-51,-4.5661316563225e-62,-4.5661316563253e-62,1.701465710678e-72,-1.7014657106763e-72,4.5661316563225e-62,4.5661316563253e-62,1.308647689252e-51,1.308647689252e-51,4.5430089202455e-52,8.4052373044025e-57,2.3397122184185e-56,-6.9347715637356e-20,0,360.31469625632,100000000,-8.3145233125259e-39,-0.00043601934682997,0.00070185364300794,28.950048166063,8.9724753320549e-08,75.749930285847,66.205687726831
0.8021,-4.4375207639303e-97,-1.4791735879768e-97,1.0498741011577e-72,8.3837336475001e-69,1.7322265616492,0,7.7755064054348e-68,2.0152407743437e-47,2.270236596624e-69,-5.8777651690446e-49,-1.5896200334259e-69,1.5896200334279e-69,1.2346836376075e-48,1.2346836376075e-48,-4.3342917822349e-59,-4.3342917822316e-59,1.5896200334259e-69,-1.5896200334279e-69,4.3342917822349e-59,4.3342917822316e-59,1.2346836376075e-48,1.2346836376075e-48,4.3036926685084e-49,8.2724880118886e-54,2.0152407743437e-53,-6.1085827177073e-20,0,360.31469625632,100000000,-1.2253196482975e-38,-0.00049823940077544,0.00080177848960066,33.073805304516,1.0255646244554e-07,86.557340868079,75.652291463362
