time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00618,0,0,2.2897947613239e-194,0,1.7320521634131,0,2.2012534552245e-187,5.2708358420534e-167,9.2663251830622e-190,-2.2187939686403e-169,-6.4882823939489e-190,6.4882823971553e-190,4.6607996908929e-169,4.6607996908929e-169,-1.5588763384043e-179,-1.5588763379267e-179,6.4882823939488e-190,-6.4882823971553e-190,1.5588763384043e-179,1.5588763379267e-179,4.6607996908928e-169,4.6607996908928e-169,1.5535998969643e-169,1.6642386920091e-175,5.2708358420534e-173,-4.620952177154e-22,0,360.31469625632,100000000,-3.3119320824429e-43,-3.8316418198958e-06,6.1799809039281e-06,0.25480158899157,3.0843824005134e-11,0.66578012275188,0.58184636149035
0.1021,-6.5422949500191e-191,-2.1807649833397e-191,2.5005140398333e-120,1.1579313483921e-118,1.7320732044282,0,1.4549917044083e-114,3.5161826495872e-94,2.0551708160395e-116,-4.9665803689181e-96,-1.4390309389945e-116,1.4390309389563e-116,1.0432801141259e-95,1.0432801141259e-95,-3.5093915039607e-106,-3.5093915040184e-106,1.4390309389945e-116,-1.4390309389563e-116,3.5093915039607e-106,3.5093915040184e-106,1.0432801141259e-95,1.0432801141259e-95,3.4785232708542e-96,1.834565132239e-101,3.5161826495872e-100,-1.4906288550399e-20,0,360.31469625632,100000000,-8.4322617882009e-41,-6.3316471902586e-05,0.0001020947881375,4.2096346615591,1.2990813035121e-08,11.001614159263,9.6147678909868
0.2021,-6.0341237111775e-159,-2.0113745703925e-159,4.5522235502398e-104,1.1988776816802e-99,1.7320951335844,0,1.3381629279163e-98,3.2663465138542e-78,2.0203587604631e-100,-4.9311785598114e-80,-1.4146555319892e-100,1.4146555319915e-100,1.0358436083811e-79,1.0358436083812e-79,-3.5058853075878e-90,-3.5058853075842e-90,1.4146555319892e-100,-1.4146555319915e-100,3.5058853075878e-90,3.5058853075842e-90,1.0358436083812e-79,1.0358436083812e-79,3.4725559240226e-80,3.374089640919e-85,3.2663465138542e-84,7.8368367970584e-20,0,360.31469625632,100000000,-3.2627931281221e-40,-0.00012536024267391,0.00020207958052068,8.3327857131678,2.5755148624624e-08,21.781564084079,19.036038056921
0.3021,-1.0993201745346e-140,-3.6644005817821e-141,8.5760122584659e-95,3.4790668505331e-91,1.7321170557618,0,1.6864797963783e-89,4.1579218456639e-69,2.863119140449e-91,-7.0574311612058e-71,-2.0047564868441e-91,2.0047564868422e-91,1.4824843333608e-70,1.4824843333608e-70,-5.048336031254e-81,-5.0483360312569e-81,2.0047564868441e-91,-2.0047564868422e-91,5.048336031254e-81,5.0483360312569e-81,1.4824843333608e-70,1.4824843333608e-70,5.0137777683935e-71,6.4216581576376e-76,4.1579218456639e-75,-3.116502018656e-19,0,360.31469625632,100000000,-7.9744092730202e-40,-0.00018743332865894,0.00030205437694463,12.4560366339,3.8499258287873e-08,32.566085779198,28.461525475304
0.4021,-7.7770444492378e-128,-2.5923481497459e-128,2.8248904977577e-88,1.6353614582594e-84,1.7321389709512,0,4.1735800921349e-83,1.0393107391457e-62,8.0239315583344e-85,-1.9974133154512e-64,-5.6183581794661e-85,5.6183581794736e-85,4.1957673830101e-64,4.1957673830101e-64,-1.4375276910712e-74,-1.43752769107e-74,5.6183581794662e-85,-5.6183581794736e-85,1.4375276910712e-74,1.43752769107e-74,4.1957673830101e-64,4.1957673830101e-64,1.4308981528183e-64,2.1369370052775e-69,1.0393107391457e-68,2.6167843130592e-20,0,360.31469625632,100000000,-1.6149984467484e-39,-0.0002495357559354,0.00040201917940771,16.579387881372,5.1286957227863e-08,43.355181244251,37.891232147468
0.5021,-6.5597298866349e-118,-2.1865766288775e-118,3.0238018588321e-83,3.9842866430729e-77,1.7321608791438,0,3.5776597274958e-78,8.9986372421131e-58,7.7403218915153e-80,-1.9458438511178e-59,-5.4197746447315e-80,5.4197746447448e-80,4.0874405411199e-59,4.0874405411228e-59,-1.408960628142e-69,-1.4089606281415e-69,5.4197746447408e-80,-5.4197746447355e-80,1.4089606281421e-69,1.4089606281414e-69,4.0874405411226e-59,4.0874405411201e-59,1.4038456667229e-59,2.3108475799278e-64,8.9986372421131e-64,1.5748547868231e-16,0,360.31469625632,100000000,-1.4952067257127e-34,-0.00031166755061561,0.00050197398990784,20.702839913544,6.4091534482506e-08,54.14885248085,47.325160076519
0.6021,-8.0808582431496e-110,-2.6936194143824e-110,3.773868662529e-79,4.3999134356574e-73,1.7321827803303,0,3.7234778881482e-74,9.4594766002403e-54,8.9820345105559e-76,-2.2802851316229e-55,-6.289222022128e-76,6.289222022131e-76,4.7899680577945e-55,4.7899680577962e-55,-1.6611929507559e-65,-1.6611929507563e-65,6.2892220221346e-76,-6.2892220221245e-76,1.6611929507558e-65,1.6611929507564e-65,4.7899680577964e-55,4.7899680577943e-55,1.6547941714185e-55,2.9136151045411e-60,9.4594766002403e-60,-1.0994721139803e-16,0,360.31469625632,100000000,-5.6166008622364e-34,-0.00037382873885167,0.00060191881044243,24.826393188815,7.6880938359519e-08,64.947101492751,56.763311267407
0.7021,-5.4606324988211e-103,-1.8202108329414e-103,1.0776496621777e-75,4.9823977502852e-70,1.7322046745018,0,9.1180912268511e-71,2.3397122184185e-50,2.4299704602672e-72,-6.2298742545452e-52,-1.701465710677e-72,1.7014657106736e-72,1.308647689253e-51,1.3086476892521e-51,-4.5661316563298e-62,-4.56613165633e-62,1.7014657106739e-72,-1.7014657106766e-72,4.5661316563294e-62,4.5661316563304e-62,1.3086476892521e-51,1.308647689253e-51,4.5430089202473e-52,8.4052373044026e-57,2.3397122184185e-56,-2.1367239541663e-16,0,360.31469625632,100000000,-5.5966269303385e-34,-0.00043601934683014,0.00070185364300815,28.950048166062,8.9722936843332e-08,75.749930285846,66.205687726831
0.8021,-4.4375207639323e-97,-1.4791735879779e-97,1.0498741011588e-72,7.0413641120268e-67,1.7322265616492,0,7.7755064054435e-68,2.0152407743445e-47,2.2702365966242e-69,-5.8777651690465e-49,-1.5896200334268e-69,1.5896200334294e-69,1.2346836376074e-48,1.2346836376084e-48,-4.3342917822329e-59,-4.3342917822342e-59,1.5896200334281e-69,-1.5896200334281e-69,4.3342917822364e-59,4.3342917822307e-59,1.2346836376078e-48,1.234683637608e-48,4.3036926685098e-49,8.272488011892e-54,2.0152407743445e-53,-3.4122879705153e-16,0,360.31469625632,100000000,-8.7675878817278e-34,-0.0004982394007758,0.00080177848960067,33.073805304516,1.0255646510661e-07,86.557340868079,75.652291463362
