time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0165,-1.4917715399881e-290,-4.9725717999602e-291,6.8821656464656e-171,0,1.7320544275189,0,2.4780074498087e-164,5.9372213370806e-144,2.7992212117212e-166,-6.7068385555996e-146,-1.9600151462155e-166,1.9600151467761e-166,1.4088388335562e-145,1.4088388335562e-145,-4.7139033728759e-156,-4.71390337204e-156,1.9600151462156e-166,-1.9600151467761e-166,4.7139033728759e-156,4.71390337204e-156,1.4088388335562e-145,1.4088388335562e-145,4.6961294451873e-146,5.0052334069057e-152,5.9372213370806e-150,-2.657087424218e-20,0,329.01469625632,100000000,-7.3674186683558e-42,-1.0230296879015e-05,1.6499863875603e-05,0.68029634769621,7.0843988242227e-10,1.7776071802764,1.5535091676386
0.1165,-1.1869942908255e-180,-3.956647636085e-181,3.8300170022358e-115,1.5513292677295e-110,1.7320763626565,0,1.9531292567503e-109,4.7267999294558e-89,2.7697912874394e-111,-6.7031692345255e-91,-1.9394083090275e-111,1.9394083090173e-111,1.4080680557927e-90,1.4080680557927e-90,-4.74068433448e-101,-4.7406843344953e-101,1.9394083090275e-111,-1.9394083090173e-111,4.74068433448e-101,4.7406843344953e-101,1.4080680557927e-90,1.4080680557927e-90,4.6963760194471e-91,2.8141184358828e-96,4.7267999294558e-95,-3.2968675278602e-20,0,329.01469625632,100000000,-2.187145416873e-40,-7.2248969130949e-05,0.0001164932143878,4.8033622753103,1.4856211759131e-08,12.553645257296,10.971170953436
0.2165,-7.4903824804713e-152,-2.4967941601571e-152,1.7026374621295e-100,1.0224194715562e-96,1.7320982908083,0,4.6721336242071e-95,1.1420727765324e-74,7.1625645086412e-97,-1.7506889459917e-76,-5.0152288315215e-97,5.0152288314739e-97,3.6774980523892e-76,3.6774980523892e-76,-1.2457732690115e-86,-1.2457732690188e-86,5.0152288315215e-97,-5.0152288314739e-97,1.2457732690115e-86,1.2457732690188e-86,3.6774980523892e-76,3.6774980523892e-76,1.2343226254245e-76,1.2638425942704e-81,1.1420727765324e-80,-2.443820150522e-20,0,329.01469625632,100000000,-4.3258730394529e-40,-0.00013429695968673,0.00021647656722974,8.9265276798626,2.7579437382773e-08,23.334253393849,20.393048280452
0.3165,-1.2212815270676e-134,-4.0709384235587e-135,9.3718872147271e-92,1.1010164313899e-87,1.7321202119799,0,1.759134542576e-86,4.3432960802001e-66,3.040689121714e-88,-7.5057678281429e-68,-2.1290910165288e-88,2.1290910165446e-88,1.5766619554478e-67,1.5766619554478e-67,-5.3737592786433e-78,-5.3737592786185e-78,2.1290910165288e-88,-2.1290910165446e-88,5.3737592786433e-78,5.3737592786185e-78,1.5766619554478e-67,1.5766619554478e-67,5.3390478519895e-68,7.0279157687042e-73,4.3432960802001e-72,7.4297553156995e-19,0,329.01469625632,100000000,-7.6656590585443e-40,-0.00019637426921051,0.00031644992439996,13.049793019449,4.0351614901008e-08,34.119433588568,29.819143147987
0.4165,-2.5868907781067e-122,-8.6229692603557e-123,1.6704774856095e-85,1.6205428520539e-81,1.7321421261624,0,2.3826819156448e-80,5.9419346240022e-60,4.6617974966051e-82,-1.1621147082812e-61,-3.2641913637643e-82,3.2641913637581e-82,2.4411387220682e-61,2.4411387220682e-61,-8.3710128867418e-72,-8.3710128867516e-72,3.2641913637643e-82,-3.2641913637581e-82,8.3710128867418e-72,8.3710128867516e-72,2.4411387220682e-61,2.4411387220682e-61,8.3342612137042e-62,1.2655181237476e-66,5.9419346240022e-66,-8.1583866155458e-19,0,329.01469625632,100000000,-1.5343051395106e-39,-0.00025848092378349,0.0004164132878969,17.173158751667,5.312883619231e-08,44.909187841285,39.249457557635
0.5165,-1.0581286171224e-112,-3.5270953904081e-113,1.2374010484425e-80,7.8716437254045e-77,1.7321640333466,0,1.4232307408487e-75,3.5849087316554e-55,3.1296502342148e-77,-7.8787828527058e-57,-2.1913816019584e-77,2.1913816019565e-77,1.6550175096702e-56,1.6550175096702e-56,-5.7099236862143e-67,-5.7099236862174e-67,2.1913816019584e-77,-2.1913816019565e-77,5.7099236862143e-67,5.7099236862174e-67,1.6550175096702e-56,1.6550175096702e-56,5.6894100404351e-57,9.4703499561954e-62,3.5849087316554e-61,2.0788787293619e-19,0,329.01469625632,100000000,-3.4502490458275e-39,-0.000320616949524,0.00051636665971876,21.296625334583,6.5925022689612e-08,55.703518153991,48.683993512793
0.6165,-8.0442507563052e-105,-2.6814169187684e-105,1.2084018227485e-76,1.0490964203831e-72,1.7321859335236,0,1.1644159636233e-71,2.9624531564275e-51,2.8510469562552e-73,-7.2482452999998e-53,-1.9963035415104e-73,1.9963035415104e-73,1.5225667606469e-52,1.5225667606469e-52,-5.2849856506776e-63,-5.2849856506777e-63,1.9963035415104e-73,-1.9963035415104e-73,5.2849856506776e-63,5.2849856506777e-63,1.5225667606469e-52,1.5225667606469e-52,5.2640009823653e-53,9.3431706833569e-58,2.9624531564275e-57,-9.5430713653399e-19,0,329.01469625632,100000000,-4.4560149727486e-39,-0.0003827823725875,0.00061631004186245,25.420193226649,7.8727485797026e-08,66.502426530702,58.122753018618
0.7165,-3.8501742051927e-98,-1.2833914017309e-98,2.8962344419224e-73,1.5895456736011e-69,1.7322078266842,0,2.4012758952186e-68,6.1705733871366e-48,6.4872621188579e-70,-1.6655344983559e-49,-4.5423819885387e-70,4.5423819885424e-70,3.4986225782224e-49,3.4986225782224e-49,-1.2218068601795e-59,-1.2218068601789e-59,4.5423819885388e-70,-4.5423819885424e-70,1.2218068601795e-59,1.2218068601789e-59,3.4986225782224e-49,3.4986225782224e-49,1.2153221689456e-49,2.2622653587723e-54,6.1705733871366e-54,-6.7513697565966e-20,0,329.01469625632,100000000,-5.6315771601554e-39,-0.00044497721916819,0.00071624343632495,29.543862886794,9.1558917490359e-08,77.305914977634,67.565738082126
0.8165,-2.4154352368721e-92,-8.0514507895737e-93,2.4743206669994e-70,1.4874625223573e-66,1.7322297128193,0,1.8001927232466e-65,4.6724229459235e-45,5.3222727782171e-67,-1.3799140099156e-46,-3.7266562631358e-67,3.7266562631416e-67,2.8986480411315e-46,2.8986480411315e-46,-1.0184448698696e-56,-1.0184448698686e-56,3.7266562631358e-67,-3.7266562631415e-67,1.0184448698696e-56,1.0184448698686e-56,2.8986480411315e-46,2.8986480411315e-46,1.0109070456574e-46,1.9525056183624e-51,4.6724229459235e-51,-1.9496124281391e-18,0,329.01469625632,100000000,-7.1992166465515e-39,-0.00050720151549563,0.00081616684510207,33.667634774322,1.0440068903151e-07,88.113985503027,77.012950712103
0.9165,-3.1951944469608e-87,-1.0650648156541e-87,9.5957055811445e-68,3.711980577088e-62,1.7322515919199,0,6.2195405459075e-63,1.6304996189313e-42,1.9978294807996e-64,-5.230887327879e-44,-1.3988805267132e-64,1.398880526713e-64,1.0988004467949e-43,1.0988004467946e-43,-3.8841519544954e-54,-3.8841519544937e-54,1.3988805267117e-64,-1.3988805267145e-64,3.8841519544959e-54,3.8841519544931e-54,1.0988004467945e-43,1.098800446795e-43,3.8449628513649e-44,7.6496093942117e-49,1.6304996189313e-48,1.8342070061851e-16,0,329.01469625632,100000000,-1.5770178348626e-34,-0.00056945528783872,0.00091608027018885,37.791509348994,1.1726116913061e-07,98.926640117272,86.464392919162
