time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.427,-6.4923083607589e-135,-2.1641027869196e-135,3.4044450775239e-92,3.5978127135598e-88,1.7321444438687,0,4.7365095137696e-87,1.1758898779829e-66,5.9363981828905e-88,-1.4737752587479e-67,-4.1566669711802e-88,4.1566669711698e-88,3.0958130261311e-67,3.0958130261311e-67,-1.058896197212e-77,-1.0588961972137e-77,4.1566669711802e-88,-4.1566669711698e-88,1.058896197212e-77,1.0588961972137e-77,3.0958130261311e-67,3.0958130261311e-67,1.0319376763857e-67,2.5676135546998e-73,1.1758898779829e-72,-1.1226553929032e-19,0,360.31469625632,100000000,-1.0553284845915e-39,-0.00026497414975749,0.00042690885704777,17.606120817921,5.4432547715448e-06,46.042379452535,40.239882629868
1.427,-5.5508964297631e-74,-1.850298809921e-74,2.98490210538e-61,7.587602108354e-57,1.732363232433,0,1.2424888770454e-56,3.4087604384076e-36,1.5846634997316e-57,-4.3467575563535e-37,-1.1095816397105e-57,1.1095816397116e-57,9.1308010393837e-37,9.1308010393837e-37,-3.3217838363926e-47,-3.3217838363906e-47,1.1095816397105e-57,-1.1095816397116e-57,3.3217838363926e-47,3.3217838363906e-47,9.1308010393837e-37,9.1308010393837e-37,3.0485737417774e-37,2.4927397422189e-42,3.4087604384076e-42,2.0574223840529e-18,0,360.31469625632,100000000,-1.8332511695434e-38,-0.00088762102245944,0.0014259827853885,58.845511608083,1.8296892209538e-05,154.19674606175,134.77997041153
2.427,-1.8412547999166e-49,-6.1375159997219e-50,8.0289717784156e-49,1.6100255763952e-44,1.7325813125754,0,1.9648136555207e-44,5.9563186618568e-24,2.7247840868382e-45,-8.2515349224552e-25,-1.9078942598504e-45,1.9078942598515e-45,1.7333178275917e-24,1.7333178275917e-24,-6.7023496359101e-35,-6.7023496359078e-35,1.9078942598504e-45,-1.9078942598515e-45,6.7023496359101e-35,6.7023496359078e-35,1.7333178275917e-24,1.7333178275917e-24,5.8306159389095e-25,7.4238002977807e-30,5.9563186618568e-30,2.5909165798249e-18,0,360.31469625632,100000000,-9.1551111448111e-38,-0.0015132303721053,0.0024240595611743,100.09544729149,3.1316215271885e-05,262.81073980285,229.74423519597
3.427,-8.4921877255917e-34,-2.8307292418639e-34,6.6102657488466e-41,8.4582404000215e-37,1.7327986750685,0,1.1454581543545e-36,3.836587357119e-16,1.7680347509046e-37,-5.9084459783904e-17,-1.2379782195453e-37,1.2379782195451e-37,1.2411284499126e-16,1.2411284499126e-16,-5.0985827653358e-27,-5.0985827653364e-27,1.2379782195453e-37,-1.2379782195451e-37,5.0985827653358e-27,5.0985827653364e-27,1.2411284499126e-16,1.2411284499126e-16,4.211734035177e-17,6.766446146571e-22,3.836587357119e-22,3.3675122344818e-19,0,360.31469625632,100000000,-1.797865955916e-37,-0.0021418288817919,0.0034211411728908,141.35639250371,4.4501666695321e-05,371.88639538285,325.13470848224
4.427,-3.0098019995688e-22,-1.0032673331896e-22,4.3761899307296e-35,1.8129866073474e-16,1.733015310559,0,5.8695204623828e-31,2.1718738547211e-10,1.0032955821566e-31,-3.699151373799e-11,-7.0250772946645e-32,7.0250772946648e-32,7.7704391769793e-11,7.77043917698e-11,-3.3901993324635e-21,-3.3901993324638e-21,7.0250772946653e-32,-7.025077294664e-32,3.3901993324636e-21,3.3901993324636e-21,7.7704391769797e-11,7.7704391769796e-11,2.6574878809336e-11,4.9587153348674e-16,2.1718738547211e-16,2.8749486369738e-16,0,360.31469625632,100000000,-7.3515545687169e-35,-0.0027734436214722,0.0044172296030806,182.62881631286,5.7856474738141e-05,481.42576927168,420.95344049219
5.427,-4.3826091074291e-13,-1.4608697024654e-13,1.7676551337035e-30,7.2043797390391e-12,1.7332312095639,0,1.9337201437131e-26,7.9040284387513e-06,3.6388850415235e-27,-1.4800725943787e-06,-2.5479478966674e-27,2.5479478966979e-27,3.1090412124307e-06,3.1090412124903e-06,-1.4402610989542e-16,-1.4402610989263e-16,2.5479478967285e-27,-2.5479478966997e-27,1.4402610989448e-16,1.440261098937e-16,3.1090412124506e-06,3.1090412123906e-06,1.0702294775371e-06,2.2169595820421e-11,7.9040284387513e-12,1.3472751162409e-16,0,360.31469625536,99999999.997612,-2.907372052766e-34,-0.0034081020579573,0.0054123268283686,223.91319205489,7.1386314663512e-05,591.43093940054,517.20249992707
6.427,-1.743603899427e-05,-5.8120126653493e-06,1.1473134216731e-26,4.8412533398611e-08,1.7334463538973,0,1.0596704113647e-22,0.047764687746679,2.1745741337395e-23,-0.0097440525946263,-1.5226370796734e-23,1.5226372191981e-23,0.020468362010275,0.020468364993136,-1.0078262950047e-12,-1.0078261476384e-12,1.5226373568029e-23,-1.5226372270644e-23,1.0078262458568e-12,1.0078262033083e-12,0.020468363005039,0.02046836002218,0.0070840716018635,1.5898494318679e-07,4.7764687746682e-08,-4.3524165489209e-17,0,360.31468879986,99999983.953363,-2.7755575615629e-17,-0.0040458470404131,0.0064064348194845,265.20826497858,9.949548102824e-05,701.89934681512,613.87988457936
7.427,-3.9133246482229,-1.3043995520167,1.7822130097192e-23,3.3483731102481e-05,1.7336548835016,0,1.4298512939299e-19,18.104683267585,3.2729473931435e-20,-5.7692501747982,-2.2915766210886e-20,2.2917928022181e-20,12.119298709468,12.12029704057,-1.7694271225784e-09,-1.7691364709129e-09,2.2920262652329e-20,-2.2918256856184e-20,1.7693300370317e-09,1.7692462564068e-09,12.119616538406,12.118618177367,4.2986994762983,6.696412587599e-05,1.8104683267592e-05,-5.6021913967182e-14,0,360.30659573144,99988903.070578,-6.937536742537e-17,-0.0046969449691006,0.0073995555412867,305.31322908013,0.00081364008174578,809.59996648609,708.15661150426
8.427,-35.354480816163,-11.783966988367,5.1243474258034e-21,0.00021328366240151,1.733837481955,0,3.6902098858186e-17,43.817044405984,9.7455658055275e-18,-21.527984568954,-6.8195411853332e-18,6.8242872284286e-18,45.237581192113,45.246943385937,-6.0169071853984e-07,-6.0077284245525e-07,6.83081203817e-18,-6.8264392294011e-18,6.0138288536472e-07,6.0111921185705e-07,45.240170269539,45.230805929672,16.346176277827,0.00016471657235343,4.3817044405953e-05,-6.3432575486898e-12,0,360.24904174956,99929375.162584,2.7832161580208e-17,-0.0053953051161508,0.0083916909527851,340.14520068887,-0.00034229938677702,903.47541095063,790.35066677067
