time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,First_term_KM,First_term_KM_avg,Phi,Prager_term,Prager_term_avg,Second_term_KM,Second_term_KM_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,strain_zz,ssd,strain_xx,stress_zz,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.263,-8.165862408258E-154,-2.721954136086E-154,1.0332508589878E-101,2.9313115352527E-97,1.7321084897022,5.8349693769181E-97,1.4294357317609E-76,0,2.3339877507672E-96,5.7177429268497E-76,1.1669938753836E-91,2.8588714635218E-71,1.5561453427282E-97,-3.8122046525017E-77,-1.0896132215315E-97,1.0896132215492E-97,8.0079189492699E-77,8.00791894927E-77,-2.7165446309265E-87,-2.7165446308992E-87,1.0896132215315E-97,-1.0896132215491E-97,2.7165446309266E-87,2.7165446308992E-87,8.0079189492699E-77,8.0079189492699E-77,2.6693066594393E-77,7.6871347530517E-83,5.7177429268497E-82,-1.7190867330801E-19,0,0.000262965420846,100000000,-6.2060401352295E-40,28.348793625101,0.000262965420846,10.843834015032,8.3732838163033E-07,28.348793625101,24.77565722095
0.763,-2.7526371657998E-101,-9.1754572193326E-102,5.1715359255413E-75,1.2684171515972E-70,1.7322180182412,1.0066004103846E-70,2.5923189304815E-50,0,4.0264016415383E-70,1.0369275721563E-49,2.0132008207691E-65,5.184637860963E-45,2.7518320244837E-71,-7.0859701932063E-51,-1.9268332301849E-71,1.9268332301809E-71,1.4884792438124E-50,1.4884792438124E-50,-5.2076647352139E-61,-5.2076647352206E-61,1.9268332301849E-71,-1.9268332301809E-71,5.2076647352139E-61,5.2076647352206E-61,1.4884792438124E-50,1.4884792438124E-50,4.9723962684483E-51,4.0487187814171E-56,1.0369275721563E-55,-1.570289988705E-18,0,0.0007627090611,100000000,-6.3031996312452E-39,82.331097206316,0.0007627090611,31.461404780433,2.4370528214794E-06,82.331097206316,71.958163577253
1.263,-4.0159990091327E-78,-1.3386663363776E-78,2.9677754051585E-63,5.9247799307284E-60,1.732327371106,3.4894976910721E-59,9.4468859186056E-39,0,1.3957990764288E-58,3.7787543673059E-38,6.9789953821442E-54,1.8893771837211E-33,1.0485488980514E-59,-2.8368979226157E-39,-7.3419410860009E-60,7.3419410860082E-60,5.9591891575785E-39,5.9591891575785E-39,-2.1496216281682E-49,-2.1496216281668E-49,7.3419410860008E-60,-7.3419410860082E-60,2.1496216281682E-49,2.1496216281668E-49,5.9591891575785E-39,5.9591891575785E-39,2.0064272614144E-39,2.4448790551882E-44,3.7787543673059E-44,3.988758821388E-19,0,0.001262203082389,100000000,-1.2414484094451E-38,136.42797453003,0.001262203082389,52.081535956209,4.0467670284831E-06,136.42797453003,119.24638106942
1.763,-4.8936600579674E-63,-1.6312200193225E-63,1.2986668346372E-55,1.1571769708256E-51,1.7324365471565,1.093839012631E-51,3.1128826888387E-31,0,4.3753560505239E-51,1.2451530754891E-30,2.1876780252619E-46,6.2257653776773E-26,3.691183539849E-52,-1.0490829438254E-31,-2.5845673137016E-52,2.5845673137015E-52,2.2037041426152E-31,2.2037041426153E-31,-8.1945925946693E-42,-8.1945925946696E-42,2.5845673137017E-52,-2.5845673137015E-52,8.1945925946693E-42,8.1945925946696E-42,2.2037041426153E-31,2.2037041426152E-31,7.4850120228984E-32,1.125748369849E-36,1.2451530754891E-36,-1.6031007350282E-18,0,0.001761447733954,100000000,-5.504596095849E-38,190.63967752098,0.001761447733954,72.704285135638,5.6666394008792E-06,190.63967752098,166.64056156129
2.263,-8.0731842874524E-52,-2.6910614291507E-52,6.0889553472756E-50,3.5864130372858E-45,1.732545545245,3.995200136259E-46,1.1951451373686E-25,0,1.5980800545036E-45,4.7805805492908E-25,7.9904002725178E-41,2.3902902747371E-20,1.5099689598894E-46,-4.5077829913896E-26,-1.0572805107902E-46,1.0572805107908E-46,9.4690511466265E-26,9.4690511466264E-26,-3.6294051204955E-36,-3.6294051204943E-36,1.0572805107903E-46,-1.0572805107907E-46,3.6294051204953E-36,3.6294051204944E-36,9.4690511466266E-26,9.4690511466263E-26,3.2410559670313E-26,5.5538296129831E-31,4.7805805492908E-31,-3.4543370871235E-17,0,0.002260443264666,100000000,-3.4831482131841E-35,244.96645943674,0.002260443264666,93.329710182342,7.2967787283298E-06,244.96645943674,214.14095806173
2.763,-6.9999689849668E-43,-2.3333229949894E-43,1.9773749548644E-45,6.4067183723146E-40,1.7326543642159,1.062576915932E-41,3.3412150849213E-21,0,4.2503076637281E-41,1.3364860339156E-20,2.125153831864E-36,6.6824301698425E-16,4.458660687005E-42,-1.3980749856423E-21,-3.1219549367045E-42,3.1219549367052E-42,2.9367969955856E-21,2.9367969955858E-21,-1.1601791976515E-31,-1.1601791976514E-31,3.1219549367038E-42,-3.1219549367059E-42,1.1601791976517E-31,1.1601791976511E-31,2.9367969955854E-21,2.936796995586E-21,1.0116697169973E-21,1.8977279120252E-26,1.3364860339156E-26,-6.6857419488233E-17,0,0.00275918992302,100000000,-8.107032496587E-35,299.40857487963,0.00275918992302,113.95786923319,8.9372960054675E-06,299.40857487963,261.74782473559
3.263,-1.8979459430353E-35,-6.3264864767843E-36,1.1036299099909E-41,1.9436239229705E-36,1.7327630029058,5.0214615577714E-38,1.6596837490855E-17,0,2.0085846231085E-37,6.638734996071E-17,1.0042923115544E-32,3.3193674981709E-12,2.3171388066192E-38,-7.6312780969616E-18,-1.6224609684794E-38,1.6224609684792E-38,1.6030266486272E-17,1.6030266486272E-17,-6.5265881096105E-28,-6.5265881096112E-28,1.6224609684796E-38,-1.622460968479E-38,6.5265881096102E-28,6.5265881096115E-28,1.6030266486272E-17,1.6030266486271E-17,5.551496012403E-18,1.1144292714443E-22,6.638734996071E-23,1.2133275072145E-17,0,0.003257687957141,100000000,-4.384446322018E-34,353.96627980849,0.003257687957141,134.58882070111,1.0588269994874E-05,353.96627980849,309.46141691468
3.763,-4.3952679298589E-29,-1.4650893099533E-29,1.7657298229548E-38,4.0522457227854E-33,1.7328714601435,6.966022960831E-35,2.4200283252997E-14,0,2.7864091843324E-34,9.6801133007917E-14,1.393204592167E-29,4.8400566505994E-09,3.5038654812182E-35,-1.2120029813373E-14,-2.453407178645E-35,2.4534071786443E-35,2.5459340527415E-14,2.5459340527409E-14,-1.06822176254E-24,-1.0682217625398E-24,2.4534071786438E-35,-2.4534071786455E-35,1.0682217625399E-24,1.0682217625398E-24,2.545934052741E-14,2.5459340527414E-14,8.8559477374562E-15,1.8759723085643E-19,9.6801133007917E-20,3.621504542387E-16,0,0.003755937614782,100000000,-5.3875541118074E-34,408.6398315509,0.003755937614782,155.22262327814,1.2249804271568E-05,408.6398315509,357.28199110901
4.263,-1.6195636057324E-23,-5.3985453524408E-24,1.1115377122663E-35,1.5065647984747E-30,1.7329797347495,3.8705656795679E-32,1.4133169048943E-11,0,1.5482262718272E-31,5.6532676193319E-11,7.7411313591317E-27,2.8266338097885E-06,2.1049237144345E-32,-7.6471082567183E-12,-1.4738679264878E-32,1.4738679264879E-32,1.6063519327564E-11,1.6063519327565E-11,-6.9454338953851E-22,-6.9454338953858E-22,1.4738679264881E-32,-1.4738679264877E-32,6.9454338953852E-22,6.9454338953856E-22,1.6063519327565E-11,1.6063519327564E-11,5.6084393146747E-12,1.2424773960107E-16,5.6532676193319E-17,-8.4855406148644E-16,0,0.004253939143329,100000000,-6.4795731252993E-34,463.42948881537,0.004253939143329,175.85933593828,1.3922009039992E-05,463.42948881537,405.20980501816
4.763,-1.4353679512543E-18,-4.7845598375109E-19,3.3954924784387E-33,1.0837429795199E-14,1.7330878255365,1.0581763646116E-29,4.0610838875791E-09,0,4.2327054584466E-29,1.6244335549604E-08,2.1163527292219E-24,0.000812216777515,6.1815817760016E-30,-2.3586313551506E-09,-4.3283445628594E-30,4.328344562863E-30,4.9545421730865E-09,4.9545421730915E-09,-2.2074105195395E-19,-2.2074105195368E-19,4.3283445628659E-30,-4.3283445628623E-30,2.2074105195383E-19,2.2074105195381E-19,4.9545421730887E-09,4.9545421730826E-09,1.7353056680609E-09,3.9931736988781E-14,1.6244335549604E-14,-1.5837561663458E-16,0,0.004751692789794,99999999.999904,-1.4999512821676E-33,518.3355117026,0.004751692789794,196.49901794015,1.5604991239282E-05,518.3355117026,453.2451175417
5.263,-4.0776165079783E-14,-1.3592055025515E-14,5.8251233755031E-31,1.921488595674E-12,1.7331957313085,1.6427728075075E-27,6.6262739850914E-07,0,6.5710912300299E-27,2.6505095943261E-06,3.2855456150518E-22,0.13252547968124,1.0247561794749E-27,-4.1065373057876E-07,-7.1753444314652E-28,7.1753444323181E-28,8.6261942643483E-07,8.6261942659865E-07,-3.9600114909951E-17,-3.9600114902414E-17,7.1753444331633E-28,-7.1753444323703E-28,3.9600114907441E-17,3.9600114905258E-17,8.6261942648932E-07,8.6261942632565E-07,3.0294876613859E-07,7.2071019275363E-12,2.6505095943261E-12,4.2707469362471E-16,0,0.005249198800824,99999999.983017,-1.5752161485982E-33,573.35816153909,0.005249198800824,217.141728763,1.7299097492916E-05,573.35816153909,501.38818863407
5.763,-4.5733690702544E-10,-1.5244563427927E-10,6.2388043845265E-29,2.1200868733957E-10,1.733303450825,1.6066747863812E-25,6.8110182574247E-05,0,6.4266991455247E-25,0.000272440735159,3.2133495765564E-20,13.622036271124,1.0646843202879E-25,-4.4808764981916E-05,-7.4549212856693E-26,7.4549213870802E-26,9.4125313882262E-05,9.412531592007E-05,-4.4520667938073E-15,-4.4520666971733E-15,7.4549214870836E-26,-7.454921392787E-26,4.452066761579E-15,4.4520667336783E-15,9.412531456189E-05,9.4125312524076E-05,3.313425947656E-05,8.120464092112E-10,2.7244073515855E-10,2.6599050652079E-17,0,0.005746457422696,99999998.126103,-2.7755575615629E-17,628.49768142945,0.005746457422696,237.78752084022,1.9028028961464E-05,628.49768142945,549.63926226654
6.263,-2.3634714744622E-06,-7.8782326800327E-07,4.5148503585729E-27,1.5844711668121E-08,1.7334109801729,1.0698088261657E-23,0.004762331315997,0,4.2792353046627E-23,0.019049351672574,2.1396178483927E-18,952.46494272541,7.4969276896038E-24,-0.003311832690727,-5.2493471438017E-24,5.2493526273402E-24,0.006956839345455,0.006956850910561,-3.3920401209269E-13,-3.3920344639351E-13,5.2493580351955E-24,-5.2493529362891E-24,3.392038234278E-13,3.3920366009482E-13,0.006956843202403,0.006956831637301,0.002454033824842,6.1769462596632E-08,1.9049351672574E-08,1.3042019628642E-16,0,0.006243468901321,99999859.95215,-2.0816681711721E-16,683.7528698214,0.006243468901321,258.43590773356,2.24363973098E-05,683.7528698214,597.9973166144
6.763,-0.005915715433197,-0.001971830958737,2.3393469858969E-25,8.3078587516485E-07,1.7335181797968,5.1335142621165E-22,0.23058626885029,0,2.0534057048466E-21,0.92241476838995,1.0267082955466E-16,46113.769381475,3.7927360354415E-22,-0.17117886583636,-2.6555967256121E-22,2.6557468527083E-22,0.35958414472166,0.35961586153347,-1.85650820486E-11,-1.8563401309293E-11,2.6558953378148E-22,-2.6557557563021E-22,1.8564521560899E-11,1.8564036180467E-11,0.35959470751918,0.35956299123036,0.12714444551222,3.2291362922838E-06,9.2241476839029E-07,1.9856231230222E-16,0,0.006740233482243,99992657.51412,-5.4817260835104E-16,739.04825733517,0.006740233482243,279.0587642095,0.000102231836462,739.04825733517,646.39625856451
7.263,-1.7674923196824,-0.58879686455494,8.5551304679046E-24,1.8646336395476E-05,1.733622208026,1.7517322852913E-20,3.3447509659692,0,7.0069291411654E-20,13.405386512473,3.504497529621E-15,667633.65681277,1.3849679888546E-20,-3.5144620337402,-9.6890832942546E-21,9.7035049169093E-21,7.3865420368146,7.3978858583115,-7.3138372366752E-10,-7.2954270996974E-10,9.7186672005909E-21,-9.7052882938659E-21,7.3077094372853E-10,7.3023673324158E-10,7.3902063449322,7.3788579790678,2.640998396777,4.9252331790017E-05,1.3405386512486E-05,-8.378556937051E-12,0,0.00723675141064,99835543.50469,-6.0982611715168E-16,792.81355069884,0.00723675141064,299.07234220683,0.000439597106992,792.81355069884,693.46125091171
7.763,-11.643564055545,-3.876329727543,2.0585379610627E-22,7.8669772337766E-05,1.7337187356557,3.9696378815128E-19,6.6686927780431,0,1.5878551526051E-18,26.927416833572,7.959887389565E-14,1321224.7899654,3.3957423370792E-19,-11.483974974297,-2.3645994325403E-19,2.3820787954951E-19,24.202592950596,24.285565108008,-1.9139876540462E-08,-1.8874276742784E-08,2.4029341276328E-19,-2.3867491220189E-19,1.9051628372206E-08,1.8973786164209E-08,24.227652361274,24.144426191984,8.7481151297788,0.00010002594469,2.6927416833577E-05,-6.1654251842873E-10,0,0.007733022931324,99311378.99687,-1.1919059785317E-15,842.58729892859,0.007733022931324,317.5660520875,0.000240164784492,842.58729892859,737.03741644512
8.263,-29.984806045575,-9.9776324907427,3.555984430191E-21,0.000175639708586,1.7338087985219,6.5060380886104E-18,9.94146599647,0,2.6024152354442E-17,40.64165352297,1.3116857251318E-12,1945447.3182414,5.9820324069936E-18,-19.488836279351,-4.1301496594077E-18,4.1978300278713E-18,41.268065692767,41.469140520628,-3.5610184464894E-07,-3.4421350009136E-07,4.288203973123E-18,-4.2252489083011E-18,3.5214323385011E-07,3.4862977467246E-07,41.32497436899,41.122850706349,14.961381325405,0.000151822399004,4.0641653522965E-05,-2.9712786151877E-09,0,0.008229048288741,98481621.822838,-7.0039672630196E-15,888.85347785138,0.008229048288741,334.72751567812,0.000205382517468,888.85347785138,777.54681469896
8.763,-58.36264442643,-19.412208685734,4.5265696921505E-20,0.000315121304005,1.7338915361412,7.9132468818925E-17,13.646952942346,0,3.165298752757E-16,56.798795195808,1.6121344591038E-11,2623144.3735707,7.8653259677301E-17,-26.941993699142,-5.3633099256109E-17,5.5090812431862E-17,57.442374692362,57.80361978646,-4.886187438908E-06,-4.5896717786119E-06,5.7311251804203E-17,-5.5943343701611E-17,4.7869477405174E-06,4.6985610681285E-06,57.536423002207,57.172483285887,20.85317368523,0.000212860170615,5.6798791550832E-05,-8.0521321165352E-09,0,0.008724827726952,97324309.252356,-4.1409906894005E-14,931.04581170024,0.008724827726952,350.35356873123,0.00013955806123,931.04581170024,814.49280960914
9.263,-97.780493039977,-32.513235288927,4.2829069245005E-19,0.000504370215811,1.7339658121717,7.2043360080179E-16,17.719171412459,0,2.8817344032071E-15,75.572634395129,1.4950157071363E-10,3323623.5051047,7.8297185394819E-16,-33.601981403801,-5.2502807560599E-16,5.4493493774633E-16,72.302544722313,72.859673795504,-5.0023485482933E-05,-4.5233405501601E-05,5.8095659115731E-16,-5.6207065637091E-16,4.840745588701E-05,4.6966446996261E-05,72.431069357401,71.868266818581,26.267760199837,0.000283554336586,7.5572624722404E-05,-1.5300169152663E-08,0,0.009220361489597,95820119.645842,-1.9031481101904E-13,968.43080682732,0.009220361489597,364.17991427197,3.1018801557779E-05,968.43080682732,847.23208243485
