time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,First_term_KM,First_term_KM_avg,Phi,Prager_term,Prager_term_avg,Second_term_KM,Second_term_KM_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,strain_zz,ssd,strain_xx,stress_zz,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.427,-6.4923083607589E-135,-2.1641027869196E-135,3.4044450775239E-92,4.4458253515813E-88,1.7321444438687,1.1841273784424E-87,2.9397246950579E-67,0,4.7365095137696E-87,1.1758898779829E-66,9.2181948156984E-91,2.2885168806087E-70,5.9363981828905E-88,-1.4737752587479E-67,-4.1566669711802E-88,4.1566669711698E-88,3.0958130261311E-67,3.0958130261311E-67,-1.058896197212E-77,-1.0588961972137E-77,4.1566669711802E-88,-4.1566669711698E-88,1.058896197212E-77,1.0588961972137E-77,3.0958130261311E-67,3.0958130261311E-67,1.0319376763857E-67,2.5676135546998E-73,1.1758898779829E-72,-4.3541229272998E-19,0,0.000426908857048,100000000,-7.1581195980537E-40,46.042379452535,0.000426908857048,17.606120817921,5.4432547715448E-06,46.042379452535,40.239882629868
1.427,-5.5508964297667E-74,-1.8502988099222E-74,2.98490210538E-61,6.7583656406821E-57,1.732363232433,3.1062221926134E-57,8.5219010963318E-37,0,1.2424888770454E-56,3.4087604384087E-36,2.4181318525057E-60,6.6341295654724E-40,1.5846634997316E-57,-4.3467575563549E-37,-1.1095816397105E-57,1.1095816397116E-57,9.1308010393866E-37,9.1308010393866E-37,-3.3217838363943E-47,-3.3217838363923E-47,1.1095816397105E-57,-1.1095816397116E-57,3.3217838363943E-47,3.3217838363923E-47,9.1308010393866E-37,9.1308010393866E-37,3.0485737417784E-37,2.4927397422197E-42,3.4087604384087E-42,-1.0416839164455E-18,0,0.001425982785389,100000000,-1.7576148232891E-38,154.19674606175,0.001425982785389,58.845511608083,1.8296892209538E-05,154.19674606175,134.77997041153
2.427,-1.841254799914E-49,-6.1375159997134E-50,8.0289717783993E-49,1.739297594369E-44,1.7325813125754,4.9120341387919E-45,1.4890796655208E-24,0,1.9648136555168E-44,5.9563186618525E-24,3.8239203363667E-48,1.1592187380146E-27,2.7247840868331E-45,-8.2515349224497E-25,-1.9078942598471E-45,1.9078942598479E-45,1.7333178275905E-24,1.7333178275905E-24,-6.7023496359099E-35,-6.7023496359083E-35,1.9078942598471E-45,-1.9078942598479E-45,6.7023496359099E-35,6.7023496359083E-35,1.7333178275905E-24,1.7333178275905E-24,5.8306159389056E-25,7.4238002977754E-30,5.9563186618525E-30,1.9972979015017E-18,0,0.002424059561174,100000000,-8.4619795199754E-38,262.81073980285,0.002424059561174,100.09544729149,3.1316220056279E-05,262.81073980285,229.74423519597
3.427,-8.4921877256176E-34,-2.8307292418721E-34,6.6102657488604E-41,1.9003808968194E-35,1.7327986750685,2.8636453858921E-37,9.5914683932083E-17,0,1.1454581543568E-36,3.8365873571255E-16,2.2292906600085E-40,7.4667663147448E-20,1.7680347509069E-37,-5.9084459783976E-17,-1.2379782195466E-37,1.2379782195471E-37,1.2411284499141E-16,1.2411284499142E-16,-5.0985827653421E-27,-5.0985827653418E-27,1.237978219547E-37,-1.2379782195467E-37,5.0985827653419E-27,5.098582765342E-27,1.2411284499142E-16,1.241128449914E-16,4.211734035182E-17,6.7664461465824E-22,3.8365873571255E-22,3.2278931838451E-16,0,0.003421141172891,100000000,-5.3618334828793E-34,371.88639538285,0.003421141172891,141.3563925037,4.4501660530228E-05,371.88639538285,325.13470848224
4.427,-3.0098019995687E-22,-1.0032673331896E-22,4.3761899307297E-35,1.8129866073474E-16,1.733015310559,1.4673801155957E-31,5.4296846370404E-11,0,5.8695204623829E-31,2.1718738547212E-10,1.1423260723894E-34,4.2269008962432E-14,1.0032955821571E-31,-3.6991513737992E-11,-7.0250772946659E-32,7.0250772946648E-32,7.7704391769806E-11,7.7704391769793E-11,-3.3901993324639E-21,-3.3901993324633E-21,7.0250772946635E-32,-7.0250772946672E-32,3.3901993324637E-21,3.3901993324636E-21,7.7704391769796E-11,7.7704391769803E-11,2.6574878809337E-11,4.9587153348675E-16,2.1718738547212E-16,-4.2697111078115E-17,0,0.004417229603081,100000000,-2.0816681711722E-17,481.42576927168,0.004417229603081,182.62881631286,5.7856477731902E-05,481.42576927168,420.95344049219
5.427,-4.3826091063859E-13,-1.4608697021287E-13,1.7676551334415E-30,7.2043797390391E-12,1.7332312095639,4.834300358566E-27,1.9760071095219E-06,0,1.9337201434264E-26,7.9040284377203E-06,3.7634061431367E-30,1.5382820146206E-09,3.6388850411282E-27,-1.4800725942387E-06,-2.5479478964092E-27,2.547947896409E-27,3.1090412121294E-06,3.1090412121295E-06,-1.4402610988081E-16,-1.4402610988082E-16,2.5479478964093E-27,-2.5479478964089E-27,1.4402610988081E-16,1.4402610988082E-16,3.1090412121295E-06,3.1090412121295E-06,1.0702294774322E-06,2.2169595817529E-11,7.9040284377203E-12,3.1290897005573E-16,0,0.005412326828369,100000000,-4.8572257327351E-17,591.43093940054,0.005412326828369,223.9131920549,7.1386322102713E-05,591.43093940054,517.20249992706
6.427,-1.7436007136137E-05,-5.8120023787556E-06,1.1473120920308E-26,4.8412499233974E-08,1.7334463538973,2.6491729582197E-23,0.011941159818207,0,1.0596691832879E-22,0.04776463926979,2.0623281645118E-26,9.2959540954097E-06,2.1745723509247E-23,-0.009744045658751,-1.5226359130735E-23,1.5226359130556E-23,0.020468347055254,0.020468347054861,-1.0078255242003E-12,-1.00782552422E-12,1.5226359130374E-23,-1.5226359130537E-23,1.0078255242068E-12,1.0078255242125E-12,0.020468347055125,0.020468347055519,0.007084066366569,1.589847818406E-07,4.7764639269793E-08,-5.2093491915496E-16,0,0.006406434819485,100000000.00214,-8.3266726846887E-17,701.89934681838,0.006406434819485,265.20826497979,9.9495474425613E-05,701.89934681838,613.87988458223
7.427,-3.9091781922423,-1.3030594030045,1.7800606480964E-23,3.3470404461728E-05,1.7336548858471,3.5703047248345E-20,4.5234301882648,0,1.4281218899338E-19,18.093720470863,2.7794108146873E-23,0.003521399987158,3.2700027597898E-20,-5.7670852291766,-2.2896564819923E-20,2.2896564532288E-20,12.11434198605,12.114341853104,-1.7679573996886E-09,-1.7679574383719E-09,2.2896564221655E-20,-2.2896564488535E-20,1.7679574126119E-09,1.7679574237586E-09,12.114341943723,12.114342076669,4.2969111932359,6.6924763749035E-05,1.809372047087E-05,-1.1150940862792E-16,0,0.007399555541287,100000001.47805,-3.1918911957949E-16,809.60125877366,0.007399555541287,305.31370927954,0.000813395807441,809.60125877366,708.15774306425
8.427,-35.264732306141,-11.754910883129,5.0780977513311E-21,0.000213070134649,1.7338375189878,9.1420179517451E-18,10.938672941433,0,3.656807180698E-17,43.754685217149,7.1168777795816E-21,0.008515539173689,9.6676163076926E-18,-21.51368613321,-6.7692670762046E-18,6.7692664494575E-18,45.191657453202,45.19165620601,-5.9737614466393E-07,-5.9737626611118E-07,6.7692655881523E-18,-6.7692661653236E-18,5.9737618540425E-07,5.9737622024949E-07,45.191657108251,45.191658355437,16.32919361692,0.000164510468892,4.3754685217119E-05,1.7640941988616E-15,0,0.008391690952785,100000009.40913,-6.3143934525419E-16,903.49621381596,0.008391690952785,340.15290848019,-0.000338156907672,903.49621381596,790.36887916062
