time,Ep_eff,F_norm,Phi,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0165,0,1.7320544737082,0,-2.8063417719801e-169,2.8063417722899e-169,2.5711915309718e-148,2.5711915309718e-148,-9.9939863132019e-159,-9.9939863125234e-159,2.8063417719802e-169,-2.8063417722899e-169,9.9939863132019e-159,9.9939863125234e-159,2.5711915309718e-148,2.5711915309718e-148,8.5706384365727e-149,1.0869408595466e-152,-5.9839505922164e-20,0,355.31469625632,100000000,-1.2248081992766e-41,-1.0150292907928e-05,1.6499863875862e-05,0.64452622525483,6.504545759551e-10,1.6923340620398,1.4794103373252
0.1165,3.7655550718886e-113,1.7320766888719,0,-2.7745838332551e-114,2.7745838332324e-114,2.56769689891e-93,2.56769689891e-93,-1.00421041599e-103,-1.0042104159951e-103,2.7745838332551e-114,-2.7745838332323e-114,1.00421041599e-103,1.0042104159951e-103,2.56769689891e-93,2.56769689891e-93,8.5641245764895e-94,8.6532719166149e-98,-1.3708240960807e-19,0,355.31469625632,100000000,-4.4816688144914e-40,-7.1683857736034e-05,0.00011649321438788,4.5507982871866,1.3728316079122e-08,11.951431902912,10.447867414973
0.2165,7.3479022754541e-99,1.7320988972094,0,-7.1725492523551e-100,7.1725492523251e-100,6.7038902084927e-79,6.7038902084927e-79,-2.6378873334668e-89,-2.6378873334736e-89,7.1725492523552e-100,-7.172549252325e-100,2.6378873334668e-89,2.6378873334736e-89,6.7038902084927e-79,6.7038902084927e-79,2.2501075201001e-79,2.090722366949e-83,3.4569383093616e-20,0,355.31469625632,100000000,-1.6577100107977e-39,-0.00013324633205775,0.00021647656722934,8.4571608021189,2.5524648915186e-08,22.214870607447,19.420332418117
0.3165,6.4526424447737e-88,1.7321210987264,0,-3.0432499763978e-91,3.043249976403e-91,2.8725919198389e-70,2.8725919198364e-70,-1.1371972077971e-80,-1.1371972077943e-80,3.043249976402e-91,-3.0432499763988e-91,1.1371972077945e-80,1.1371972077969e-80,2.8725919198404e-70,2.8725919198349e-70,9.7274627040958e-71,7.9508117069345e-75,-2.203898583544e-16,0,355.31469625632,100000000,-8.0279697614658e-35,-0.00019483771637893,0.00031644992439962,12.363614199057,3.7329700783401e-08,32.482652059386,28.396807232076
0.4165,5.8422133336111e-82,1.7321432934139,0,-4.6627487970382e-85,4.662748797033e-85,4.444789785269e-64,4.4447897852666e-64,-1.7702662017654e-74,-1.7702662017651e-74,4.662748797039e-85,-4.6627487970322e-85,1.7702662017637e-74,1.7702662017668e-74,4.4447897852693e-64,4.4447897852663e-64,1.5174925471777e-64,1.0877005278759e-68,3.683627320078e-16,0,355.31469625632,100000000,-1.8503717077086e-17,-0.00025645803622671,0.00041641328789665,16.270158906633,4.9154014237143e-08,42.754778143704,37.377293744294
0.5165,4.0871923873199e-77,1.7321654812631,0,-3.1281732393625e-80,3.1281732393768e-80,3.0113987383744e-59,3.0113987383807e-59,-1.2066392509577e-69,-1.2066392509584e-69,3.1281732393762e-80,-3.1281732393631e-80,1.2066392509585e-69,1.2066392509575e-69,3.0113987383794e-59,3.0113987383756e-59,1.0352228204816e-59,6.562193045643e-64,-2.2624426585197e-16,0,355.31469625632,100000000,-2.6727591333569e-17,-0.00031810731716446,0.00051636665971857,20.176795353863,6.0983365437367e-08,53.031250747334,46.361793843913
0.6165,2.5083632381436e-73,1.7321876622652,0,-2.8477223665473e-76,2.8477223665426e-76,2.7684771088195e-55,2.7684771088177e-55,-1.1160139908246e-65,-1.1160139908246e-65,2.8477223665464e-76,-2.8477223665436e-76,1.1160139908237e-65,1.1160139908255e-65,2.7684771088191e-55,2.768477108818e-55,9.5715369839809e-56,5.4226529496798e-60,-4.1460988899987e-16,0,355.31469625632,100000000,-4.1119371282413e-17,-0.00037978558479116,0.00061631004186238,24.083523970166,7.2853774318152e-08,63.312071759152,55.350309421701
0.7165,4.5572561824771e-70,1.7322098364113,0,-6.4751364040978e-73,6.4751364040954e-73,6.3570647018099e-52,6.3570647018082e-52,-2.5781202689397e-62,-2.5781202689393e-62,6.4751364040927e-73,-6.4751364041005e-73,2.5781202689399e-62,2.5781202689391e-62,6.357064701808e-52,6.3570647018101e-52,2.2082703737704e-52,1.1294714334906e-56,3.1967050214483e-16,0,355.31469625632,100000000,-4.3175339846534e-17,-0.00044149286474328,0.00071624343632498,27.990345185325,8.4706788925378e-08,73.59724307001,64.342842370203
0.8165,3.4855596755725e-67,1.7322320036924,0,-5.3085611839389e-70,5.3085611839438e-70,5.2631784598531e-49,5.2631784598547e-49,-2.1473910180902e-59,-2.1473910180901e-59,5.3085611839409e-70,-5.3085611839418e-70,2.1473910180908e-59,2.1473910180895e-59,5.2631784598538e-49,5.2631784598539e-49,1.835545924816e-49,8.552267560078e-54,-6.5370184519789e-17,0,355.31469625632,100000000,-4.5231308410655e-17,-0.00050322918269171,0.0008161668451023,31.897259429557,9.6594089779277e-08,83.88676657274,73.339394583568
